ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,Unnamed: 87,distance_to_inter_0,distance_to_inter_1,distance_to_inter_2
437.932,-8.12895,0.012214,1898.46,8.15924,-0.000382342,-0.635874,-179.738,1633.17,-0.000528464,-0.635757,152.58,-0.207011,-0.000382342,0.659103,0.0119147,-0.00390752,5.87913,-0.00394966,-8.12853,0.00675291,5.87942,-179.738,-0.161608,-0.0358729,0.0,0.766741,-1.422,0,-1.0,-0.217959,0.0487405,0.800621,1880.25,19.3044,0,0.0,0,0.0,22.0715,-0.0720728,22.0715,0,7.482,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3.43117e-10,0.377398,6334.57,698.478,0,1.53545e-12,0,1.45582e-17,54.0,-0.0339746,54.0,0,1.44155,7.70653e-07,-0.306437,6819.67,-395.676,0,1.30948e-09,0,-1.51273e-08,48.5,0.027591,48.5,0,-1.30324,999.0,999.0,1.0,,3378.170172075631,2577.54906374352,17.43097370709973
437.948,-7.98686,-0.00929444,1898.43,8.15913,-0.000222342,-0.639701,-179.739,1649.44,-0.00019962,-0.639583,150.195,-0.197076,-0.000222342,-1.39653,0.00913459,-0.00393226,5.93769,-0.00388909,-7.98649,-0.0145255,5.93798,-179.739,0.420025,-0.0358521,0.0,0.783197,-1.422,0,-1.0,-0.217896,0.0483294,0.786624,1880.25,19.4066,0,0.0,0,0.0,22.0744,-0.0708041,22.0744,0,7.35026,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,6.00896e-10,0.377398,6334.32,698.489,0,1.72644e-12,0,1.64202e-17,54.0,-0.0339704,54.0,0,1.44155,7.64572e-07,-0.306435,6819.56,-395.87,0,6.41209e-11,0,-1.51341e-08,48.5,0.0275869,48.5,0,-1.30323,999.0,999.0,1.0,,3378.200172038995,2577.5790637183172,17.40097422148838
437.964,-7.88313,0.0341866,1898.41,8.15903,-8.79504e-05,-0.643378,-179.74,1665.99,0.000253605,-0.643259,148.935,-0.188617,-8.79504e-05,2.83287,0.00979551,-0.00395747,5.99728,-0.00392972,-7.88267,0.0290216,5.99756,-179.74,2.24924,-0.0368925,0.0,0.779906,-1.422,0,-1.0,-0.217833,0.0479183,0.772627,1880.26,19.5088,0,0.0,0,0.0,22.0773,-0.0695354,22.0773,0,7.21853,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.58676e-10,0.377397,6334.07,698.5,0,1.91744e-12,0,1.82823e-17,54.0,-0.0339661,54.0,0,1.44155,7.5849e-07,-0.306433,6819.45,-396.064,0,-1.18124e-09,0,-1.51409e-08,48.5,0.0275829,48.5,0,-1.30322,999.0,999.0,1.0,,3378.2201720060643,2577.59906369559,17.380974283419896
437.98,-7.6709,0.0272123,1898.38,8.15893,4.24021e-05,-0.646904,-179.74,1682.85,-6.29005e-05,-0.646784,145.579,-0.179233,4.24021e-05,2.24947,0.00709403,-0.00398538,6.05798,-0.00394845,-7.67044,0.0222132,6.05826,-179.74,-0.471349,-0.0376343,0.0,0.799652,-1.422,0,-1.0,-0.21777,0.0475235,0.759015,1880.26,19.6079,0,0.0,0,0.0,22.08,-0.0683073,22.08,0,7.09046,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,8.95122e-10,0.377397,6333.83,698.511,0,2.87662e-12,0,2.76794e-17,54.0,-0.0339654,54.0,0,1.44155,7.52416e-07,-0.306431,6819.34,-396.252,0,-1.66159e-09,0,-1.51475e-08,48.5,0.0275808,48.5,0,-1.30322,999.0,999.0,1.0,,3378.250171972627,2577.6290636726194,17.35097490762132
437.996,-7.53221,-0.00776715,1898.35,8.15882,0.000140458,-0.650264,-179.741,1700.0,-0.000296862,-0.650143,143.474,-0.170088,0.000140458,-1.30122,0.00444459,-0.0040139,6.11974,-0.00392899,-7.53167,-0.0126022,6.12002,-179.741,-0.181329,-0.0371919,0.0,0.799652,-1.422,0,-1.0,-0.217706,0.0471537,0.745998,1880.26,19.7023,0,0.0,0,0.0,22.0826,-0.0671422,22.0826,0,6.96807,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,5.88467e-10,0.377397,6333.6,698.521,0,5.02661e-12,0,4.87569e-17,54.0,-0.03397,54.0,0,1.44155,7.46353e-07,-0.30643,6819.23,-396.431,0,-9.56053e-10,0,-1.51538e-08,48.5,0.0275818,48.5,0,-1.30321,999.0,999.0,1.0,,3378.280171936003,2577.6590636474316,17.32097542843352
438.012,-7.29589,0.0317757,1898.32,8.15872,0.000193467,-0.653493,-179.741,1717.48,0.000166158,-0.653372,139.687,-0.163796,0.000193467,3.14055,0.00333859,-0.00404269,6.18266,-0.00388024,-7.29536,0.0271976,6.18294,-179.741,-0.564368,-0.0379842,0.0,0.812816,-1.422,0,-1.0,-0.217642,0.046784,0.732981,1880.26,19.7967,0,0.0,0,0.0,22.0852,-0.0659772,22.0852,0,6.84568,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2.81812e-10,0.377396,6333.37,698.53,0,7.1766e-12,0,6.98344e-17,54.0,-0.0339746,54.0,0,1.44155,7.4029e-07,-0.306429,6819.13,-396.61,0,-2.5052e-10,0,-1.51601e-08,48.5,0.0275827,48.5,0,-1.30321,999.0,999.0,1.0,,3378.3101719025744,2577.6890636244702,17.29097605800201
438.028,-7.07755,0.0129997,1898.3,8.15861,0.000219571,-0.656627,-179.742,1735.29,-0.000208222,-0.656505,136.095,-0.159892,0.000219571,1.14798,0.000960958,-0.00407192,6.24679,-0.00385362,-7.07702,0.00863436,6.24707,-179.742,0.297289,-0.0385175,0.0,0.82598,-1.431,0,-1.0,-0.217577,0.0464145,0.71993,1880.27,19.8913,0,0.0,0,0.0,22.0877,-0.0648079,22.0877,0,6.72299,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,6.34535e-11,0.377396,6333.14,698.54,0,9.07704e-12,0,8.84688e-17,54.0,-0.0339782,54.0,0,1.44154,7.34272e-07,-0.306428,6819.02,-396.79,0,6.04535e-10,0,-1.51664e-08,48.5,0.0275832,48.5,0,-1.3032,999.0,999.0,1.0,,3378.330171866467,2577.7090635995387,17.270976018514396
438.044,-6.83889,0.00719124,1898.27,8.1585,0.000194431,-0.659712,-179.743,1753.45,8.58635e-05,-0.659589,132.256,-0.159406,0.000194431,0.494313,-0.00274153,-0.00410086,6.31215,-0.00387154,-6.83833,0.0029974,6.31244,-179.743,-0.196064,-0.0391526,0.0,0.832562,-1.431,0,-1.0,-0.217513,0.0460468,0.706677,1880.27,19.9876,0,0.0,0,0.0,22.0903,-0.0636125,22.0903,0,6.59848,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3.83554e-10,0.377393,6332.9,698.55,0,9.45567e-12,0,9.22039e-17,54.0,-0.033976,54.0,0,1.44153,7.28532e-07,-0.306429,6818.92,-396.972,0,2.37142e-09,0,-1.51728e-08,48.5,0.0275808,48.5,0,-1.3032,999.0,999.0,1.0,,3378.3601718298555,2577.7390635743664,17.240976545718063
438.06,-6.54407,-0.0147698,1898.24,8.15839,0.0001375,-0.662796,-179.743,1771.97,0.000513785,-0.662672,127.444,-0.161638,0.0001375,-1.46743,-0.00488291,-0.00413011,6.37882,-0.00382936,-6.54351,-0.0186977,6.37911,-179.743,-0.569587,-0.0396216,0.0,0.835853,-1.431,0,-1.0,-0.217447,0.045679,0.693423,1880.27,20.084,0,0.0,0,0.0,22.0929,-0.0624171,22.0929,0,6.47398,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,7.03654e-10,0.377391,6332.67,698.56,0,9.83431e-12,0,9.5939e-17,54.0,-0.0339737,54.0,0,1.44153,7.22792e-07,-0.306429,6818.81,-397.155,0,4.13831e-09,0,-1.51792e-08,48.5,0.0275783,48.5,0,-1.30321,999.0,999.0,1.0,,3378.3901717932486,2577.769063549199,17.21097707546266
438.076,-6.23542,-0.0187366,1898.21,8.15828,3.0305e-05,-0.665951,-179.744,1790.85,4.68113e-05,-0.665826,122.373,-0.170399,3.0305e-05,-1.31134,-0.00850337,-0.00415596,6.44678,-0.00379748,-6.2349,-0.0224091,6.44708,-179.744,-0.870333,-0.0401625,0.0,0.852309,-1.431,0,-1.0,-0.217382,0.0453112,0.68017,1880.27,20.1803,0,0.0,0,0.0,22.0954,-0.0612217,22.0954,0,6.34948,0.0,0.0,1256.09,-0.0966621,0.123736,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.02375e-09,0.377388,6332.43,698.57,0,1.02129e-11,0,9.96742e-17,54.0,-0.0339714,54.0,0,1.44152,7.17052e-07,-0.30643,6818.7,-397.337,0,5.9052e-09,0,-1.51856e-08,48.5,0.0275759,48.5,0,-1.30321,999.0,999.0,1.0,,3378.420171756645,2577.7990635240362,17.180977607761502
