Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_3,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_2_x,hazard_2_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,global_collision_flag,time_to_collision_flag
515.432532,557.1375316350413,5.647220971001567,1292.8000364033614,4.6754701790885065,-4.245159570019931,-13.203213476183048,147.54109472515665,932016.4056702852,0.0376429290769597,-13.205611475328034,191284.4589274745,-137.9931830165604,-4.245159570019931,58921402.59891027,16.850636105899863,0.0900001230440247,-230.2197537269842,-13.216177510963668,558.922410641965,2.1491365360228247,-230.47879875269385,-212.4589052753417,-25679527126.20845,-136.79549875661252,0.0,65.52986391282681,-709.7007486112356,2068049768567.2751,1424.3751018393673,-4.64528536672314,7.80644592991055e-07,0.0002894815312974,2661.360254197876,-4.892724227194776,0.0,-3.021925827769832e-21,0.0,-9.641847252902743e-16,66.00340000012034,-2.579488271747742e-05,66.00340000012034,0.0,0.000904643742393,-0.0439535535510806,0.0,1285.6815753569572,-30.966750462172968,89.46120000009842,0.0,0.0,0.0,0.0,3.051658452993763,1.0824628253485384e-09,3.051658452993763,0.0,0.0,0.2525091577098125,-14.249563961560376,5713.162518559897,-65.29215469025462,0.0,-1.5278881058027756e-05,0.0,-0.0017181840171599,38.74127051999142,1.2820575356197177,38.74127051999142,0.0,-69.95243459824499,2.656102033825685e-07,-0.3061586257455699,5911.721912052279,-540.3021144589893,0.0,-5.018169700252442e-06,0.0,-1.9180655413801943e-08,48.50000000012256,0.0291586826554713,48.50000000012256,0.0,-1.3018998879195287,999.0000000020228,1.0000000000012117,2.000000000002423,86.90130828346506,gaze,0.641309146164454,0.2582087600104498,-61.70080708413009,65.11150160981342,205.0902081252759,32.13241804397155,-4.375294963316239,-29.03475013763396,-0.0617331062707261,0.201389721226235,0.9775639128847724,5.344350337982178,-34.07849539543659,-3.999941072495453,-31.14082054390581,-0.1115250092380481,0.2790372641676569,0.9537821436367336,5.28165340423584,-0.6639616178186423,-5.204072389398377,-29.91035373162812,-0.0999257267043162,0.179965929822806,0.9616730964717708,5.326634440039825,56.97475744922319,False,-1.0,imu,-0.1724652717563021,-9.752671170337262,1.3565887352628043,-0.3560186357102881,2.7652660442269843,-3.118146981963412,-85.86909925876893,174.92563198039002,125.4797866549968,1285.6815753569572,-30.966750462172968,False,-0.7924482805054728,-0.6099391139482033,1291.7515806551737,5.816412572065564,147.54109472515665,False,inf
515.433784,557.6777127287746,5.652693371797954,1292.8467767065777,4.672314478645831,-4.249157013200998,-13.218453828004025,147.505442653538,933260.3687081336,0.0376789867080038,-13.220852533782336,191529.65027667623,-138.12170986987272,-4.249157013200998,59000835.049203165,16.86678210929051,0.0900334337505101,-230.46635353846625,-13.228569606006593,559.4645171384338,2.151290590161548,-230.7256301168528,-212.49455734696767,-25715515120.56245,-136.924234967736,0.0,65.59067416652407,-710.2762853485021,2070964885001.65,1425.82785622716,-4.649702507517758,7.815059531455134e-07,0.0002897351416256,2661.39128061229,-4.892656521227508,0.0,-3.025097411877989e-21,0.0,-9.64996298595303e-16,66.00340000012125,-2.581744934635176e-05,66.00340000012125,0.0,0.000905436286354,-0.0438397227525531,0.0,1285.6806881786215,-30.9643761859544,89.46120000009887,0.0,0.0,0.0,0.0,3.051236740945712,1.0835738942251976e-09,3.051236740945712,0.0,0.0,0.2527889465582655,-14.264190018310105,5713.164468749921,-65.3126769414695,0.0,-1.5293518531560213e-05,0.0,-0.0017205186278816,38.73932160975869,1.283373496368151,38.73932160975869,0.0,-70.02426846765147,2.658658979327519e-07,-0.3061583060154449,5911.703359603474,-540.2875031105468,0.0,-5.023056633134351e-06,0.0,-1.9180115163950887e-08,48.50000000012324,0.0291602231405043,48.50000000012324,0.0,-1.3018984107402964,999.0000000020482,1.0000000000012292,2.0000000000024585,87.01977569244656,gaze,0.4617604075137645,0.4847221001334342,-63.52454558912195,66.88341713059216,206.6287367315124,32.491586805944,-5.999240206276165,-29.649641854278684,-0.003414095131745,-0.0120954679585969,0.9909887942341632,5.28264167219006,-33.185029259469744,-6.396164079111801,-30.759833653193148,-0.0033764411360565,0.0080473991487274,0.9786458765261972,4.920421258415159,-0.596013034829434,-6.258703547561295,-30.176626852684528,-0.0017272414971411,0.0004928290769661,0.9828509071585806,5.147520966312471,58.46066786773001,False,-0.8036076868982173,imu,-0.1788476872,-9.7205811528,1.3913034128,-1.36069015,2.50425484,-3.91508896,-85.87027554778442,174.92640379250034,125.48364475334598,1285.6806881786215,-30.9643761859544,False,-0.8415853553535235,-0.5401241428176337,1291.7990311082,5.813909048132059,147.505442653538,False,inf
515.442258,561.3446201746054,5.6898435341909845,1293.1645160490589,4.650889093833797,-4.27629024920843,-13.321972061135549,147.26332999461192,941715.4056999088,0.0379237398944051,-13.324375529053182,193195.80463076843,-138.99409089758464,-4.27629024920843,59540716.92554896,16.97638503630161,0.0902584016191996,-232.13987803185864,-13.31268198551222,563.1444997493716,2.1659161897798493,-232.40072595855133,-212.73667000589649,-25960157327.20624,-137.79805098405637,0.0,66.00342740450668,-714.1807812833614,2090782011403.577,1435.6912536640757,-4.679687724632629,7.873552984966714e-07,0.0002914556103217,2661.601444473512,-4.892197899154155,0.0,-3.0466321566325467e-21,0.0,-9.705033773414524e-16,66.00340000012216,-2.597053795398268e-05,66.00340000012216,0.0,0.0009108128302802,-0.0430685335782019,0.0,1285.674666240251,-30.94828268738638,89.46120000009932,0.0,0.0,0.0,0.0,3.048391301211097,1.0911173253272302e-09,3.048391301211097,0.0,0.0,0.254688927920394,-14.363494655593438,5713.177713886835,-65.45171297779984,0.0,-1.539287989376608e-05,0.0,-0.0017363810278693,38.72608700780836,1.2923083046642794,38.72608700780836,0.0,-70.5119902176941,2.6760161640197365e-07,-0.3061561337875176,5911.577678903675,-540.188526780872,0.0,-5.056231901554442e-06,0.0,-1.91764548163856e-08,48.50000000012369,0.0291706808765905,48.50000000012369,0.0,-1.3018883761510445,999.0000000020556,1.00000000000124,2.00000000000248,87.82435097302908,gaze,0.46232771074602,0.4855346352037071,-65.86818176504008,73.75034190903031,211.9082854425851,32.479980977233225,-6.009487986889381,-29.64169789893044,-0.0038821185315808,-0.0130360725416149,0.9909147123308278,5.278618547049355,-33.19122599046734,-6.399111234687198,-30.761590465690528,-0.0039551242342803,0.0074612568514578,0.9786584580758356,4.9229874020473945,-0.6146430149005997,-6.263176615213838,-30.17405075911364,-0.0023087077657954,-7.218768759802758e-05,0.9828142207689984,5.14607274711347,66.61386373503687,False,-0.7742792004451057,imu,-0.1896144376,-9.699047652,1.3883126488,-1.55508981,2.324809,-4.034719519999999,-85.87805030315714,174.93155729254363,125.50967410654935,1285.674666240251,-30.94828268738638,False,-0.8390063626766541,-0.5441216071689219,1292.121603784704,5.796900877742724,147.26332999461192,False,inf
515.450732,565.0303301551528,5.727187523555738,1293.4846737337791,4.629347633798574,-4.3035581126829925,-13.426129831170384,147.01980825546343,950232.431193471,0.0381697191342222,-13.428538025056852,194873.51727979063,-139.87077608439947,-4.3035581126829925,60084541.20373279,17.086548468422528,0.0904825060906428,-233.82116659199585,-13.39721031709704,566.8433606247678,2.180622467754951,-234.08359305269755,-212.9801917450468,-26206657875.08783,-138.6762025756495,0.0,66.41821929307403,-718.1010778650523,2110750552388.074,1445.608154896576,-4.709827348420554,7.932384542388381e-07,0.0002931829549634,2661.811897684587,-4.891738642787416,0.0,-3.068286241589148e-21,0.0,-9.760349956174524e-16,66.00340000012216,-2.612423613493812e-05,66.00340000012216,0.0,0.0009162108618133,-0.0422960521797382,0.0,1285.668614275928,-30.932148048646468,89.46120000010023,0.0,0.0,0.0,0.0,3.0455613150041643,1.0987014813865447e-09,3.0455613150041643,0.0,0.0,0.2565998646035428,-14.463341145049831,5713.191038605059,-65.59098289249852,0.0,-1.5492747104076995e-05,0.0,-0.0017523498873536,38.71277608917956,1.3012918664209618,38.71277608917956,0.0,-71.00237435607515,2.6934621607322896e-07,-0.3061539472624739,5911.451804470591,-540.0894084225383,0.0,-5.08957962394863e-06,0.0,-1.9172787941886162e-08,48.5000000001246,0.0291811930640197,48.5000000001246,0.0,-1.3018782777528737,999.0000000020556,1.0000000000012363,2.0000000000024727,88.6337211231633,gaze,0.4629039332868157,0.4863377048888781,-62.65532260362856,76.27871840532534,205.3058056657305,32.46839405160934,-6.019415014441027,-29.633856614853286,-0.0043617449455779,-0.0139403600628008,0.990839267391848,5.274699764257328,-33.197491389619444,-6.401869011681798,-30.7634097074812,-0.0045341438485993,0.0068882284557357,0.9786713712052172,4.925514457295846,-0.6319848635265768,-6.267493621330603,-30.17156467742464,-0.0028941803045682,-0.0006271160941092,0.9827780676902036,5.144644279040462,73.19379412754503,False,-0.7356325453354244,imu,-0.1967922712,-9.6787104568,1.3924997184,-1.48032071,2.12293243,-3.95247351,-85.88550351257923,174.9365896456872,125.53553770035909,1285.668614275928,-30.932148048646468,False,-0.8363915615659919,-0.548132425369273,1292.4466417183123,5.779781697474573,147.01980825546343,False,inf
515.452513,565.8073619754894,5.735060914784243,1293.55227050748,4.624805413626461,-4.309306228601426,-13.448102497712714,146.96844698746918,952030.38904047,0.0382215734910868,-13.450511680234928,195227.6014998434,-140.05557984830455,-4.309306228601426,60199341.379524425,17.10977324805748,0.0905294958939176,-234.1755165218393,-13.415028868537451,567.6231660600213,2.183723611071909,-234.43827566269024,-213.03155301304372,-26258702779.041275,-138.86131854423724,0.0,66.50565700504222,-718.9270289965208,2114966723233.0305,1447.6992368389574,-4.716181552979432,7.944792445360972e-07,0.000293546870724,2661.856166020741,-4.891642038929248,0.0,-3.072852552251163e-21,0.0,-9.772007167304177e-16,66.00340000012307,-2.615661687275734e-05,66.00340000012307,0.0,0.0009173481153152,-0.0421335333329917,0.0,1285.667338492076,-30.92875174173548,89.46120000010023,0.0,0.0,0.0,0.0,3.04496849664622,1.1003006549579227e-09,3.04496849664622,0.0,0.0,0.2570028883783923,-14.484395222365508,5713.193849244475,-65.62028339976342,0.0,-1.551380093164168e-05,0.0,-0.0017557196846437,38.7099687653548,1.3031861805579874,38.7099687653548,0.0,-71.10577909522254,2.697140151542101e-07,-0.3061534858907198,5911.425324440264,-540.0685583826544,0.0,-5.096610384487726e-06,0.0,-1.9172016434304596e-08,48.50000000012528,0.0291834093788169,48.50000000012528,0.0,-1.301876147205995,999.0000000020736,1.000000000001247,2.000000000002494,88.8044398345086,gaze,0.6441818871888007,0.2127886001831151,-62.10111366768363,75.46950221205577,201.7330267399777,32.20350512839036,-4.506852742241593,-28.63159497475706,-0.0427178083052807,0.213895348670554,0.9759221119898326,5.230638980865479,-34.13776103582496,-3.698595858986597,-31.27973187241521,-0.1129019611298992,0.3196409832832969,0.9407883869280648,5.532890319824219,-0.7917358575820558,-4.571813842703593,-30.09936215269972,-0.0826003597146672,0.2001335877839417,0.9721443129050024,5.194333920096588,73.16196553277723,False,-1.0,imu,-0.1737822765607405,-9.75260929588927,1.358190923228089,-0.3270848769593499,2.770662243669154,-3.10757052874565,-85.88702959571464,174.93763210149675,125.54094989046564,1285.667338492076,-30.92875174173548,False,-0.7915086665905362,-0.6111579425255564,1292.5152701847676,5.776169530964881,146.9684469874692,False,inf
515.459205,568.7344742715766,5.764721645743441,1293.8072217273948,4.607692227789727,-4.330957849561498,-13.530917487088937,146.77490055123053,958810.7693375348,0.0384168996266423,-13.533330369880035,196562.64812483665,-140.7516767899346,-4.330957849561498,60632264.54380247,17.1972614190671,0.0907057107601642,-235.5100438381432,-13.482146053984916,570.5607301259038,2.195408006574449,-235.77405585466488,-213.2250994492833,-26454997910.91277,-139.55860104906762,0.0,66.8350078911864,-722.0367524682375,2130868990536.2693,1455.5775924369275,-4.740118376666283,7.991548720223059e-07,0.0002949169848838,2662.022616481736,-4.891278803973137,0.0,-3.090057573159783e-21,0.0,-9.81590576088324e-16,66.00340000012329,-2.627852690313777e-05,66.00340000012329,0.0,0.0009216297851106,-0.0415223664692163,0.0,1285.662532896593,-30.9159739566353,89.4612000001016,0.0,0.0,0.0,0.0,3.0427471249522853,1.1063256206016587e-09,3.0427471249522853,0.0,0.0,0.258521578481544,-14.5637197775383,5713.204441662208,-65.73047114091207,0.0,-1.5593110179852974e-05,0.0,-0.0017684238026586,38.69939009456414,1.3103233080778252,38.69939009456414,0.0,-71.49537320610932,2.710995228791527e-07,-0.3061517466306052,5911.325750394026,-539.9901592743317,0.0,-5.123096495621847e-06,0.0,-1.9169114951702133e-08,48.50000000012551,0.0291917586615642,48.50000000012551,0.0,-1.3018681164424135,999.0000000020772,1.0000000000012506,2.000000000002501,89.44780854292009,gaze,0.4634886561353335,0.4871310578262764,-58.19287818818838,75.2596319408125,199.28820975379745,32.45683074221818,-6.029023103721237,-29.6261184223632,-0.0048524536955374,-0.0148085758528822,0.9907625164057476,5.270883968684919,-33.20382118398329,-6.404438456756633,-30.765289444961144,-0.0051131862468616,0.0063284407226426,0.9786846190688714,4.928002374379863,-0.6480412655601575,-6.271654359628496,-30.169167507417423,-0.0034832694983928,-0.0011717435680342,0.9827424571703168,5.143235396549956,73.793226204188,False,-0.6884189440188655,imu,-0.2087553272,-9.6715326232,1.3805366624,-1.42798234,1.88367131,-3.82536604,-85.89263985834907,174.9415024216742,125.56120564027722,1285.662532896593,-30.9159739566353,False,-0.8337410989170776,-0.552155575881059,1292.7741166478763,5.762552779836274,146.77490055123053,False,inf
515.467665,572.4518295737986,5.8023930073955245,1294.1317073740502,4.585953400999841,-4.358450807279316,-13.636187784229255,146.52895136989264,967438.4570189118,0.0386649326925488,-13.638605311967805,198260.83609876293,-141.63555029682038,-4.358450807279316,61183122.95654669,17.308367807943704,0.0909276915533555,-237.20412296119105,-13.567369371908812,574.2913667091176,2.210251997533048,-237.4697253155649,-213.47104863062577,-26704831664.82804,-140.44400161292046,0.0,67.2532052135343,-725.9822346389411,2151109322281.7463,1465.5855260810442,-4.770518106995448,8.050962404304978e-07,0.0002966552415208,2662.233302834262,-4.890819033079367,0.0,-3.1119155033914777e-21,0.0,-9.87162269332642e-16,66.00340000012397,-2.6433191484817225e-05,66.00340000012397,0.0,0.0009270619170522,-0.0407485719358469,0.0,1285.6564306811706,-30.899783196318825,89.4612000001016,0.0,0.0,0.0,0.0,3.0399526898148963,1.1139790042634115e-09,3.0399526898148963,0.0,0.0,0.2604513699679268,-14.66448921188058,5713.217904221732,-65.8699805208145,0.0,-1.569382761415425e-05,0.0,-0.0017845802436198,38.685947828289386,1.3193899126445017,38.685947828289386,0.0,-71.99029259175624,2.7285906496265375e-07,-0.3061495349738692,5911.199694882991,-539.8909197692083,0.0,-5.156735279961346e-06,0.0,-1.9165441041358463e-08,48.50000000012642,0.0292023627790253,48.50000000012642,0.0,-1.3018579064630238,999.0000000020956,1.0000000000012648,2.000000000002529,90.26546710040316,gaze,0.4640806858837221,0.487913439745776,-55.84593396508767,71.78109908874691,199.16057003340327,32.44531065447539,-6.038302345465221,-29.61849353995033,-0.0053530676694286,-0.0156399228033298,0.990684618447586,5.267174532583788,-33.21020278602826,-6.406817733417182,-30.7672251812708,-0.0056911905802682,0.0057827127665262,0.9786981866350276,4.93044796603309,-0.6628027159251362,-6.275653611402974,-30.166861062277142,-0.0040748178023843,-0.0017051790173574,0.9827074432005222,5.141847719854642,67.67554259667315,False,-0.6335699900035807,imu,-0.2296906752000001,-9.6637566368,1.3829292736,-1.18872122,1.83133294,-3.73564312,-85.89945545625281,174.9462910714693,125.5866164612321,1285.6564306811706,-30.899783196318825,False,-0.8310586516077222,-0.5561847872676442,1293.1035691785814,5.745238029992332,146.52895136989267,False,inf
515.472604,574.6308007926102,5.824476080612911,1294.3222718838006,4.573208081394199,-4.374564044233822,-13.69794356230656,146.38470767574563,972504.3677874207,0.0388103067455519,-13.70036378467406,199257.6538807411,-142.1535649790706,-4.374564044233822,61506562.58572047,17.373493467746933,0.0910568740839075,-238.1967465987484,-13.617316919725669,576.4781269470842,2.218955625565976,-238.46328074449184,-213.61529232477096,-26851556426.87044,-140.96292244237677,0.0,67.49830050684996,-728.2929686724881,2162996668101.8853,1471.4531537759865,-4.788337574303309,8.085806281181774e-07,0.0002976732337717,2662.356437634829,-4.890550320475271,0.0,-3.1247319263717688e-21,0.0,-9.9042647106346e-16,66.00340000012511,-2.652376816407674e-05,66.00340000012511,0.0,0.0009302431896403,-0.0402962259076709,0.0,1285.6528541911684,-30.890311677499085,89.46120000010251,0.0,0.0,0.0,0.0,3.03832841735948,1.1184660743100815e-09,3.03832841735948,0.0,0.0,0.2615831074001323,-14.72357157419362,5713.225800871645,-65.95153595445655,0.0,-1.5752862661242493e-05,0.0,-0.0017940621890986,38.67806453040407,1.3247057751992857,38.67806453040407,0.0,-72.28047046611987,2.738904329257999e-07,-0.3061482371141899,5911.12601257494,-539.8329170522757,0.0,-5.176454147752551e-06,0.0,-1.9163293152470697e-08,48.5000000001271,0.029208578894711,48.5000000001271,0.0,-1.3018519160066724,999.00000000211,1.000000000001272,2.000000000002544,90.74505541061151,gaze,0.6279307992490145,0.2316723061868067,-55.46415136583332,71.33499941545209,203.8127587839909,32.34980801452073,-4.447147176335091,-28.54936726535659,-0.0162096541156763,0.2343863243473662,0.9720083837459332,5.299238204956055,-34.03094796526042,-3.794506078187728,-31.22055314227193,-0.0865365011512878,0.3033351766013785,0.9489463655047656,5.378486156463623,-0.8606560844719752,-4.299733545067538,-30.104325550943138,-0.0752118285691242,0.2257896369166809,0.9683619439280594,5.229199108695221,63.53433066620878,False,-1.0,imu,-0.1750291284738593,-9.752536073600805,1.359807942534932,-0.3002608024671953,2.77608003631354,-3.097633500921825,-85.90329347475004,174.9490336879856,125.6013411138056,1285.6528541911684,-30.890311677499085,False,-0.8020159436617939,-0.5973026252347149,1293.2970554741926,5.735077399979711,146.38470767574563,False,inf
515.476139,576.1943334339085,5.840322620722042,1294.4591769125363,4.564061318613227,-4.386125242613481,-13.742279570912247,146.28116961994965,976143.3827657104,0.0389146146044543,-13.74470171411427,199973.5632877769,-142.525233877253,-4.386125242613481,61738896.86981157,17.420224450503866,0.0911491465852634,-238.90883644401697,-13.653153841422492,578.0472504739689,2.225202163075918,-239.17603901883308,-213.71883038056603,-26956967442.99582,-141.33524654429544,0.0,67.67415369026645,-729.9501620270869,2171537042898.2456,1475.6641186784084,-4.80112417133061,8.110816799302093e-07,0.0002984032880921,2662.444630323829,-4.890357860167015,0.0,-3.133930297772341e-21,0.0,-9.927679417424452e-16,66.00340000012397,-2.6588724855922616e-05,66.00340000012397,0.0,0.0009325246429486,-0.0399721953271168,0.0,1285.650288040175,-30.883523862540528,89.46120000010114,0.0,0.0,0.0,0.0,3.037169105425648,1.1216862263528422e-09,3.037169105425648,0.0,0.0,0.2623954494806558,-14.765973327448704,5713.2314696089015,-66.00995725208193,0.0,-1.5795222834762687e-05,0.0,-0.0018008712943305,38.67240603063488,1.3285208207724828,38.67240603063488,0.0,-72.48872322441929,2.746304929717136e-07,-0.3061473051605912,5911.073234796204,-539.7913726750376,0.0,-5.190604029188124e-06,0.0,-1.9161754461733572e-08,48.5000000001271,0.0292130394787687,48.5000000001271,0.0,-1.3018476149102618,999.0000000020992,1.0000000000012612,2.0000000000025224,91.0893260295712,gaze,0.4646815731249712,0.4886871943963598,-55.86628213706951,66.9456838554231,203.12814812212403,32.43380026076727,-6.047285204900079,-29.61095715999417,-0.0058647372505752,-0.0164373906682443,0.9906053712963576,5.263557870044058,-33.216653155502655,-6.409015743225033,-30.769221436164404,-0.0062697646263861,0.005249361950979,0.9787121216773498,4.932859270239871,-0.6763314625276069,-6.279504414724352,-30.16463664309133,-0.0046704038447218,-0.0022289810173379,0.9826729188594896,5.140476498593309,57.70197307874555,False,-0.5718418910120942,imu,-0.2326814392,-9.655980650400002,1.3823311208,-1.10647521,1.76404075,-3.57862801,-85.90597740376053,174.9509729530966,125.61182677519945,1285.650288040175,-30.883523862540528,False,-0.8283354875253848,-0.5602323804512581,1293.4360617665056,5.727781387170306,146.28116961994965,False,inf
515.484613,579.9559202541066,5.878449059813316,1294.7891056414155,4.542051421788159,-4.413936262246142,-13.849021951118935,146.0319552142637,984911.6649406552,0.0391655404029928,-13.851448672236964,201698.0896792168,-143.41928413339963,-4.413936262246142,62298699.76899854,17.532650078757666,0.0913696975471542,-240.62141185436724,-13.739360290328394,581.8222942356442,2.2402343409503347,-240.89022193024857,-213.96804478625745,-27211004051.512302,-142.23089007054523,0.0,68.09717038987527,-733.934061601136,2192119660414.3835,1485.7970671893595,-4.8318869777031495,8.171015399805393e-07,0.0003001582681439,2662.6562516693666,-4.889896043075808,0.0,-3.156066371115357e-21,0.0,-9.98398473750664e-16,66.00340000012488,-2.674487283506393e-05,66.00340000012488,0.0,0.0009380090362504,-0.0391945126123101,0.0,1285.6441149374075,-30.86722248810986,89.4612000001016,0.0,0.0,0.0,0.0,3.0344010205135703,1.1294348173140944e-09,3.0344010205135703,0.0,0.0,0.2643506824273702,-14.868008005032722,5713.245115958474,-66.15017160236772,0.0,-1.589713149764355e-05,0.0,-0.0018172708114348,38.65878653601874,1.33770126604827,38.65878653601874,0.0,-72.98985905819289,2.764109361701864e-07,-0.3061450607678173,5910.946577769733,-539.6916816127759,0.0,-5.224647886278218e-06,0.0,-1.9158061264346252e-08,48.50000000012778,0.0292237714685478,48.50000000012778,0.0,-1.3018372583174376,999.00000000211,1.0000000000012683,2.0000000000025366,91.91805513152455,gaze,0.4652900083557079,0.4894508705110185,-54.2488892914738,61.705229127957935,207.69900798859567,32.42232183063873,-6.055958967596004,-29.603521490527687,-0.0063861989438657,-0.0171999164766965,0.9905249489237564,5.260038450590466,-33.22315840828907,-6.411029740061266,-30.771273402182533,-0.0068477185108559,0.0047293567867582,0.9787264062873328,4.935232447426067,-0.6886224210001974,-6.283200338786973,-30.16249679438056,-0.0052687458144148,-0.002742119258114,0.9826389471071292,5.1391237220029655,47.44926155504368,False,-0.5043278478998521,imu,-0.2566075512,-9.6458120528,1.3733588288,-0.93450628,1.8014253,-3.43656672,-85.91219952653047,174.95554212306934,125.6367710280798,1285.6441149374075,-30.86722248810986,False,-0.8255758524044196,-0.564291158823808,1293.7710618883148,5.71021062188576,146.0319552142637,False,inf
515.492586,583.5126015874916,5.91450177696984,1295.101782918915,4.521234830686126,-4.440228189143217,-13.950050031897025,145.79616144778538,993219.7060758471,0.0394027707257452,-13.952481025680974,203331.4864134012,-144.264477467113,-4.440228189143217,62829104.27246408,17.63895030763226,0.0915763744230331,-242.23993680907245,-13.820856691477978,585.3917075431132,2.254452969289888,-242.51026601634945,-214.2038385527476,-27451766684.68609,-143.07761173422088,0.0,68.49707256796796,-737.6970471677445,2211627609818.8296,1495.3807577585849,-4.860974666421573,8.227970595371642e-07,0.0003018158338203,2662.8556308580883,-4.889460939140136,0.0,-3.177004887477053e-21,0.0,-1.0037188877784301e-15,66.00340000012739,-2.6892351333488912e-05,66.00340000012739,0.0,0.0009431890051156,-0.0384616124102699,0.0,1285.638278889328,-30.85184629529749,89.46120000010478,0.0,0.0,0.0,0.0,3.0318107528171367,1.1367632134464802e-09,3.0318107528171367,0.0,0.0,0.2662005465376521,-14.964514847538952,5713.25802974368,-66.28231400137324,0.0,-1.5993485630888907e-05,0.0,-0.0018328002453604,38.64590099980399,1.3463843520497476,38.64590099980399,0.0,-73.46384639905861,2.780943775988731e-07,-0.3061429356923355,5910.827228421636,-539.5977525984599,0.0,-5.256839484386209e-06,0.0,-1.915458035334514e-08,48.5000000001296,0.0292339196337149,48.5000000001296,0.0,-1.3018274543637247,999.0000000021572,1.0000000000012932,2.0000000000025864,92.70225183801924,gaze,0.605059878543279,0.3030728168827774,-46.39490915875059,54.60385072124157,209.1886628336218,32.41003937898263,-4.320047942440464,-28.85765011264013,-0.0176905061921742,0.2255681340228121,0.9740667651162992,5.226922035217285,-33.87579679688517,-4.181822622601718,-31.08617761776442,-0.0505458825294734,0.237346998202926,0.9701090228440188,5.074825763702393,-0.8690431364242762,-4.217516236983231,-30.025516210498058,-0.0664428546379087,0.240998953043126,0.9661870416768286,5.26519525966568,39.33857523461038,False,-1.0,imu,-0.1761949929982982,-9.75245294303907,1.361420526385256,-0.2757357620595443,2.7814549418392374,-3.088419804741323,-85.9177847797915,174.959740081344,125.65997773784144,1285.638278889328,-30.85184629529749,False,-0.8068162640218947,-0.5908024340756837,1294.088555189379,5.693573761242842,145.79616144778538,False,inf
