,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_1,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_4_x,hazard_4_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,local_collision_flag,global_collision_flag,time_to_collision_flag
808,808,289.454678,-6419.990603647424,-66.1615879081843,4939.561150187103,40.26063638732046,-12.73278377183154,-186.73789385458304,-20866.271642734064,16300752.55924797,0.8271230166434506,-186.68192523481292,1048360.130479241,-759.3514453910294,-12.73278377183154,-62522068.694334745,-0.6402110692397471,-1.9129979704342184,-2525.80833419428,54.62506474243338,-6389.822777197002,-59.84143825035152,-2527.9356236632893,-66.6949979519577,3349028521.724471,440.04536606380856,0.0,52.154298111674336,-15014.460808500073,245505711836.85907,-14105.208012058743,0.4479667970236276,0.0,0.0,1779.949999997043,-3.30368999996594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999970716,-0.0966620999996754,0.1237360000001537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.745001175858411e-07,0.3704532138287533,6163.5091190371895,-675.8406066666212,0.0,-5.291508347225422e-06,0.0,-2.6031286862153586e-08,53.99999999951979,-0.0327885579915929,53.99999999951979,0.0,1.4149708980389732,195.89496034194025,0.0,5024.379713441071,-7.17560999995635,0.0,0.0,0.0,0.0,102.431016078036,-3.426160260569516e-11,102.431016078036,0.0,0.0,998.9999999949214,2.000000000001961,4.000000000003922,604.4667276300115,gaze,0.4948379182805119,0.4446766754983923,-53.638982912434685,343.8254437145436,2128.706431742832,32.568361935922475,-5.296790666472509,-29.14480329588258,0.0023866522982481,0.1055689773681727,0.986839281445918,5.113249325554359,-33.32263312224055,-5.496673541403435,-30.55963779895517,0.0193801904270478,0.077363447344605,0.9901964545796136,4.978617084864948,-0.4200183045704402,-5.490717112840858,-29.84110726592341,0.0167412540500002,0.0882633037018824,0.9870785500122398,5.027948030121973,3.219737997542977,True,1.6790301445641278,imu,-0.1668846312,-9.6326526912,1.154434904,2.00391935,5.18846553,-3.21973633,-85.09396218042441,173.97539399389584,126.55883468170543,5024.379713441071,-7.17560999995635,False,0.9687602268758232,-0.2479992395623494,4938.222661993995,39.4189420503364,-18346.271642734064,False,False,inf
809,809,289.463117,-6452.98061748432,-66.46006885301868,4942.1960056287935,40.41809735099196,-12.785171354020022,-187.71787108223344,-20982.58931444143,16394462.2227664,0.8311220881059722,-187.6615844323202,1054419.7640855534,-762.8746363518337,-12.785171354020022,-62897351.45563471,-0.6464141744584264,-1.923811298319381,-2537.061278698631,54.87908206967103,-6422.662624069203,-60.10576314447516,-2539.1972792897327,-65.98867972098196,3369521346.507943,442.15601171267065,0.0,52.43798521313616,-15091.91423939892,247019714841.4633,-14178.44241501844,0.4504261366387725,0.0,0.0,1779.949999997043,-3.3036899999657123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999970134,-0.0966620999996692,0.1237360000001537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.772267177831938e-07,0.3704185816626157,6163.636200398963,-675.8708855850782,0.0,-5.316430661322205e-06,0.0,-2.6032629018925187e-08,53.999999999515694,-0.0327832334983657,53.999999999515694,0.0,1.414837924746493,196.8192419509256,0.0,5024.240968589846,-7.1756099999555545,0.0,0.0,0.0,0.0,102.7297648536669,-3.4416196021711194e-11,102.7297648536669,0.0,0.0,998.9999999948776,2.0000000000019327,4.000000000003865,607.7410260628978,gaze,0.49494660223621,0.4450010361398424,-51.656140381315495,347.95239945795424,2149.1835604631497,32.56492861884696,-5.301922436996364,-29.1426557512749,0.0022402842326247,0.1053765422475778,0.9868038973701432,5.117053093320624,-33.32452818061289,-5.5006024078532505,-30.56038681900598,0.0190482613746212,0.0768500411979188,0.990215752687916,4.98072934829053,-0.4211771500405861,-5.496771329710569,-29.84015886826351,0.0165611995620717,0.0878395952165964,0.987056877370423,5.030881712718457,2.195421568757292,True,1.5660538431321294,imu,-0.1501363528,-9.6822993736,1.1681924184,2.07121154,5.10621952,-3.4216129,-85.09446899492625,173.96899425512214,126.55300493712392,5024.240968589846,-7.1756099999555545,False,-0.2074400963259059,0.9782477224283728,4942.034968761008,41.9910141088701,-18462.589314441426,False,False,inf
810,810,289.463703,-6455.276437514555,-66.48083552608041,4942.379363893182,40.42905303970929,-12.78881560275301,-187.78606892456168,-20990.68572652433,16400985.334553242,0.83140034763602,-187.72976013974124,1054841.5793799434,-763.1197627570289,-12.78881560275301,-62923477.65324132,-0.6468464603258708,-1.924563900070969,-2537.844097056857,54.89675522491758,-6424.947994542449,-60.12415262402474,-2539.9807035710687,-65.93951193090652,3370948074.112365,442.3028661596696,0.0,52.45772837248974,-15097.304354913023,247125123145.07968,-14183.538995006322,0.4505972609814739,0.0,0.0,1779.9499999969848,-3.303689999965598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999969697,-0.0966620999996656,0.1237360000001484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.774164323211751e-07,0.3704161719203149,6163.645025416161,-675.8729869491654,0.0,-5.318164708380245e-06,0.0,-2.6032722196009303e-08,53.99999999951342,-0.03278286307556,53.99999999951342,0.0,1.414828672271511,196.8835512239084,0.0,5024.231295748439,-7.175609999955213,0.0,0.0,0.0,0.0,102.75056428508196,-3.44269514235054e-11,102.75056428508196,0.0,0.0,998.9999999948486,2.000000000001819,4.000000000003638,607.9688723888844,gaze,0.5127215618518832,0.3827107062668435,-51.89390232093166,348.4047756083314,2152.011850463536,32.30287453061506,-4.612082092462599,-29.10544760767505,-0.0367139899242166,0.1639124092900485,0.9857914612252312,4.943432807922363,-33.83254513585361,-4.818240151496572,-30.61183974803429,-0.0095340620663327,0.1554974816046065,0.9877902787915764,4.913016319274902,-0.7632236319099917,-4.712756355391376,-29.85581746689828,-0.0227253311788964,0.16082541667271,0.9866095486819112,4.927766942977906,3.620141829657775,True,3.0,imu,-0.1460053392702525,-9.755670595446064,1.2584435315662963,1.5969281497149956,3.4691774064748846,-3.0900577948843884,-85.09450538683718,173.9685511970204,126.55259226136182,5024.231295748439,-7.175609999955213,False,-0.375061680189954,0.9269998576338015,4942.441460557298,42.00897202633666,-18470.685726524327,False,False,inf
811,811,289.471555,-6486.101747613776,-66.7596006089929,4944.841199779708,40.57612384695437,-12.837727377051394,-188.70174013486275,-21099.41533280444,16488590.96826172,0.8351359392222875,-188.64513411651367,1060506.6417173238,-766.410285351937,-12.837727377051394,-63274389.07129776,-0.6526582102460514,-1.9346699626587376,-2548.3511405963905,55.133994127891135,-6455.633011093254,-60.37099696562609,-2550.495878953703,-65.27917289543984,3390111916.52237,444.2742834590842,0.0,52.72282640856554,-15169.67619517422,248540997200.17773,-14251.970527995672,0.4528945910033357,0.0,0.0,1779.949999997043,-3.3036899999655134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999970134,-0.0966620999996727,0.123736000000159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.799632566761922e-07,0.3703838214949222,6163.763281515916,-675.9011288900801,0.0,-5.341443104625224e-06,0.0,-2.603397043465117e-08,53.99999999951342,-0.0327778909707694,53.99999999951342,0.0,1.4147044585119204,197.74685323579047,0.0,5024.101203484053,-7.1756099999555545,0.0,0.0,0.0,0.0,103.02994634871176,-3.457132388175076e-11,103.02994634871176,0.0,0.0,998.9999999948632,2.000000000001961,4.000000000003922,611.0278904116674,gaze,0.4950545584370908,0.4453164492173825,-48.41205987985165,357.77756272653784,2201.079171745336,32.56152955190335,-5.306960598487434,-29.14052080424613,0.0020959608320957,0.105193599175493,0.9867678401115192,5.120827821381827,-33.32641805382471,-5.504451161467884,-30.561134503739808,0.0187179168744649,0.076346457469026,0.99023447365752,4.982820956102176,-0.4226569989139411,-5.502731018516238,-29.83921629794641,0.016382398234906,0.0874257851086696,0.9870347180080644,5.033793582992739,1.572978685195364,True,1.4526911896092027,imu,-0.1393696024,-9.746899876,1.1795573216,2.12354991,4.94920441,-3.52628964,-85.09500798240555,173.9626316743627,126.54696471524942,5024.101203484053,-7.1756099999555545,False,-0.7792051238833013,-0.6267689964524483,4946.317513950133,40.009999770267314,-18579.415332804438,False,False,inf
812,812,289.479993,-6519.35830787983,-67.06022146920779,4947.497074214567,40.73473608432517,-12.890458483599796,-189.68962885764688,-21216.765204589115,16583151.352131369,0.8391650860351094,-189.6327020906851,1066621.576365018,-769.9588439082579,-12.890458483599796,-63653232.36654219,-0.6589440872590329,-1.9455753866911365,-2559.679346022968,55.38983343520981,-6488.738232603562,-60.63717350663202,-2561.8328498853434,-64.5663832221835,3410803020.9881496,446.4004524175237,0.0,53.00885884539335,-15247.75680544116,250069765402.8289,-14325.801942983304,0.4553724777091785,0.0,0.0,1779.9499999969266,-3.303689999965286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.089999996926,-0.0966620999996656,0.1237360000001466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.827100854775949e-07,0.3703489288551971,6163.8903774423525,-675.9313401444015,0.0,-5.366548883387997e-06,0.0,-2.603531126892081e-08,53.99999999950887,-0.0327725297304399,53.99999999950887,0.0,1.4145704821628158,198.67791297742812,0.0,5023.960398877447,-7.1756099999551,0.0,0.0,0.0,0.0,103.33160094219602,-3.4727005941846324e-11,103.33160094219602,0.0,0.0,998.999999994776,2.0000000000018474,4.000000000003695,614.3277440606678,gaze,0.4951617749872141,0.4456228309590515,-50.23138448523141,361.4477720094412,2226.830661680526,32.558165166578924,-5.311904025867899,-29.138398790921208,0.0019537026687828,0.1050202306323277,0.9867311083581548,5.124573235904119,-33.32830255696939,-5.50821900126562,-30.56188071410805,0.0183891886465023,0.075852796667191,0.9902526145653,4.984891746723247,-0.4244263503652535,-5.508595074816175,-29.838279669793764,0.0162048718465839,0.0870219718978778,0.9870120709037672,5.036683447612284,1.829531159604048,True,1.3396591466868175,imu,-0.128602852,-9.8168837536,1.1801554744,2.19831901,4.62769728,-3.47395127,-85.09557903390758,173.9563068054884,126.54071502066496,5023.960398877447,-7.1756099999551,False,0.9147881517242772,-0.4039339518595599,4946.31598032939,39.68353808470869,-18696.765204589115,False,False,inf
813,813,289.48019,-6520.136362131684,-67.06725302813503,4947.559208117542,40.73844617690577,-12.891691679458557,-189.7127409782774,-21219.51121649496,16585364.199399471,0.8392593366460361,-189.65580670635129,1066764.6762514152,-770.0418457668482,-12.891691679458557,-63662098.75444528,-0.6590913434194476,-1.9458305528139013,-2559.9442817834533,55.395817552090975,-6489.512746455389,-60.64339914972561,-2562.0979906238954,-64.54970258606772,3411287295.2711987,446.4501860964724,0.0,53.01555103690688,-15249.583549522393,250105546841.70044,-14327.529298391764,0.4554304412404804,0.0,0.0,1779.9499999968975,-3.303689999965286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999969406,-0.0966620999996674,0.1237360000001519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.827743381972791e-07,0.3703481126394443,6163.893344898068,-675.9320450963642,0.0,-5.367136139159405e-06,0.0,-2.603534256612117e-08,53.99999999951115,-0.032772404338893,53.99999999951115,0.0,1.4145673481430094,198.6996914813789,0.0,5023.957099104533,-7.1756099999551,0.0,0.0,0.0,0.0,103.33866123937878,-3.473064724654799e-11,103.33866123937878,0.0,0.0,998.9999999948486,2.000000000001876,4.000000000003752,614.4049404279568,gaze,0.4951642691122381,0.4456298751139214,-50.3762457359606,361.35572188768015,2226.5811208242467,32.558087040095124,-5.312018293302976,-29.138349408031093,0.0019504063756052,0.1050162982576718,0.986730242756658,5.124660323207612,-33.32834648658312,-5.508305991380523,-30.561898116263382,0.0183815337844375,0.0758413911178804,0.99025303112579,4.984939840989742,-0.4244708384075721,-5.508730824508563,-29.83825787537097,0.0162007427557184,0.0870126647812534,0.9870115363533792,5.036750649369552,1.850813830070841,True,1.3370304337682606,imu,-0.148984898536835,-9.755403702449671,1.2589954082040045,1.5618569939424691,3.365107157483579,-3.053639800612736,-85.645726,174.0441236,127.4492864,5023.957099104533,-7.1756099999551,False,0.9330916246132432,-0.3596387355063669,4946.329109026761,39.745039801417775,-18699.511216494957,False,False,inf
814,814,289.483684,-6533.948272291662,-67.1920639897287,4948.662187937123,40.80430174282026,-12.913579594229592,-190.12302377934685,-21268.26222135685,16624650.594211102,0.8409323590632112,-190.06595627362452,1069305.252731482,-771.5151428897149,-12.913579594229592,-63819517.57746764,-0.6617068926401588,-1.95036043943844,-2564.646675688147,55.50203632669015,-6503.26180980877,-60.75390304982552,-2566.804022546773,-64.25355571176624,3419885546.886079,447.33298210031495,0.0,53.13435227851545,-15282.011717091404,250740848728.9169,-14358.193309998149,0.4564593418176796,0.0,0.0,1779.9499999969555,-3.303689999965286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999970134,-0.0966620999996665,0.1237360000001537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.839148619495669e-07,0.3703336241669817,6163.945977152034,-675.9445452473301,0.0,-5.3775602113054805e-06,0.0,-2.603589760193161e-08,53.99999999950796,-0.0327701786895135,53.99999999950796,0.0,1.414511716692246,199.0862692095848,0.0,5023.898479756143,-7.175609999955327,0.0,0.0,0.0,0.0,103.46401689763206,-3.479527991927244e-11,103.46401689763206,0.0,0.0,998.9999999947904,2.0000000000019043,4.0000000000038085,615.7752784862986,gaze,0.512685464417894,0.3827616369763975,-53.23566237955104,358.4107761408667,2214.667372987259,32.3029960698164,-4.615054332741371,-29.10667532722436,-0.0368178096850425,0.1628534299588494,0.985963087159268,4.945693969726562,-33.83061595300487,-4.80940890808599,-30.61602229091825,-0.0093204848102474,0.1564394194511924,0.987643577716514,4.917076587677002,-0.7648558303378081,-4.716824112249861,-29.85706398581069,-0.023088724613072,0.1597609337142606,0.9867822586097016,4.925213193893432,1.509485168319702,True,3.0,imu,-0.1496141900344292,-9.755346637699546,1.2591175985329457,1.5491163608276033,3.342837352000762,-3.046313518629631,-85.0958388639641,173.95355233398297,126.53791583378326,5023.898479756143,-7.175609999955327,False,0.8694827016847512,0.4939633908206012,4947.104249524082,41.07416819343807,-18748.262221356847,False,False,inf
815,815,289.488431,-6552.750711714996,-67.36193442729335,4950.163658968755,40.89393565086584,-12.94336511964967,-190.68154923119909,-21334.64068800793,16678144.855223656,0.8432095716896175,-190.6243003311592,1072764.6648431406,-773.5203468720174,-12.94336511964967,-64033887.81835154,-0.6652719840141357,-1.9565277153496807,-2571.0459900858696,55.6466024683597,-6521.978700278854,-60.9042952986663,-2573.208287256385,-63.8502999290431,3431595027.593915,448.5345401002993,0.0,53.29608613219114,-15326.157042528292,251606047042.27768,-14399.937593670717,0.4578598235291204,0.0,0.0,1779.9499999968684,-3.303689999965144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999969697,-0.0966620999996656,0.1237360000001519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.854672329651148e-07,0.3703139033683236,6164.017488176411,-675.9615193209465,0.0,-5.391748256613695e-06,0.0,-2.6036651522252263e-08,53.99999999950569,-0.032767149728774,53.99999999950569,0.0,1.414435994250951,199.61243065224613,0.0,5023.81855189905,-7.1756099999551,0.0,0.0,0.0,0.0,103.634733709976,-3.4883243674387446e-11,103.634733709976,0.0,0.0,998.999999994776,2.0000000000018474,4.000000000003695,617.6406232295377,gaze,0.4952682272704132,0.4459200600991723,-59.268291161395965,350.3653036787018,2178.40519805224,32.554836295670405,-5.316750995922241,-29.1362903003621,0.0018135472963622,0.1048565409146274,0.9866937050616872,5.128288614040819,-33.3301812826179,-5.511904668866754,-30.56262522324919,0.0180621474137445,0.0753692190955129,0.9902701702670944,4.986941309356297,-0.4264495839358582,-5.51436168627408,-29.83734921074379,0.0160286632002955,0.0866283032918147,0.9869889376612228,5.039550766755422,3.601705615728133,True,1.227751817131777,imu,-0.1357806856,-9.8731101168,1.1855388496,1.99644244,4.23889796,-3.40665908,-85.09618198050589,173.95002095563524,126.53425761144572,5023.81855189905,-7.1756099999551,False,-0.0708824873909148,0.9974846730558202,4949.786658265872,42.429471541044,-18814.64068800793,False,False,inf
816,816,289.497258,-6587.828369701335,-67.67872868361488,4952.964670904563,41.06110476853803,-12.998899142667774,-191.72352587181416,-21458.514777635923,16777982.794307232,0.8474569748800974,-191.6659385017038,1079221.1917450973,-777.259929810299,-12.998899142667774,-64434038.30720136,-0.6719367675626859,-1.9680353128065005,-2582.9778885761234,55.91620650527428,-6556.896776440867,-61.18474604141603,-2585.149414259968,-63.09766789123751,3453453953.339727,450.77550944806256,0.0,53.59783755042666,-15408.51473461112,253221223802.77307,-14477.817583934417,0.4604719908339687,0.0,0.0,1779.949999996839,-3.303689999964803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999969115,-0.0966620999996594,0.1237360000001501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.883625621646709e-07,0.3702771205890407,6164.150474682741,-675.9930554270904,0.0,-5.418209793518407e-06,0.0,-2.603805294139752e-08,53.99999999950296,-0.0327615015722431,53.99999999950296,0.0,1.4142947572571811,200.59374154533327,0.0,5023.669046950119,-7.175609999954418,0.0,0.0,0.0,0.0,103.95342868374884,-3.504728040954763e-11,103.95342868374884,0.0,0.0,998.9999999946886,2.0000000000017906,4.000000000003581,621.120208872651,gaze,0.4953787426542347,0.4462210664168511,-62.453228066781406,338.0706298550342,2105.7314203754586,32.551392865127255,-5.321716330828122,-29.13409971610889,0.0016692213302155,0.1046957749632424,0.986653862071957,5.132142347704242,-33.33213999608788,-5.515670954462079,-30.563401988953142,0.0177219110853311,0.0748743117232855,0.9902879035289954,4.9890621964938,-0.4287945487665135,-5.520287904799515,-29.836382704798524,0.0158457875119714,0.0862275017925803,0.9869642195194146,5.042525559722309,7.926968711508014,True,1.1128229119364614,imu,-0.1202287128,-9.939505077600002,1.18135178,1.99644244,3.99215993,-3.48890509,-85.09684667256718,173.94348849294937,126.52728220208856,5023.669046950119,-7.175609999954418,False,-0.7885176509183848,-0.6150121252383179,4954.449700496316,40.51825385749636,-18938.51477763592,False,False,inf
817,817,289.503776,-6613.826264606781,-67.91342589126788,4955.040547624347,41.184959871121805,-13.040030268554307,-192.49578657570012,-21550.35701626097,16852011.0026536,0.8506041594020781,-192.43794829547187,1084008.7040265135,-780.0304383916869,-13.040030268554307,-64730797.66714257,-0.6768879117166025,-1.976565853921237,-2591.815725427429,56.11594293030196,-6582.776411518598,-61.39250282982037,-2593.994085211937,-62.53958397493443,3469666317.0554457,452.4358691390652,0.0,53.82149990099846,-15469.554829092976,254419211838.0684,-14535.540407169276,0.4624075383049595,0.0,0.0,1779.9499999969555,-3.3036899999649734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999969697,-0.0966620999996656,0.1237360000001537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.905078074777487e-07,0.3702498657623749,6164.248684473103,-676.0163196312787,0.0,-5.437815517132682e-06,0.0,-2.6039087364700475e-08,53.999999999504325,-0.0327573176373334,53.999999999504325,0.0,1.4141901042643354,201.3207992584289,0.0,5023.557913976663,-7.175609999954759,0.0,0.0,0.0,0.0,104.18980345456566,-3.5168800116150845e-11,104.18980345456566,0.0,0.0,998.999999994776,2.000000000002018,4.000000000004036,623.6987900906779,gaze,0.5122071706713052,0.381702970181191,-48.46699025740061,343.5421553399683,2106.283500274681,32.31341691020695,-4.597717246300307,-29.10392392611242,-0.03553719064034,0.1656326063836947,0.985547029716967,4.95518159866333,-33.82259254099525,-4.810037221688208,-30.6152153369694,-0.0085374682420071,0.1560591187078343,0.9877108195743078,4.916355609893799,-0.7630817222318178,-4.714508812826966,-29.85811434680703,-0.0229592249204562,0.1598098844767535,0.9867781423655196,4.927731704711914,13.100560303790733,True,3.0,imu,-0.1532170149566995,-9.755015387276412,1.259855738803508,1.441238751510689,3.215150064058233,-3.006866402000348,-85.09735965888909,173.93869400236463,126.52198811478786,5023.557913976663,-7.175609999954759,False,0.6644032574733888,-0.7473742780285859,4954.450237173071,39.71814919106978,-19030.35701626097,False,False,inf
818,818,289.506086,-6623.059612929032,-67.99676086790255,4955.777790200023,41.22893922957337,-13.054632577866531,-192.77006016208043,-21582.982140668435,16878309.426567554,0.8517217447173403,-192.7121327586052,1085709.4824175,-781.0141824882123,-13.054632577866531,-64836232.11619861,-0.6786486986557483,-1.9795958772499629,-2594.953423935983,56.18686424398561,-6591.967761959384,-61.466268830042914,-2597.13420975364,-62.34132147642413,3475426620.6931186,453.0254481286401,0.0,53.90093903858826,-15491.233776937828,254844869127.10712,-14556.041484662885,0.4630948673234227,0.0,0.0,1779.9499999968684,-3.303689999964803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999968678,-0.0966620999996639,0.1237360000001501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.912695779412534e-07,0.3702401873971226,6164.283492455434,-676.0245599353148,0.0,-5.444777350263679e-06,0.0,-2.6039453884619526e-08,53.99999999950114,-0.0327558321321657,53.99999999950114,0.0,1.4141529410980809,201.57896964468355,0.0,5023.518377726548,-7.17560999995419,0.0,0.0,0.0,0.0,104.27378904858053,-3.521194722536475e-11,104.27378904858053,0.0,0.0,998.9999999947032,2.0000000000019043,4.0000000000038085,624.6145266550704,gaze,0.4954883796372964,0.4465118227607498,-38.71126389882047,349.2375140687646,2121.429287353689,32.547989754060225,-5.326572849713707,-29.13192499554995,0.0015272629593367,0.104545812562968,0.9866132865478572,5.13596203594893,-33.33409170377043,-5.519344955162887,-30.56417647626777,0.0173836395430946,0.0743907378285344,0.9903049871100318,4.991159177651662,-0.4313235995307462,-5.52610413432355,-29.83542334755604,0.0156644278991203,0.0858380834616564,0.9869389703803298,5.045474812963698,15.55271611038348,True,1.0011019537364116,imu,-0.116639796,-10.0124797192,1.2034834336,1.8917657,3.79028336,-3.27955161,-85.09754596510523,173.9370008987311,126.52008284519572,5023.518377726548,-7.17560999995419,False,0.953370322741586,-0.3018029617409417,4954.4898047233,40.311827779558406,-19062.982140668435,False,False,inf
819,819,289.514914,-6658.440952342426,-68.31599860649318,4958.602734784945,41.39742196026759,-13.110559658232756,-193.8210481102096,-21708.030803550035,16979115.176166058,0.8560034506630204,-193.7627791433923,1092228.9188126964,-784.7827221865505,-13.110559658232756,-65240431.49731997,-0.6854072308869581,-1.991208274909676,-2606.9713562636257,56.45854805069254,-6627.18818379999,-61.74883486608597,-2609.161432865703,-61.58133332900616,3497510983.78464,455.2841275273221,0.0,54.20536064342022,-15574.305979581242,256476832338.6978,-14634.601567803596,0.4657281884926991,0.0,0.0,1779.9499999969555,-3.3036899999646323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0899999969406,-0.0966620999996639,0.1237360000001537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.941879860711394e-07,0.3702031075192309,6164.416526426328,-676.0560292395603,0.0,-5.471448233151355e-06,0.0,-2.6040854193712426e-08,53.9999999995016,-0.0327501419912912,53.9999999995016,0.0,1.4140105600742174,202.5680149062265,0.0,5023.36655779439,-7.175609999954531,0.0,0.0,0.0,0.0,104.59578464343303,-3.5377227268121536e-11,104.59578464343303,0.0,0.0,998.9999999947177,2.000000000001989,4.000000000003979,628.123224896098,gaze,0.4955970982007217,0.4467921609445995,8.459227383168171,368.2175551214911,2189.168443147292,32.54462828086762,-5.331318067490838,-29.129767053616487,0.0013877299141627,0.1044067863383833,0.9865719867359318,5.1397464251182,-33.336035725541386,-5.52292484512273,-30.564948341193688,0.0170474508641552,0.0739187317606176,0.990321413432591,4.993231549205491,-0.4339806989286997,-5.531807677325786,-29.83447150644496,0.0154846527686845,0.0854602576319085,0.9869131951563822,5.048397578787565,26.66289936789622,True,0.8937020756657648,imu,-0.1537252696,-10.0525559568,1.2094649616,1.62259694,3.30428421,-3.13749032,-85.0982795851254,173.9305603854894,126.51266258756792,5023.36655779439,-7.175609999954531,False,-0.3006478236610597,0.9537352285240742,4958.591582052745,42.978521456366586,-19188.03080355003,False,False,inf
