Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID
gaze,403.767666,0.4314869535385122,0.3826780033557636,285.7330814130619,308.0532793055384,1919.476093020491,33.36346999697903,-11.60584365238157,-29.37151976738928,0.1269560593303736,0.1587258890712308,0.9791262692512392,4.107754230499268,-30.08957874301621,-10.82026564230436,-28.72983074588817,0.1577756282657271,0.1613211866296616,0.9742085638454188,4.089728355407715,1.636945626981408,-11.213054647342965,-29.050675256638726,0.14236584379805034,0.1600235378504462,0.976667416548329,4.098741292953491,0.18429025517864875,True,0.0
gaze,403.787757,0.4369280716462432,0.3878141612559659,265.0254133206253,298.3225561801224,1932.476205802601,33.25726359307522,-11.65761770921806,-29.31853155779844,0.1160416588351605,0.1534895080743628,0.9813130511339764,4.096620559692383,-30.19579403445741,-10.85886700647092,-28.71205195896893,0.1469440677598051,0.1555585044430121,0.9768362158753408,4.091440677642822,1.583840203145157,-11.235648502593728,-29.032983507511204,0.13692935354776659,0.15727377205456683,0.9778710250264937,4.096385955810547,0.18429025517864875,True,0.0
gaze,403.807739,0.4321411028022245,0.3928868813627353,707.4366313038124,711.9228121459994,4804.587699921551,33.42716051436323,-11.77592869322076,-29.4132180343151,0.1372131323052621,0.1447582041230757,0.979906943878877,4.098074913024902,-30.0370397435326,-10.95481687431782,-28.7383494910098,0.1486033244833921,0.1481713431097956,0.97773324840343,4.057286262512207,1.6209135972352098,-11.278889929652246,-29.04725025922829,0.1389223118299534,0.15367077257518977,0.9781873820647137,4.090150833129883,0.7463825016376965,True,0.0
gaze,403.82783,0.37933757980602,0.4163516525295503,270.18062425069,123.9830413774812,1041.301434176411,34.15974875768441,-11.98276490155865,-29.71427487686564,0.2136098634560951,0.1239097269615364,0.9690290015260564,3.919832229614258,-28.90727763939523,-11.1620977274985,-28.96312061579129,0.2671354707505092,0.1198592009331094,0.9561759316248136,4.047086238861084,1.8722440877125552,-11.35227527587133,-29.12011213100333,0.1642849006482906,0.14572419541822304,0.974291153192394,4.06347793340683,1.4038682772834252,True,0.0
gaze,403.847811,0.3445013660710929,0.4268109179998614,333.6829257623384,105.849336997017,999.3780164063114,34.84476630798554,-12.14294407036268,-30.09144521026066,0.2791190049970671,0.1018296566800793,0.9548420299033052,3.989410877227783,-28.16332325490546,-11.28446325219833,-29.19595005393542,0.3279940945851565,0.1142727528312259,0.9377428282197828,4.143563747406006,2.1659395754780517,-11.424560952953165,-29.22482923122227,0.19213923047685483,0.13818959728570895,0.9686914083662239,4.064079809188843,1.0628022060784945,True,0.0
gaze,403.887884,0.3479103678743733,0.4422283312619085,345.9276998163458,92.74929943010554,1060.93492264713,34.87177987778477,-12.34362534974398,-29.98116916963168,0.2746753804680582,0.0855369505558285,0.9577248380690236,3.980287075042725,-28.15885426813717,-11.46343573302714,-29.09339756998859,0.3216854685682524,0.0966717439364558,0.9418986321448334,4.126956462860107,2.50984301104653,-11.562656131761685,-29.322150853856556,0.22330214662087586,0.12440575916484815,0.9633202720779439,4.055055904388428,1.1407486688169544,True,0.0
gaze,403.907974,0.3554877157485661,0.4488382441478489,319.3595504030858,82.1269331789419,1031.544529733424,34.77844027982453,-12.44402256380758,-29.86833407523049,0.259754071841135,0.078720019521882,0.9624608982646646,3.979747533798218,-28.2953382311887,-11.54208888703625,-29.00680164121659,0.3087073177843486,0.09055292671388,0.9468368177304596,4.117350101470947,2.8520062600483316,-11.709618805277168,-29.406606073824527,0.2538497129239276,0.11042825253668687,0.9584351169765247,4.045959544181824,1.5791387175151854,True,0.0
gaze,403.927956,0.3633636614907976,0.4548936089361174,328.4113982031583,81.38250469349548,1122.630703995067,34.66407351254252,-12.48362066994372,-29.78323894830881,0.2463041637626641,0.0771521272625248,0.9661168708660678,3.98821496963501,-28.4759614492664,-11.63735132274149,-28.9269585224999,0.2950804369611028,0.078439134948814,0.9522472566677872,4.136158466339111,3.131805389292881,-11.848641447791831,-29.462469068372904,0.2794065273174389,0.09669442403453361,0.9545075105016794,4.042860770225525,0.9282962357969344,True,0.0
gaze,403.948047,0.3715333404102715,0.4595116920305985,308.0573209241408,75.19534862564848,1120.507910302885,34.52588333264431,-12.53820260082304,-29.69557119932327,0.2310867398418744,0.0707501220881289,0.9703573253671912,3.993040084838867,-28.65397135970851,-11.67740857168555,-28.85963421474305,0.2800466003110162,0.075557362537214,0.9570083524299368,4.136023998260498,3.193749474757543,-11.955716302136976,-29.450250060513845,0.2824453279120675,0.08694827970760331,0.9547235849663052,4.059075331687927,0.5242740704537401,True,0.0
gaze,403.968029,0.3803803627714205,0.4655745260760212,270.9363817294233,63.55268938058031,1058.919675511181,34.32170338332219,-12.60368756458472,-29.59193666835828,0.2126749627334254,0.0634590188763358,0.975060158733598,4.007730484008789,-28.84716728892258,-11.71396564070314,-28.7972564380715,0.264371443071575,0.0712523511813463,0.961785237222626,4.12335205078125,3.0730587788894956,-12.04474089040966,-29.36042984473722,0.26943865853434523,0.078809175762241,0.9591496387496188,4.058886122703552,0.7893541962388709,True,0.0
