Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
62.960732,-938371.2315857435,-1845.353307922319,819.4336004831239,-93.8593843264266,278.2251483513429,429.8525954688582,1877.603213956377,-55410288.03371239,152.03593669657073,430.2433770345187,52771012887.866135,277.70838631462954,278.2251483513429,-54943691255981.21,136.15548426732138,-13.043142429775623,569.8657012428417,641.2436114449869,-986118.6252061673,-565.2353216235332,562.0201210436505,1877.603213956377,-3679295869090.375,6646.803368334733,3872.34278379602,287.46566229945654,-27471253.691044554,21136334125365.258,3.000000000004974,-0.8579830000004449,-274711486.4004911,-85.25461882559011,437.3104217060318,24.758033271905333,0.0,-7.887720218279007e-19,0.0,7.793811646429557e-18,-2500.6869695133873,7.672680138852068,-2500.6869695133873,0.0,-3083.1906233389677,0.0,0.0,2810.819999996427,-14.617700000000582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.529999996681,-83.48819999986745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999997036,-42.01050000006535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000026412,999.0000000026412,1.0000000000002416,-426.52149555438456,gaze,0.4187360049109985,0.39276807325881563,9905.632366354062,13540.462502000253,-1034.971879813513,-37.55900543484566,-17.195073083931394,-33.793146141552896,-0.09853628017618676,-0.14978407204367702,0.9783007033658832,5.207655898747304,2583.2232263994765,-19.05049305347755,-24.631450211727444,0.07538427879797902,0.15855359052896253,0.978433532283178,4.867501147357166,-9.483736502361218,-17.445585834316475,-28.586710108252586,0.05976485867232939,0.10115901990041189,0.9524570120044135,5.069778356217931,-0.37843034153999877,True,3.3756913960891235,imu,-0.287113344,-9.532163020800002,2.6851079192,1.97401171,0.1714589200000001,-4.65530305,99.61555623995709,-37.724403333116925,134.11364003358085
62.968867,-944668.3347571786,-1854.8666857674098,821.544853603511,-94.12798373853207,279.5897979654277,432.2200446831722,1887.4254899241396,-55790448.204236984,152.89333078335142,432.6129545309711,53144857906.10673,279.068032356836,279.5897979654277,-55335260941384.7,136.68632134938457,-13.114161005087539,571.8307534278026,644.3759757193816,-992732.2724103855,-568.2008388743301,563.9645237001823,1887.4254899241396,-3705506723581.5063,6679.228683745731,3893.151118004917,289.003138013427,-27659844.684879333,21286905186876.17,3.000000000004974,-0.8579830000004165,-276612139.67848027,-85.70265755562492,437.5575018831405,25.003697720986338,0.0,-7.930598048096438e-19,0.0,7.836178985761849e-18,-2513.6305534530297,7.713002334336952,-2513.6305534530297,0.0,-3099.120061621181,0.0,0.0,2810.8199999963836,-14.617700000000355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.5299999965646,-83.48819999986517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.62999999692,-42.01050000006512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000026193,999.0000000026193,1.0000000000002345,-428.5818858770854,gaze,0.42362142865705843,0.39752931281707116,9145.493830068186,12487.165642306381,-865.5968164302691,-37.529828617734154,-17.152225914314013,-33.78487893884518,-0.10053274674189583,-0.15407034723836022,0.9795363459372669,5.22094864275024,2839.1320385232348,-19.040671978887104,-24.63701836657868,0.07216115933600728,0.1606409982152419,0.9792677779104092,4.863704836203397,-13.435899661142628,-17.423444536877945,-29.07186268833783,0.055481601456278964,0.0995953509010643,0.953810820198139,5.067715407497826,0.0,True,3.0,imu,-0.35486578659805346,-9.575172151505987,2.6942435466323245,0.42436924704595275,-0.25677026012502935,-5.089181260824715,99.62766707448458,-37.73201049792633,134.11922200884527
62.969501,-945160.5139036226,-1855.60972283627,821.7097430535796,-94.1489522237116,279.6963738686059,432.40498089006655,1888.1926435226978,-55820163.28742981,152.96031178566886,432.79805698390413,53174082215.72358,279.1742112056666,279.6963738686059,-55365871384185.39,136.72775784523452,-13.119708461278865,571.9840975679315,644.6206029973578,-993249.1916502235,-568.4324648228487,564.116258394515,1888.1926435226978,-3707555719989.694,6681.760986517327,3894.7765218349105,289.12323336078754,-27674585.87301287,21298675865872.727,3.0000000000048885,-0.8579830000003952,-276760707.46970814,-85.73765361676661,437.57679602026474,25.022882867192266,0.0,-7.933947476356081e-19,0.0,7.839488536740496e-18,-2514.6415370241675,7.716151879051981,-2514.6415370241675,0.0,-3100.3642551473813,0.0,0.0,2810.819999996267,-14.617700000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.5299999964773,-83.4881999998629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999996803,-42.01050000006353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000026121,999.0000000026121,1.0000000000002132,-428.7428003736753,gaze,0.42400801906182506,0.3979064292462665,9081.33664577971,12398.436481596425,-851.3213014856051,-37.527486370556744,-17.148830514029854,-33.78423972621697,-0.10068989712379742,-0.15440909765334898,0.9796344368216269,5.22199899477304,2859.541826084566,-19.03973156690413,-24.637440435698387,0.07191029282137189,0.16081002147927642,0.9793312181427029,4.863422412625107,-13.737705249703547,-17.42165669317272,-29.109772174719414,0.055143924096803285,0.09947192938558108,0.9539174969677584,5.0675572509248,0.9364357411160336,True,3.330754187286174,imu,-0.2757484408,-9.5602762024,2.6659670296,2.18336519,0.0593052699999998,-4.931948719999999,99.62858525480782,-37.73260920827919,134.1196052079783
62.978269,-951988.2280775824,-1865.9096421718896,823.9952968168327,-94.43946237603882,281.17358234245904,434.96896630393974,1898.826718361649,-56232411.72859573,153.88901572340592,435.36434715050797,53579564332.43409,280.64582263837895,281.17358234245904,-55790594121452.55,137.30178713655656,-13.196615611735794,574.1077334854034,648.01124571147,-1000420.0978339536,-571.6433321212256,566.2176344424902,1898.826718361649,-3735985698138.556,6716.859723606657,3917.3104205817563,290.7881586401975,-27879096.48604466,21461994910244.523,3.000000000005002,-0.8579830000004094,-278821902.05509317,-86.22279956979263,437.8441914314244,25.288790991790165,0.0,-7.980384103566162e-19,0.0,7.885372303491753e-18,-2528.6561878511807,7.759813617476031,-2528.6561878511807,0.0,-3117.6116653626013,0.0,0.0,2810.8199999962962,-14.6176999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.529999996448,-83.4881999998629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999996861,-42.01050000006444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000026339,999.0000000026339,1.0000000000002132,-430.97321885009336,gaze,0.4294419463935417,0.40321242285830283,8128.128634361801,11082.651354841724,-639.5129496890518,-37.49406367695752,-17.10103210450901,-33.775484073432025,-0.10288648213608333,-0.1591643312564672,0.9810178573879813,5.236740748739233,3148.2485521493027,-19.024069132946607,-24.64307194100432,0.06844599919130773,0.16324277061821427,0.9801848176033465,4.859719611009276,-17.794340922994976,-17.395993948989698,-29.633871376605384,0.0504162462753598,0.09774175764753734,0.9554102648945269,5.06540997394412,1.3050315918899533,True,3.266773488531502,imu,-0.3062542336,-9.5865949256,2.6695559464,2.25813429,0.0817359999999998,-5.20111748,99.64088284362349,-37.740976360887025,134.1241381979319
62.987038,-958856.1010045533,-1876.2555584795343,826.2908142932938,-94.7309835216306,282.6571298226907,437.545177428178,1909.5080088664663,-56647138.08976555,154.82227608446942,437.9428738127348,53987562963.90332,282.123573666444,282.6571298226907,-56217968256465.06,137.87770709226163,-13.273882590900005,576.2370999445768,651.4163563070725,-1007633.1572495336,-574.8687013547129,568.3247353510227,1909.5080088664663,-3764593084967.2617,6752.108032794634,3939.9499686009453,292.46084319903923,-28084837.497318164,21626333087340.72,3.000000000005002,-0.8579830000004023,-280895594.7842449,-86.71017456679049,438.11267176913316,25.555821408151814,0.0,-8.027041432860992e-19,0.0,7.931474144708315e-18,-2542.7343217161515,7.803675963173986,-2542.7343217161515,0.0,-3134.9370367841007,0.0,0.0,2810.819999996267,-14.617699999999786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.5299999964773,-83.48819999986199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999996803,-42.01050000006512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.000000002663,999.000000002663,1.000000000000199,-433.2132897743815,gaze,0.435041378627525,0.40868978181481846,7068.211114061875,9624.22723691835,-404.51911385000517,-37.458682862805624,-17.051641185287814,-33.7669025456419,-0.10512703210012075,-0.16405293298517293,0.982452114980102,5.2518914519775395,3447.9934992723997,-19.003327469067976,-24.648262506410337,0.06499133165177405,0.1658557245455042,0.9809934579682306,4.856402338967702,-21.587106201418692,-17.3685516987272,-30.15441816835146,0.04557949415764459,0.09596753499049049,0.956936069565296,5.063339242670741,0.17091466138263,True,3.1871784526689733,imu,-0.3104413032000001,-9.604539509600002,2.6910894472,2.40019558,-0.0902329299999999,-5.42542478,99.65239555507064,-37.749508091418235,134.1272491679015
62.988847,-960277.8239159221,-1878.3954587770534,826.7655780876667,-94.79124475289836,282.9639476753246,438.0781252959123,1911.7172422034005,-56732997.490608215,155.01535817333138,438.4763006766969,54072039416.22265,282.4291708487326,282.9639476753246,-56306458349120.87,137.99674392623606,-13.289866165057832,576.6770609210648,652.1205694025298,-1009126.3344454847,-575.535841706981,568.7601026936768,1911.7172422034005,-3770516388193.1284,6759.397733925405,3944.6332503999533,292.80685370006836,-28127431.50716667,21660360131593.35,3.000000000005002,-0.8579830000004236,-281324917.9533763,-86.81098868839545,438.16818936033087,25.611044583502235,0.0,-8.036693473640637e-19,0.0,7.941011271203189e-18,-2545.646288087583,7.812748943659929,-2545.646288087583,0.0,-3138.5206515862037,0.0,0.0,2810.8199999962817,-14.6176999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.5299999964773,-83.4881999998629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999996745,-42.01050000006535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.000000002663,999.000000002663,1.000000000000206,-433.67657717262324,gaze,0.4362172467568327,0.4098412131396659,6838.77356724087,9309.09984354187,-353.71345540125776,-37.451136469037436,-17.04125223296328,-33.76515637562153,-0.10559473129969062,-0.16507814576381022,0.9827543780788175,5.255068281289651,3511.049353193673,-18.99840054563248,-24.649270506645145,0.06427996516808138,0.1664174596566283,0.981154571390408,4.855766991670426,-22.33096851707679,-17.362665736153044,-30.260909892778024,0.04456807629000657,0.09559601214854191,0.9572549630047875,5.062921913109925,0.0,True,3.0,imu,-0.3618759959096267,-9.57271649739626,2.701663672984019,0.4418405455180427,-0.3321533838095331,-5.17904547148428,99.6546674630343,-37.751288632322634,134.12771526681
62.995807,-965763.5261991783,-1886.6464430224503,828.5960666159481,-95.02348505980535,284.1468673194599,440.1333634793931,1920.2354498762925,-57064306.22202301,155.7600029758116,440.5333859600005,54398043274.66736,283.6073142004676,284.1468673194599,-56647957443165.125,138.45545636674714,-13.351501817107035,578.3719615897126,654.8355922780731,-1014887.732718156,-578.1082526546962,570.4373285958852,1920.2354498762925,-3793375446908.342,6787.502367361401,3962.6929510855634,294.14112292751895,-28291790.984828904,21791676417178.492,3.000000000005002,-0.8579830000004165,-282981605.90437114,-87.19973063586045,438.38220943764827,25.823946965267623,0.0,-8.0739149227611135e-19,0.0,7.977789572980156e-18,-2556.8745471648326,7.847734598811312,-2556.8745471648326,0.0,-3152.33865584153,0.0,0.0,2810.819999996238,-14.6176999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.529999996448,-83.48819999986426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999996861,-42.01050000006626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.000000002663,999.000000002663,1.000000000000199,-435.4627893943453,gaze,0.4408080760222399,0.414340448189789,5930.04501661562,8062.897293186728,-152.69152262947864,-37.42130018368366,-17.000637123271563,-33.75852210661099,-0.10741179834618063,-0.16907646109003516,0.9839378963160497,5.2674564396165975,3757.055293979577,-18.97733017461701,-24.652925253643154,0.06154741804428818,0.16865197782882588,0.9817559614901763,4.853481595184211,-25.055162050018843,-17.33929223062373,-30.66645369725442,0.04063294059869582,0.09414887734106084,0.9584951587256123,5.061348553875663,-1.5261397900582405,True,3.095486384781099,imu,-0.3236006648,-9.648204664,2.6803226968,2.12354991,-0.25472495,-5.874039379999999,99.6630640675485,-37.758204857486966,134.1289534717047
63.004576,-972710.6741333713,-1897.0824395309821,830.9110851028709,-95.3169694714129,285.64281400823813,442.7335655128952,1931.0091867389149,-57483926.88716698,156.70221220764472,443.1359246827556,54811016568.73121,285.09706168222056,285.64281400823813,-57080573664107.09,139.03503898428443,-13.42947446259793,580.5123249459455,658.2689971119914,-1022184.0030721698,-581.3620316467667,572.5554209964137,1931.0091867389149,-3822333585403.2056,6823.043176264114,3985.5397181593985,295.82902322723885,-28499962.2982904,21958029503629.195,3.0000000000051443,-0.857983000000452,-285079990.2089685,-87.69147502877134,438.6528072824367,26.093170782533434,0.0,-8.121005317370746e-19,0.0,8.02431932355237e-18,-2571.077068051162,7.891990177024593,-2571.077068051162,0.0,-3169.8167722680123,0.0,0.0,2810.8199999962962,-14.617700000000355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.5299999964773,-83.4881999998629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999996978,-42.01050000006626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000027067,999.0000000027067,1.0000000000002203,-437.72174786923887,gaze,0.44674442756910604,0.42016697957684057,4748.306448458683,6446.943413904757,108.24963190776225,-37.38186761530482,-16.94799369712667,-33.75036931140272,-0.10974128375698063,-0.1742370261749548,0.9854760502708656,5.283442769512433,4073.456739348506,-18.94589614215544,-24.65697123817568,0.058114998759229694,0.17163492236542813,0.9824712399053923,4.850968047608919,-28.14710233235279,-17.30817451739209,-31.164899276743256,0.03557531795534634,0.09228520193810266,0.960087951345536,5.059441195477996,-1.3070760418769038,True,2.995008064831819,imu,-0.3397507904000001,-9.6709344704,2.6701540992,2.03382699,-0.2771556799999999,-6.053485220000001,99.6728288710362,-37.76706807234185,134.12927415378303
63.00894,-976182.8634879477,-1902.292897037176,832.0668315827861,-95.46339262832635,286.38961006549124,444.03207852569653,1936.3881665537801,-57693673.5592041,157.1727894714076,444.4356045361551,55017470338.73876,285.8406967191685,286.38961006549124,-57296853143929.97,139.32415982860434,-13.468410573760872,581.5795552405127,659.9829667362054,-1025830.6750149515,-582.9866308647975,573.6115670170448,1936.3881665537801,-3836810711951.8794,6840.785219488055,3996.9484766838,296.6718752522372,-28604016.80125004,22041194882921.17,3.000000000005116,-0.8579830000004449,-286128904.8953243,-87.93701540049928,438.787869580985,26.227563557268695,0.0,-8.144521491764993e-19,0.0,8.047555521463272e-18,-2578.168404808474,7.91408810276341,-2578.168404808474,0.0,-3178.543555994416,0.0,0.0,2810.819999996238,-14.6176999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.529999996448,-83.48819999986245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.62999999692,-42.01050000006671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000027212,999.0000000027212,1.0000000000002132,-438.84948051545757,gaze,0.4497626958075085,0.42313296181632926,4156.527055514482,5639.852169095333,238.713534079262,-37.3614645363393,-16.921175922162803,-33.74640521083739,-0.11091740288111139,-0.1768569729361344,0.9862613141652491,5.291557788739262,4232.9577946774525,-18.9281694637337,-24.65872658158825,0.056411328840607046,0.1731900550002995,0.9828092673268896,4.849872238402006,-29.532611844387763,-17.291983041891697,-31.406270259256406,0.03301654336479601,0.09134076270877552,0.9608933149148859,5.05852406068507,0.0,True,3.0,imu,-0.3693870003770075,-9.570038197372206,2.7098726465567067,0.4401915623471489,-0.39907794758430515,-5.263182854063308,99.67733275249893,-37.771541430520664,134.12892725782325
63.013344,-979696.9166979978,-1907.5624941885746,833.2356354621406,-95.61140560446279,287.14481744273075,445.3455260903409,1941.8281285351068,-57905962.60405159,157.64881140919968,445.750232309583,55226446660.891014,286.5926626665309,287.14481744273075,-57515779151796.64,139.61639256534446,-13.50779274960109,582.6579515035771,661.7162204131954,-1029521.3084342099,-584.6297105542553,574.6787768784868,1941.8281285351068,-3851464971771.164,6858.726831217584,4008.4879974990636,297.524375761615,-28709332.854234546,22125377820327.188,3.0000000000050875,-0.8579830000004165,-287190561.2300893,-88.1853585598011,438.9244371130844,26.363465094508,0.0,-8.168307955129993e-19,0.0,8.07105879036413e-18,-2585.340458345813,7.936438271238932,-2585.340458345813,0.0,-3187.369630030344,0.0,0.0,2810.8199999961944,-14.617700000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.529999996361,-83.48819999985972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.62999999657,-42.01050000006717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000027139,999.0000000027139,1.000000000000199,-439.98993619135047,gaze,0.4528521341282245,0.4261712585769768,3564.501507049019,4834.037911616517,369.08069990262084,-37.34034141054255,-16.89369074768188,-33.74247220383778,-0.11211572132539685,-0.17953614402855628,0.9870672484348549,5.299855667533562,4394.880903571722,-18.908845588646926,-24.66030841824369,0.05469521172311109,0.17480760734973932,0.983138121249792,4.848872692588892,-30.82205053861783,-17.275160915776638,-31.644453062204985,0.030405947151325594,0.0903761425248404,0.961714681742079,5.057620698446133,1.7748471783372584,True,2.888599185630402,imu,-0.3445360128,-9.688280901600002,2.6755374744,1.80951969,-0.17247894,-6.16563887,99.68162785672702,-37.77609812039956,134.12824181494312
63.021823,-986490.9828962563,-1917.7402871850798,835.4929127800824,-95.89707620034528,288.6032542970903,447.8828981697032,1952.3347674843885,-58316440.21936798,158.56850217098298,448.2898842173729,55630575874.74611,288.04471249048544,288.6032542970903,-57939160705745.555,140.18033521073966,-13.583867891114052,584.7381003744806,665.0633760478406,-1036656.7572934576,-587.8032997197289,576.7373872624123,1952.3347674843885,-3879804831233.177,6893.374457476689,4030.7792355515135,299.1711426619589,-28912970.57063687,22288179117379.53,3.0000000000051443,-0.8579830000004307,-289243435.77470285,-88.66505791542646,439.18812731640355,26.625900532885453,0.0,-8.21425912520261e-19,0.0,8.116462879649388e-18,-2599.1933389553037,7.979609830299148,-2599.1933389553037,0.0,-3204.417146189816,0.0,0.0,2810.81999999618,-14.61770000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.52999999639,-83.48819999986108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999996803,-42.010500000067395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000027067,999.0000000027067,1.000000000000206,-442.19241479276394,gaze,0.45892441761636416,0.43214975307866244,2463.124442460243,3340.150753039401,611.1406074422252,-37.298142266073135,-16.839568585695865,-33.735103784454054,-0.11445537939872463,-0.18479494660716916,0.9886574257665293,5.316141762593321,4708.08155562838,-18.867494882048007,-24.662773095508417,0.05140049678409911,0.17805974009811654,0.9837360283653598,4.847254095701441,-32.986207004628454,-17.241389509357937,-32.08520286897238,0.02529893036086521,0.08848608745583536,0.9633206423646359,5.055945776692512,3.444199826614073,True,2.7820367588826467,imu,-0.3852104032000001,-9.6799067624,2.67673378,1.4431511,-0.1201405700000002,-6.15068505,99.68916026717206,-37.7849915077985,134.12599246087785
63.02892,-992206.5893130894,-1926.29192058327,837.3893600714691,-96.13689677458046,289.82848260747176,450.01542496072483,1961.1625022747955,-58661799.23378372,159.34154681041463,450.42432693367743,55970651441.63563,289.264445767086,289.82848260747176,-58295448440985.445,140.65368656141032,-13.647799974763753,586.4831720615989,667.8752515714642,-1042659.5392616644,-590.4699453263714,578.4644298249679,1961.1625022747955,-3903653585796.536,6922.481063427153,4049.512539928167,300.5550325220305,-29084303.8173846,22425180783420.305,3.0000000000051443,-0.8579830000004307,-290970719.5457624,-89.06815882832457,439.4096064319019,26.846357350498693,0.0,-8.252878145907803e-19,0.0,8.154622113923514e-18,-2610.8335318551585,8.01588775015176,-2610.8335318551585,0.0,-3218.741582737338,0.0,0.0,2810.8199999961507,-14.617699999999672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.5299999963318,-83.48819999985881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999996803,-42.01050000006717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000027067,999.0000000027067,1.000000000000206,-444.0427717318692,gaze,0.46413399889748974,0.43728565661389485,1610.9299149613453,2190.608696713145,797.8867519997407,-37.261244785189476,-16.793033632229424,-33.7291580838317,-0.11644690584931945,-0.18929960577681854,0.9900278713516648,5.330091276889624,4970.091110605352,-18.828583467412926,-24.664195054224653,0.0486526371027544,0.18092322466378477,0.984200214816964,4.846214815507376,-34.46855347239579,-17.211698895737186,-32.433039332597446,0.02094178991289347,0.08687049949859336,0.964689960883331,5.054610802162038,0.0,True,3.0,imu,-0.37732629935086515,-9.567160598974551,2.7188046155181627,0.412005285841603,-0.4546122643162862,-5.339097986883861,99.69468392605151,-37.79255799934074,134.12319426476637
63.030301,-993321.8555408199,-1927.9594501334589,837.7591403789193,-96.18363878446985,290.067376807908,450.4313177366322,1962.883848757985,-58729192.036842346,159.49231854472285,450.84059334410387,56037019370.60176,289.5022548219818,290.067376807908,-58364981474408.05,140.74593631814807,-13.660267696847276,586.8231648836368,668.4235028724306,-1043830.8391878386,-590.9899415072028,578.8009142588833,1962.883848757985,-3908307897915.543,6928.156169748246,4053.1658363030883,300.82490970198353,-29117737.600013882,22451917965597.766,3.000000000005116,-0.8579830000004236,-291307787.3399971,-89.14676650998103,439.4527853749096,26.889340339436785,0.0,-8.2604097083290725e-19,0.0,8.162064007830048e-18,-2613.1033864811075,8.022962214821831,-2613.1033864811075,0.0,-3221.5348560431917,0.0,0.0,2810.81999999618,-14.617699999999786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3785.5299999963026,-83.48819999985881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7388.629999996629,-42.01050000006694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0000000027285,999.0000000027285,1.000000000000199,-444.4035596404459,gaze,0.4651613018365155,0.4382991422225902,1455.4782638589513,1981.7527889421872,831.8817793112175,-37.25389550430582,-16.7838463808259,-33.72802601208255,-0.11683797840298729,-0.19018717938012408,0.9902987669416615,5.332839731439135,5020.905220048174,-18.820546763141994,-24.664398992066698,0.04811901383947642,0.18149557836397273,0.9842866439898901,4.8460465429250785,-34.72201133628233,-17.20576853433956,-32.49821496771749,0.02008513342001375,0.08655253596240282,0.9649590966747355,5.054358290141584,-1.1919769763077306,True,2.6729268365017185,imu,-0.376836264,-9.6757196928,2.6934820584,1.15155161,-0.0528483799999999,-5.851608649999999,99.69567282509304,-37.794043418607984,134.1225553251873
