CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_2,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
217009.87368551697,151.15646004583687,4381.519858154148,-42.87858135400825,43.73727615213474,901.3236093191601,75.79891486418133,-33414590.86055374,733.6271364546822,901.0690885042803,-572418856.0637348,-3057.457317857173,43.73727615213474,275004360015.484,220.78299004587578,8.550227914072916,-4654.307446347357,65.10763009511868,212063.25880330213,132.81510983075245,-4497.939102520438,75.79891486418133,117339558577.27774,791.1625751464663,-850.3776651127409,-94.66739480486197,-1125079.478535041,133809472257.58472,23.99999999991337,-0.15781999999991836,-7.128299999996443,0.0,383.54199999911,-108.22699999983888,0.0,2.071439999992276e-41,0.0,-2.0433400000022673e-40,51.15949999999066,1.3176199999981495e-12,51.15949999999066,0.0,0.0,8.184835617757786e-05,73.68535903054389,1858.4799078102224,-6332.5934556655175,0.0,0.0,0.0,0.0,64.7999999999679,-6.631757861266318,64.7999999999679,0.0,234.5478518864623,931.071314517558,2458.8242914515668,3576.8186807085294,1060.68935519346,0.0,-1.8565106052434936e-16,0.0,1.8351517142774377e-14,1969.0890757158234,-221.27076607123576,1969.0890757158234,0.0,17364.407760112776,0.0,0.0,7388.629999981262,-42.010499999930516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992433,998.9999999992433,2.9999999999891713,-177.96305083529174,gaze,0.293427384459219,-0.10347521422995568,4559.156973369116,-2238.685109762414,294.2195156744129,-35.33558120652386,-11.19500544600637,-43.13496226635849,0.5290571062446612,-0.16024719742069224,1.1129337678178812,5.751432402104266,25.055949645065528,-17.73737895748648,-17.526419399382437,0.3007132951119045,0.5699444765923873,0.7135314063442649,2.7508476103633064,26.364196434674906,-17.59943063181059,-15.153405753291201,0.2571113413358216,0.5737619448284725,0.7529818058533181,2.9932476848244125,1.6967592021938356,True,0.9282897490814067,imu,-0.28412258,-9.5184055064,2.9165930528,1.24875144,2.87062343,-2.30755331,98.48786354943549,-37.70406626920715,132.51705516147865
217631.73808660897,151.50229025798728,4382.743792195397,-42.919206490987335,43.839535731923974,903.4775826007169,76.02678608138484,-33520503.02540207,735.4289986682147,903.2224508296598,-574249952.9860746,-3065.0979192527943,43.839535731923974,275897182960.7596,221.2897837908802,8.570742614395916,-4666.253681944661,65.25563596063577,212670.93889142596,133.12119882002432,-4509.50138069426,76.02678608138484,117720661836.80486,792.9825972133616,-852.4361724209635,-94.9467249700914,-1128542.136425329,134241808377.12692,23.999999999913825,-0.15781999999992014,-7.1282999999965,0.0,383.54199999911725,-108.2269999998407,0.0,2.0714399999923414e-41,0.0,-2.0433400000023587e-40,51.15949999999111,1.3176199999981754e-12,51.15949999999111,0.0,0.0,8.203537047544224e-05,73.85219553343308,1856.0477617576253,-6348.605267303784,0.0,0.0,0.0,0.0,64.79999999996835,-6.646773334173728,64.79999999996835,0.0,235.0789091257886,933.1128931525827,2464.61339866362,3576.3357968784985,1063.2415308165341,0.0,-1.8607690117380336e-16,0.0,1.8393346315854155e-14,1973.4920207161601,-221.79173151252067,1973.4920207161601,0.0,17405.150225860365,0.0,0.0,7388.629999981378,-42.010499999930744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992724,998.9999999992724,2.999999999989228,-178.2383794786289,gaze,0.2972618280068261,-0.09880189474414758,4540.124488392211,-2229.7619913011445,296.20197349171735,-35.32048413271569,-11.267124672576584,-42.933357663265184,0.5209794152004672,-0.15441697510038122,1.1110881276967057,5.727119988683358,25.030133494733693,-17.695327813723857,-17.592596729186518,0.2917400735412242,0.5688698201526112,0.7180918018920418,2.7631586471187397,26.352876075583488,-17.597312322879866,-15.187676223727633,0.2555478211302469,0.5720337856538871,0.7535144362802053,2.9906531571443544,0.0,True,3.0,imu,-0.30399105151750333,-9.51694686427391,2.9310344382989193,1.3216388578108689,2.467983066249446,-2.9457480203026734,98.47951910134996,-37.70223449249475,132.53835945314955
218399.64314377253,151.92910549682668,4384.254144098872,-42.969335737074516,43.96574735517942,906.1362027008416,76.30813118808224,-33651323.725631714,737.6531676816718,905.8803168323183,-576511753.6534474,-3074.5296000166195,43.96574735517942,277000059222.58276,221.9152696941797,8.596063696558998,-4681.00056861714,65.43829847481707,213421.32851170466,133.49897215114137,-4523.77432086635,76.30813118808224,118191427320.78754,795.2288440575225,-854.9770184764326,-95.29164692245737,-1132818.7886812703,134775852194.20215,23.999999999912916,-0.15781999999991836,-7.128299999996443,0.0,383.54199999911,-108.22699999983797,0.0,2.071439999992276e-41,0.0,-2.0433400000022673e-40,51.1594999999902,1.3176199999981625e-12,51.1594999999902,0.0,0.0,8.22661818045908e-05,74.05810006360136,1853.0451684182044,-6368.371041505808,0.0,0.0,0.0,0.0,64.79999999996699,-6.665304973514512,64.79999999996699,0.0,235.734323795014,935.6323931003772,2471.758518415254,3575.7394918244972,1066.3915522678406,0.0,-1.866024735511942e-16,0.0,1.8444971258978093e-14,1978.9260359092784,-222.4347253865587,1978.9260359092784,0.0,17455.435618746287,0.0,0.0,7388.629999981145,-42.010499999929834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.999999999236,998.999999999236,2.9999999999891145,-178.57797785415812,gaze,0.30210128008976883,-0.09286379145747214,4500.252953856742,-2209.467684281914,298.6941321721728,-35.30097771215429,-11.35935105672864,-42.67655948410688,0.5107448366574484,-0.1470186547590844,1.1087259034523935,5.69614846710526,24.997735873880625,-17.64291699959674,-17.673938462739706,0.28059781076988116,0.567456639402001,0.7237684962395201,2.778493517809636,26.336318548956786,-17.59443203663574,-15.23755747740054,0.25354903654738864,0.569792961575593,0.7542110663436378,2.987590012975339,0.8217003995607304,True,0.961219305386036,imu,-0.2709632184,-9.5154147424,2.917789358400001,1.24875144,2.85566961,-2.31503022,98.46915297934004,-37.69997090181881,132.56583902876545
218646.98730371497,152.06652961907454,4384.740394320863,-42.985473950511505,44.00638567881687,906.9922696698737,76.39874373054029,-33693469.79893494,738.3693791508593,906.7361409838453,-577240445.6268792,-3077.5668025424916,44.00638567881687,277355387592.06525,222.1166640786643,8.604217017326217,-4685.749442297038,65.49711072061379,213663.030897226,133.620607319522,-4528.37057757223,76.39874373054029,118343100249.98805,795.9520855480514,-855.7951762575567,-95.40274550181111,-1134196.4998249789,134947910467.98969,23.999999999912234,-0.15781999999991747,-7.128299999996386,0.0,383.5419999991027,-108.22699999983615,0.0,2.0714399999922435e-41,0.0,-2.0433400000022412e-40,51.15949999998975,1.3176199999981108e-12,51.15949999998975,0.0,0.0,8.234049810135964e-05,74.12439607279373,1852.078195764916,-6374.736168754132,0.0,0.0,0.0,0.0,64.7999999999679,-6.67127168892804,64.7999999999679,0.0,235.94535060875245,936.4435716765092,2474.059153889206,3575.5474159393634,1067.4058266915927,0.0,-1.8677169746393024e-16,0.0,1.8461593327370155e-14,1980.6756583756721,-222.64176103749065,1980.6756583756721,0.0,17471.62676831305,0.0,0.0,7388.629999981029,-42.01049999992915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992215,998.9999999992215,2.999999999989029,-178.6872720888331,gaze,0.30368472483544084,-0.09091165449195263,4483.601279376447,-2200.7742993763513,299.507163974774,-35.294489045888184,-11.389808503653141,-42.5919863765008,0.507386889436284,-0.144588585897315,1.1079453270100361,5.685947696626879,24.987178304779594,-17.625921421926684,-17.700048304179344,0.27699437053130405,0.5669811067489025,0.7256076345828787,2.7834640932630688,26.330422570083964,-17.593441857703084,-15.255409236861095,0.2528891599231985,0.5690459786929503,0.7544446394470611,2.9866365814691136,0.6155176627694082,True,0.9671339733271506,imu,-0.3015953662856668,-9.517370569974185,2.929436138890877,1.3146838360948678,2.474454548859358,-2.9418171389267034,97.8651116,-37.50665240000002,133.7359944
219796.5078585961,152.70485714441892,4386.9987052778015,-43.060421161938166,44.195156436445075,910.9690102932785,76.81980117370885,-33889395.209854126,741.6966717381101,910.7117536283874,-580628028.9071862,-3091.677185020839,44.195156436445075,279007327672.44293,223.05214999059933,8.64209223709038,-4707.81237972861,65.77028631194865,214786.33151565987,134.18560459503684,-4549.724504606477,76.81980117370885,119048236407.14969,799.3115323407415,-859.5959019333261,-95.919060423831,-1140600.5631293678,135747807170.38445,23.99999999991178,-0.15781999999992014,-7.1282999999965,0.0,383.5419999991027,-108.22699999983615,0.0,2.0714399999922435e-41,0.0,-2.0433400000023456e-40,51.15949999999111,1.3176199999981495e-12,51.15949999999111,0.0,0.0,8.26856974684389e-05,74.43233588599166,1847.5853192610666,-6404.30838747324,0.0,0.0,0.0,0.0,64.79999999996744,-6.6989866186181946,64.79999999996744,0.0,236.92555376719213,940.2112028961315,2484.7459936366604,3574.65472325086,1072.1173567862752,0.0,-1.8755774853325982e-16,0.0,1.8538802517120112e-14,1988.8025705013094,-223.60347655215477,1988.8025705013094,0.0,17546.83680380256,0.0,0.0,7388.629999980971,-42.01049999993006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992287,998.9999999992287,2.9999999999889724,-179.19463139350285,gaze,0.3112017380061343,-0.08158606916017191,4382.31942039087,-2146.861485252372,303.3508457509642,-35.262999020605484,-11.536203680574788,-42.186964181113794,0.49138684633493335,-0.13299201113460465,1.104190555937563,5.637091536558983,24.937329698285495,-17.54620698622237,-17.82079808912477,0.2601552225681914,0.5646403978520889,0.7342230855589419,2.806763596568488,26.299741539217266,-17.588439225704008,-15.349830199755196,0.2497193394372403,0.5654126094001422,0.7555891548438441,2.982418863279008,-0.4093081364615446,True,0.9948365053755781,imu,-0.2703650656,-9.5219944232,2.918985664,1.24127453,2.86314652,-2.36736859,98.45012111239711,-37.69584892250414,132.61920854755772
220945.04045228488,153.3420722590081,4389.252599339088,-43.13521501660398,44.3836112561603,914.9394035742749,77.24039808306425,-34085239.762096405,745.0190320101908,914.6810207247892,-584014371.7524054,-3105.7674641458484,44.3836112561603,280658777480.1915,223.98603840899943,8.679907161133807,-4729.844520715413,66.04297918362221,215908.66662510126,134.74963127835218,-4571.048686099743,77.24039808306425,119753164626.16287,802.6651731387834,-863.3907032279997,-96.43491414769184,-1147001.109775524,136547448200.04535,23.99999999991178,-0.15781999999991658,-7.128299999996273,0.0,383.54199999909906,-108.22699999983706,0.0,2.071439999992162e-41,0.0,-2.0433400000023195e-40,51.1594999999902,1.3176199999981237e-12,51.1594999999902,0.0,0.0,8.303030219785436e-05,74.73973657816356,1843.0980778643861,-6433.839786488826,0.0,0.0,0.0,0.0,64.79999999996608,-6.726653026899565,64.79999999996608,0.0,237.90404084959863,943.9718614720365,2495.415049489373,3573.7627503394324,1076.8211351376372,0.0,-1.883424547316842e-16,0.0,1.8615878125391263e-14,1996.915339085437,-224.5635916866171,1996.915339085437,0.0,17621.920726518405,0.0,0.0,7388.629999980971,-42.010499999928925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992215,998.9999999992215,2.9999999999889724,-179.70060593882437,gaze,0.31897288008104185,-0.07185090233209218,4242.976545561981,-2071.464124803517,307.29691807186373,-35.229305202610824,-11.690520294939907,-41.76243090674505,0.47474933174869993,-0.12090345492706914,1.1002279712503158,5.585874582699435,24.88623472954213,-17.465364339971227,-17.940437005546116,0.243179409115425,0.562085712710951,0.7429430816417011,2.830369458096793,26.264176347135898,-17.582778971544116,-15.463075580711903,0.24638212681821894,0.5615152338492617,0.7568301393114005,2.9785571567033835,0.0,True,3.0,imu,-0.29602225119930325,-9.518370866828267,2.9256915470890847,1.2972422697173385,2.4840944175204447,-2.936003494505515,98.43430381294581,-37.692455801521554,132.66643084222167
221200.66096627532,153.48381629053392,4389.753897195158,-43.15184930565715,44.42553347242989,915.8226686015142,77.33399388251924,-34128839.30588913,745.758184995301,915.5640352169615,-584768271.6221763,-3108.9023552592043,44.42553347242989,281026454468.79144,224.19377977577327,8.688319598392466,-4734.746451680681,66.10363689863165,216158.45654509726,134.87509695523465,-4575.793111441175,77.33399388251924,119910109258.86859,803.4111735686744,-864.2349247600356,-96.54972156688406,-1148425.9017733631,136725476935.1077,23.999999999912234,-0.15781999999992102,-7.1282999999965,0.0,383.54199999909906,-108.22699999983706,0.0,2.0714399999921946e-41,0.0,-2.0433400000023456e-40,51.15949999999066,1.3176199999981237e-12,51.15949999999066,0.0,0.0,8.310695804297294e-05,74.8081153718453,1842.0996253604535,-6440.41028961137,0.0,0.0,0.0,0.0,64.79999999996971,-6.73280719530489,64.79999999996971,0.0,238.1216973742321,944.8083385522046,2497.788419744926,3573.5642239921726,1077.867519703793,0.0,-1.885170105038563e-16,0.0,1.863302318541235e-14,1998.7199701787374,-224.77717278873098,1998.7199701787374,0.0,17638.623288608567,0.0,0.0,7388.629999981029,-42.01049999993029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992579,998.9999999992579,2.999999999989029,-179.8130887490928,gaze,0.32073799653675117,-0.06962722123589915,4206.957621127455,-2051.8640868062002,308.18934643652494,-35.22149771290979,-11.725970953363413,-41.66522063532632,0.47095742704107013,-0.11814419212473859,1.0993170551430007,5.574145893499647,24.874687239954852,-17.447209092239138,-17.966923157026212,0.23938075742463394,0.5614876057365504,0.7448990438645299,2.8356675327000262,26.255641704060967,-17.581428780029178,-15.490860235202533,0.2456161606616092,0.5606113384767715,0.7571196535800312,2.9777458434527446,-1.5019340056587722,True,1.0291544996992292,imu,-0.2625890792,-9.5303685624,2.9165930528,1.28613599,2.64631613,-2.4496146,98.43076279668398,-37.69170016528483,132.67735822813125
222611.79832510412,154.26580839919765,4392.519099749246,-43.24359947092853,44.656826959829324,920.6960953623718,77.85059627679051,-34369605.20451355,749.8368055483911,920.436079641817,-588931605.274519,-3126.2012932408934,44.656826959829324,283057013611.5473,225.33990362529545,8.734735473231884,-4761.796818366668,66.4382754843283,217537.4063946351,135.56729486694212,-4601.974367446475,77.85059627679051,120776864053.30919,807.526849583393,-868.8930534598747,-97.18349326077997,-1156293.1330998915,137708654981.6117,23.999999999912006,-0.1578199999999228,-7.128299999996557,0.0,383.5419999991027,-108.22699999983433,0.0,2.071439999992162e-41,0.0,-2.0433400000023848e-40,51.15949999999202,1.3176199999981495e-12,51.15949999999202,0.0,0.0,8.352986922882858e-05,75.18535432799362,1836.5892944021616,-6476.66875927181,0.0,0.0,0.0,0.0,64.79999999996926,-6.766759126095411,64.79999999996926,0.0,239.3224866208752,949.4227668474535,2510.88288084724,3572.4682292532816,1083.6407557462765,0.0,-1.8948004481001943e-16,0.0,1.872761216748033e-14,2008.676013772616,-225.9555516932606,2008.676013772616,0.0,17730.77454355348,0.0,0.0,7388.629999981087,-42.01049999992938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992579,998.9999999992579,2.999999999989001,-180.43320825181334,gaze,0.33071596847773077,-0.056976564664799834,3976.9082458498874,-1926.1413333608532,313.20744197669404,-35.17633847659686,-11.928998930511517,-41.11054606313229,0.44943790354810265,-0.10245713044268845,1.094096308793524,5.507216704453519,24.809786600750215,-17.345918464223153,-18.112185269177086,0.2182770101491529,0.5579911711102205,0.7557964674627746,2.8652047764015585,26.204632707554477,-17.573379598079924,-15.661213675258786,0.24123482623297438,0.5553812329467017,0.7588056280523227,2.9735843055119044,-2.0024681411387513,True,1.0641743229706877,imu,-0.2703650656,-9.5327611736,2.922574580800001,1.12164397,2.64631613,-2.31503022,98.41107974060162,-37.687525938862564,132.74046582749614
224030.1123668204,155.0509344403122,4395.294667345093,-43.33568329855257,44.889066875343254,925.5899249410057,78.36967716252212,-34611726.771476746,753.9330679357328,925.3285210881464,-593118617.455574,-3143.576273485442,44.889066875343254,285099293121.152,226.4906698900648,8.781345903925548,-4788.967039377047,66.77424521989703,218923.36910572991,136.26228782733972,-4628.271718304864,78.36967716252212,121648623750.48694,811.6590922039898,-873.5708952412555,-97.82046144432928,-1164203.3529135715,138697480535.50537,23.999999999910642,-0.15781999999991747,-7.1282999999963295,0.0,383.54199999908815,-108.22699999983342,0.0,2.071439999992113e-41,0.0,-2.0433400000023587e-40,51.1594999999902,1.3176199999980978e-12,51.1594999999902,0.0,0.0,8.395448571974584e-05,75.56410146899339,1831.0535939938854,-6513.08857586043,0.0,0.0,0.0,0.0,64.79999999996699,-6.80084679535545,64.79999999996699,0.0,240.5280765704174,954.0550805246462,2524.0310738981043,3571.366588590143,1089.4378133492905,0.0,-1.904469760737593e-16,0.0,1.882258169132473e-14,2018.6719877488413,-227.13876597578573,2018.6719877488413,0.0,17823.302502142284,0.0,0.0,7388.629999980796,-42.010499999928925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992142,998.9999999992142,2.9999999999888303,-181.05506700953592,gaze,0.3411449896734428,-0.04361909694749638,3696.0112801822343,-1772.0095181665442,318.4044805118834,-35.12736873475865,-12.145706380203203,-40.52196140092535,0.42680217678136423,-0.08590725875582919,1.0885173536202273,5.436185475670669,24.74258352983051,-17.24229515435733,-18.25650618623382,0.1968392397643529,0.5541428258003643,0.7669192354144746,2.8953849990822955,26.146614217392425,-17.56426793695008,-15.861485320501018,0.23656917409863987,0.5497126138277438,0.7606507098459888,2.969946036513159,-1.6304517024206597,True,1.0999091825860299,imu,-0.260196468,-9.5381445488,2.9171912056,1.12164397,2.52668557,-2.45709151,98.39106681163342,-37.68332609009593,132.80873351267286
224280.1821825847,155.189276689823,4395.783659110632,-43.35190530609725,44.92999046288143,926.452326815632,78.46118339977468,-34654429.96635437,754.6549792726134,926.190678341976,-593857108.9282261,-3146.6385066170546,44.92999046288143,285459521442.9158,226.69344445340866,8.78955972503599,-4793.755720962373,66.83344335932873,219167.73488894012,136.3847504476222,-4632.906568207205,78.46118339977468,121802389654.79541,812.3872168549091,-874.3952570973481,-97.9327656053658,-1165598.350014695,138871892110.86353,23.999999999910415,-0.1578199999999157,-7.128299999996216,0.0,383.5419999990845,-108.2269999998316,0.0,2.0714399999920967e-41,0.0,-2.0433400000023065e-40,51.15949999999066,1.3176199999980978e-12,51.15949999999066,0.0,0.0,8.402930587097702e-05,75.63083780715044,1830.0778422774747,-6519.507546853306,0.0,0.0,0.0,0.0,64.79999999996835,-6.806853140966393,64.79999999996835,0.0,240.74050499519421,954.8712493645053,2526.3479660266735,3571.1723455152824,1090.4593480538028,0.0,-1.9061735698641397e-16,0.0,1.8839315841146728e-14,2020.4333202698851,-227.3472645774341,2020.4333202698851,0.0,17839.607050840965,0.0,0.0,7388.6299999806215,-42.010499999928015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992142,998.9999999992142,2.999999999988802,-181.16456391605902,gaze,0.34302554831988286,-0.04119690561409639,3641.7395977376304,-1742.1960271437354,319.33646290119094,-35.118355266238105,-12.18524535647226,-40.41491961331796,0.42270588038378204,-0.08290712425178656,1.0874988167289055,5.423266492308839,24.73052913077729,-17.22383594935323,-18.281771902416693,0.19303599068644867,0.5534293564884538,0.7688979989052709,2.90075731800136,26.13563600636911,-17.562554654938783,-15.899825372631934,0.23571918377624074,0.5486701155792504,0.7609917621663704,2.969361475621164,0.0,True,3.0,imu,-0.2875612297676189,-9.519924916086019,2.9199427818543664,1.2676550486662754,2.4848144399708554,-2.9357174915267126,98.38751442279724,-37.682585174123055,132.82128250543693
225455.63036994718,155.83920369490957,4398.0806300359545,-43.42810166497111,45.122256080189345,930.5042204602513,78.89124485148315,-34855209.721580505,758.047028728692,930.2414226608544,-597329409.020228,-3161.0275435146996,45.122256080189345,287153343661.21136,227.64609254746026,8.828151492160513,-4816.257504855305,67.11155001777433,220316.37133368003,136.96008417719293,-4654.685542101472,78.89124485148315,122525409993.83615,815.8079506989619,-878.2685113448263,-98.46063787503954,-1172156.7368883938,139691977890.5847,23.999999999909733,-0.1578199999999157,-7.128299999996159,0.0,383.5419999990809,-108.22699999982979,0.0,2.0714399999920477e-41,0.0,-2.0433400000023195e-40,51.1594999999902,1.3176199999980978e-12,51.1594999999902,0.0,0.0,8.438081262512858e-05,75.94436127742622,1825.49243718246,-6549.670270596397,0.0,0.0,0.0,0.0,64.79999999996608,-6.8350706065231615,64.79999999996608,0.0,241.73848149136353,958.7053311679756,2537.233160758033,3570.259279815218,1095.2587641607552,0.0,-1.9141781600850104e-16,0.0,1.8917932894668158e-14,2028.7080112334086,-228.32683020226287,2028.7080112334086,0.0,17916.20829449654,0.0,0.0,7388.629999980505,-42.01049999992779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999991924,998.9999999991924,2.9999999999887166,-181.67866928349912,gaze,0.3520333718715936,-0.0295410565225942,3369.366709779374,-1592.5262681575168,323.7790865080943,-35.07443777223084,-12.376496858594242,-39.898533498743376,0.4030262332995823,-0.06847241448847668,1.082569612564118,5.36093927171251,24.673040713265664,-17.13631056106206,-18.399788764063388,0.17506513309701552,0.5499345720303731,0.7782699983040194,2.92621452989125,26.080671928574034,-17.5540705963923,-16.092234825846695,0.23161345710868286,0.5435962533742105,0.762658393004782,2.9668435245598133,-0.40875078796650577,True,1.1363683489512617,imu,-0.257205704,-9.5357519376,2.9261634976,1.06182869,2.57902394,-2.47952224,98.37072113224319,-37.679100958613375,132.8823610499972
226888.54914561583,156.63071902054398,4400.877348468581,-43.52086641103551,45.356425121604175,935.4396285964638,79.4153696497906,-35100088.75405502,762.1792331284781,935.175430852837,-601564582.1295749,-3178.5574238400573,45.356425121604175,289219460472.5715,228.80632274675858,8.87515839764692,-4843.671846877787,67.45023383036808,221716.60539936164,137.66077509772495,-4681.219354732357,79.4153696497906,123407348826.77719,819.9739668676028,-882.9865208733714,-99.10411043694356,-1180154.4071944933,140692289750.23914,23.999999999909505,-0.15781999999991836,-7.128299999996216,0.0,383.54199999907723,-108.22699999982979,0.0,2.071439999992015e-41,0.0,-2.0433400000023848e-40,51.15949999998975,1.317619999998059e-12,51.15949999998975,0.0,0.0,8.480890566643145e-05,76.32618337647999,1819.9050761889666,-6586.4187205329,0.0,0.0,0.0,0.0,64.79999999996608,-6.869435025742142,64.79999999996608,0.0,242.95385933927284,963.3741222830818,2550.490870763982,3569.1461490365036,1101.104370968998,0.0,-1.9239269158507835e-16,0.0,1.9013678234828038e-14,2038.7853947529195,-229.51989999685523,2038.7853947529195,0.0,18009.50408110905,0.0,0.0,7388.629999980505,-42.01049999992665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992142,998.9999999992142,2.999999999988688,-182.30409322543264,gaze,0.3633908698907713,-0.01472676041298554,3003.3564199001744,-1391.5061178866279,329.3303838562647,-35.01738504892545,-12.621810183323019,-39.23923546873596,0.37808278556916797,-0.050127916834412256,1.0762415694586058,5.281353862321161,24.601111888426647,-17.027922956574898,-18.541950927167363,0.15294974465936548,0.5453577682072116,0.7898528047554831,2.9577034817068792,26.004943142707322,-17.542762751066885,-16.354033581498634,0.22636123772557754,0.537022030430189,0.7648324720735211,2.964289109863752,1.2569566295695844,True,1.1735655944784222,imu,-0.260196468,-9.527377798400002,2.9195838168,0.95715195,2.48930102,-2.51690679,98.35003735554535,-37.67485038607797,132.96156209789828
227673.91026002754,157.0641791402822,4402.408622227667,-43.57165302094131,45.48467214534342,938.1427922367975,79.70257065417368,-35234359.05875015,764.4427161014738,937.8778277283777,-603886882.1884413,-3188.1602203603093,45.48467214534342,290352460805.90485,229.44172435539048,8.900904564520305,-4858.689709133435,67.63570412799614,222484.05246571786,138.04450565157728,-4695.754892439918,79.70257065417368,123890980122.91881,822.2554466394024,-885.5707028011288,-99.45677632121334,-1184539.0755118672,141240820987.19,23.999999999909733,-0.15781999999992102,-7.128299999996273,0.0,383.5419999990809,-108.22699999983251,0.0,2.0714399999920477e-41,0.0,-2.043340000002411e-40,51.1594999999902,1.317619999998085e-12,51.1594999999902,0.0,0.0,8.504334811519408e-05,76.5352803431828,1816.8438551207073,-6606.550203165163,0.0,0.0,0.0,0.0,64.79999999996744,-6.8882539884496845,64.79999999996744,0.0,243.61943585258868,965.9306504065627,2557.7517645566923,3568.536027768627,1104.3059089505887,0.0,-1.9292658184700277e-16,0.0,1.9066112196672118e-14,2044.3041189478738,-230.17331247108746,2044.3041189478738,0.0,18060.599085176873,0.0,0.0,7388.629999980563,-42.010499999928015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999992287,998.9999999992287,2.9999999999887166,-182.64628136538022,gaze,0.3697919382816961,-0.006323889395871585,2789.6850397853054,-1274.3173989760664,332.4347984740986,-34.984444450002464,-12.76200497398118,-38.86384229423634,0.36396464760545033,-0.0397216034951704,1.0726226815061226,5.23603528320721,24.560825414683563,-16.967729733894263,-18.61904816859157,0.14073211831085392,0.5427008223358896,0.7962747386337786,2.975173854635788,25.95847560007328,-17.536112636849147,-16.51024030132607,0.22336681929611496,0.5332365540018726,0.7660908045114844,2.9631305551053115,0.0,True,3.0,imu,-0.27849572832196506,-9.521631604743767,2.913708773808537,1.2322236333349157,2.4679113398987504,-2.946229135642188,98.33860238108686,-37.67251939362762,133.00722467722835
