CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
28253.42227757066,-39.24236240824986,4577.80826154165,-7.695928911231363,8.894404618088027,1905.2128231744323,-2122.4049078636162,-38627166.80247879,0.051059435884385856,1903.504934688194,1719352240651.8313,-2305.4650886610443,8.89440451464414,650354404735.8335,43.27808791562605,56.695646955976486,-13800.600227416176,-13.8980562865587,28231.64743880312,-26.89012466805332,-13828.405516818078,-373.3142184304015,110759750979331.02,-141.76210404599823,0.0,-145.45547889839705,147.00635407075566,-12542062345.455788,137539.31297439287,1.0449197434954733,0.0,0.0,1779.950000013574,-3.3036899999958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0900000081747,-0.09666210000014708,0.12373600000049123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27256.291717083863,-2234.911906100513,9163.916075009736,381.8085470752734,0.0,-5.5716507494519924e-14,0.0,1.2647927825828773e-14,-11778.61892625862,201.1704906556796,-11778.61892625862,0.0,-18799.857251586163,0.0,0.0,4476.300000025134,27.636800000050698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999954598,998.9999999954598,3.000000000000398,-405.0005343096156,gaze,0.3272414550375746,0.7800898621303504,113.1463431475153,-98.03343819790156,313.6992556320301,34.05457089569278,-13.99888357351137,-30.47116285300237,0.2381057757834691,-0.1969137529317112,0.9510681434286934,3.80100679397583,-26.45078390251361,-13.01340843009684,-27.43385222598343,0.3500790795577435,-0.2582942152121542,0.9004047625617827,3.885766267776489,3.809258076000833,-13.512732876195916,-28.95585646400076,0.2946772229239565,-0.2283371855538775,0.9253867632047624,3.8547561407089233,2.0695193100673093,True,4.0,imu,0.20436200139954194,-9.21908624250624,3.6442330686388305,-0.1088399008688109,3.25890851070172,-4.4131259119144035,-78.84645232435999,188.73972256259216,109.72754607359144
28334.78042830078,-39.34413901210527,4576.654704628163,-7.727965140278911,8.917914354562532,1909.9930213013697,-2127.8205824400357,-38749701.50398445,0.05123556968579958,1908.280810496593,1725039557475.4353,-2311.719889447841,8.917914250848122,652505689358.0565,43.38826882116504,56.839139397169795,-13836.98773395702,-13.930208907531085,28312.947789414622,-26.960119999675833,-13864.86457640388,-373.82144853049977,111127015900747.66,-142.09551292605974,0.0,-145.7590220854217,147.68966728470684,-12583122922.4674,137938.57844755068,1.0475493042936748,0.0,0.0,1779.9500000136613,-3.3036899999960383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.090000008233,-0.09666210000014708,0.12373600000049301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27332.155000070004,-2240.659386758996,9174.099790082546,382.70261219884446,0.0,-5.5868556069152425e-14,0.0,1.2687483465530091e-14,-11812.553985387425,201.68783600995326,-11812.553985387425,0.0,-18846.534316819078,0.0,0.0,4476.300000025483,27.636800000050243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.999999995518,998.999999995518,3.0000000000005684,-405.4157560916427,gaze,0.39408666502120665,0.7842588191997375,112.63989105618987,-98.29654567588695,313.5636053384078,33.63833360642061,-13.935881444373017,-30.43269293941339,0.1279269146890797,-0.19513600781087567,0.9526587803534464,3.7419775648505675,-27.06560252116947,-12.951888233509127,-27.537866461252147,0.21508341641744386,-0.2688616558951652,0.91417975344052,3.8431402699040524,3.312511730938807,-13.442988226953597,-28.990174359870228,0.1789055136978684,-0.2319573853713102,0.9332939138230347,3.806187750147544,1.5517579035998086,True,3.908052053011883,imu,-0.017944584,-9.2600034968,3.445360128,-0.36626112,2.41453192,-3.05524431,-78.82706568565699,188.73406219152855,109.72963656428647
28468.521959541435,-39.511393548318686,4574.761174587649,-7.780585056240284,8.956551969536065,1917.847880809827,-2136.7223956386442,-38951196.60346508,0.051525203980551576,1916.1285673636544,1734393096523.5938,-2321.9999171692425,8.956551865377087,656043759439.6343,43.56932740868719,57.074933096687296,-13896.786330067484,-13.983030607288976,28446.594327006867,-27.075147193156706,-13924.780756592618,-374.65501586508253,111731036389612.67,-142.6432712063397,0.0,-146.25750595324675,148.8138974443774,-12650650013.677217,138594.93912075087,1.0518683545392342,0.0,0.0,1779.9500000137195,-3.303689999995811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.090000008262,-0.0966621000001453,0.12373600000049123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27456.851926488718,-2250.1042564867225,9190.836747026886,384.1713161979469,0.0,-5.6118460787294793e-14,0.0,1.2752515661959618e-14,-11868.338139689931,202.5379927565989,-11868.338139689931,0.0,-18923.231259082444,0.0,0.0,4476.300000025309,27.636800000050243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999954307,998.9999999954307,3.0000000000004547,-406.0960296240003,gaze,0.39506816939916206,0.783824604602721,112.24212006865895,-98.18908080182061,313.1519742973668,33.60651659372701,-13.931759889903374,-30.43148936688029,0.12618121719677086,-0.19460079442957928,0.9525107854306938,3.7398569542626787,-27.10723994732879,-12.94716171761254,-27.54068000077885,0.21341833533664178,-0.2684064412105505,0.9141634365161889,3.839255985186514,3.282201153194281,-13.43895569386545,-28.9913270215473,0.1773606274605335,-0.23150711157070927,0.9331875004815458,3.8030937533417593,1.4322678416747257,True,3.958175126815027,imu,-0.008972292,-9.2498348992,3.4447619752,-0.48589168,2.8481927,-3.06272122,-78.79655028988752,188.72487496503032,109.73175590212878
28566.39661859911,-39.63375280691965,4573.377614202327,-7.819059457492131,8.984820563268917,1923.5937696946746,-2143.23628405793,-39098705.67614269,0.051737238242574556,1921.8692604769208,1741241634917.2366,-2329.521473853963,8.984820458784691,658634287973.8379,43.70177975752857,57.24742249842557,-13940.534438421733,-14.02166086782495,28544.39948491401,-27.159298537278456,-13968.614884504972,-375.2648415890435,112173296271139.39,-143.04388062544373,0.0,-146.62191474256304,149.63738197938437,-12700090565.639044,139075.2951317032,1.0550263090046954,0.0,0.0,1779.950000013545,-3.30368999999547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0900000082038,-0.09666210000012931,0.1237360000004859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27548.09830910317,-2257.013692055396,9203.082307607168,385.2453461394956,0.0,-5.6301312915293953e-14,0.0,1.2800113916477892e-14,-11909.16177062651,203.1599286235009,-11909.16177062651,0.0,-18979.333152523894,0.0,0.0,4476.300000024785,27.63680000004888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999952561,998.9999999952561,3.000000000000341,-406.5920693224738,gaze,0.3274664742570767,0.7802783423111131,112.0911369225732,-97.31454829559664,311.1871792586651,34.04852443594784,-13.99312275599069,-30.47251530015048,0.2375841047095222,-0.1961113279613288,0.9513643572441732,3.794747114181519,-26.4549896142366,-13.01399848448696,-27.43010323505762,0.3493882055049518,-0.2586543254101826,0.9005697206772129,3.872307777404785,3.8051523537360863,-13.50897741340475,-28.95387857919327,0.2943173523052814,-0.2279019740768038,0.9255999361591138,3.8481984615325926,1.575084143711605,True,4.0,imu,0.20252189221727102,-9.222623851912617,3.6357382955695634,0.4265333664906835,3.884985498118728,-4.587129370243828,-78.77529125006407,188.71824417095428,109.73229702118537
28602.76506447208,-39.67921051759126,4572.863971793209,-7.8333485809256445,8.995323122085066,1925.7283120260738,-2145.6565911337675,-39153528.321517944,0.05181604223927977,1924.0018726001044,1743787164963.0464,-2332.316011295945,8.995323017480004,659597160341.2677,43.75098595062262,57.31150162132838,-13956.787508233037,-14.03600966116188,28580.742109079634,-27.190561685071778,-13984.899911022781,-375.49139989710966,112337680502252.11,-143.19268602240055,0.0,-146.75723847434745,149.94353491615004,-12718466694.328001,139253.79066912102,1.056199144619839,0.0,0.0,1779.950000013865,-3.303689999995811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.090000008291,-0.0966621000001453,0.12373600000050189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27582.001821720725,-2259.5805756268696,9207.6319197634,385.6442653577001,0.0,-5.636925036137029e-14,0.0,1.2817801940276908e-14,-11924.331026048498,203.3909803410965,-11924.331026048498,0.0,-19000.173929036497,0.0,0.0,4476.300000025425,27.63680000005388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999954598,998.9999999954598,3.0000000000006253,-406.77600325803223,gaze,0.39606197374997026,0.783384908664697,111.93881073456163,-98.06063398698046,312.7903907127086,33.5738775007921,-13.927611309298046,-30.430190742608648,0.12441587433618786,-0.19406158170279703,0.9523664972162288,3.737762016251871,-27.1496900543557,-12.942407243895854,-27.543440783084016,0.21173191629420937,-0.26794724920514496,0.9141536138995946,3.8354091182092804,3.251088752756292,-13.434894957920394,-28.992404548095408,0.17579334984401768,-0.23105274908703718,0.9330861743153178,3.8000290629259683,1.3888143012679064,True,4.0198355047393335,imu,-0.0017944584,-9.2558164272,3.4459582808,-0.28401511,3.34914567,-3.10010577,-78.76762385261421,188.71580021006883,109.73228578345014
28737.526948207007,-39.84761107017854,4570.962869178737,-7.886262207373079,9.034232718689585,1933.635303888836,-2154.6243084983435,-39356723.094148636,0.05210812226654933,1931.9017142493242,1753223001258.8083,-2342.669479528969,9.034232613636876,663166360525.9017,43.933267298889994,57.54887469499955,-14016.998835515493,-14.089152644569133,28715.408328677484,-27.30637802227976,-14045.229621607568,-376.3307060754778,112947028257919.28,-143.743825675504,0.0,-147.25828040931455,151.07873029608524,-12786581885.088621,139915.217729587,1.0605422054686073,0.0,0.0,1779.9500000137486,-3.3036899999958678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.090000008291,-0.0966621000001453,0.12373600000050011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27707.62064488677,-2269.0895367420762,9224.487436370575,387.12164165921104,0.0,-5.66209566279588e-14,0.0,1.2883350705613543e-14,-11980.53981776724,204.2469061090261,-11980.53981776724,0.0,-19077.371959434226,0.0,0.0,4476.300000025425,27.636800000052517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999953725,998.9999999953725,3.0000000000005116,-407.4557511653916,gaze,0.39706797012921136,0.7829398647638232,111.77090576163206,-97.9143419293013,312.5073412368184,33.54043256889176,-13.923436927125751,-30.42879678641386,0.1226310807359144,-0.1935185084460286,0.9522259675935166,3.735692793771489,-27.192921883448246,-12.937626091025116,-27.5461481471187,0.2100243500003384,-0.2674842210350514,0.9141503200059641,3.831599979268145,3.219191555074747,-13.430807298415955,-28.993406430248825,0.17420386083008596,-0.23059444167981108,0.932989981088385,3.7969938504403147,1.3972597960474802,True,4.089955647650743,imu,0.0143556672,-9.2510312048,3.4501453504,-0.04475399,3.73794499,-3.1225365,-78.74031339080003,188.70683820521185,109.73126584110837
28872.777465475898,-40.016557189404665,4569.05830749264,-7.939313839200963,9.073271994922644,1941.567067282613,-2163.6235364227323,-39560735.958930016,0.0524013792349218,1939.826304812641,1762698528255.3257,-2353.0579918457597,9.073271889420818,666750574289.5752,44.11613026192919,57.7869986422656,-14077.406723862056,-14.142447462276452,28850.562862072024,-27.422570059954367,-14105.75627355216,-377.1727449611499,113558945559374.92,-144.2965648345401,0.0,-147.76051649897838,152.21923525800838,-12854980572.0171,140579.0725367611,1.0648965422247763,0.0,0.0,1779.9500000138942,-3.3036899999959246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0900000083493,-0.09666210000014708,0.12373600000049478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27833.680217906134,-2278.6289914690774,9241.399502718938,388.6031080442922,0.0,-5.687352298549693e-14,0.0,1.294914733112671e-14,-12036.951938461418,205.10557668073253,-12036.951938461418,0.0,-19154.80786032843,0.0,0.0,4476.3000000252505,27.636800000052517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999952706,998.9999999952706,3.0000000000005116,-408.13510881715075,gaze,0.3980856954281945,0.7824897625164492,111.76885354143317,-97.7553383720621,312.3298458085663,33.50621028860826,-13.919239429156098,-30.42730772706317,0.12082766077380189,-0.19297190381789406,0.9520892968857707,3.7336500513647626,-27.23688886930906,-12.932821211912774,-27.548800494002784,0.2082964299949877,-0.26701766007969013,0.9141535890725656,3.8278302076981885,3.18653825315716,-13.426695425526349,-28.994331823402415,0.17259290208084554,-0.23013249369679367,0.9328989992205122,3.793989347003956,1.432523538686717,True,4.164847700700097,imu,0.035889168,-9.259405344,3.442369364000001,-0.11204618,4.02206757,-3.36179762,-78.71465446621552,188.697992353506,109.72873728262024
28883.74056911058,-40.030248739846904,4568.904078032239,-7.943611732082104,9.07643593263859,1942.2098278270294,-2164.3529497034906,-39577276.34125519,0.05242515513698155,1940.4684840881544,1763466832798.546,-2353.899952197473,9.076435827100369,667041193248.344,44.13094925636078,57.806295634982675,-14082.302300514875,-14.146765634927297,28861.51818665509,-27.43198639202971,-14110.661474776036,-377.2409851687444,113608561954736.06,-144.3413511969192,0.0,-147.80119941839783,152.31173418270282,-12860526413.411299,140632.88440835325,1.0652492995351786,0.0,0.0,1779.9500000139524,-3.303689999996152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0900000084075,-0.09666210000015418,0.12373600000051077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27843.897680219936,-2279.4020640728836,9242.770157277468,388.7231370167872,0.0,-5.6893993149388e-14,0.0,1.2954481102799122e-14,-12041.524557527839,205.17516291098497,-12041.524557527839,0.0,-19161.082803014157,0.0,0.0,4476.300000026182,27.636800000052517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999954307,998.9999999954307,3.0000000000005116,-408.19005130347773,gaze,0.3276092975117211,0.7795649748750701,112.1812567683426,-97.20857869411876,311.6822619656359,34.0441839562168,-13.98879754699104,-30.4728989626985,0.2375712484270024,-0.1955535756426742,0.9514823702908008,3.78634238243103,-26.45686326474049,-13.01068036243684,-27.42563641805398,0.3491799816703592,-0.2580896682961431,0.9008124463613248,3.859879016876221,3.801467938669468,-13.50583384509956,-28.95227771705833,0.2940251405493885,-0.2275430536455815,0.9257767603475308,3.840933132171631,1.3023766359281257,True,4.0,imu,0.2009121665706952,-9.226061886531884,3.627438824133109,1.1169873394501864,4.3187727719088596,-4.751091899287525,-78.71265172411503,188.69728184475343,109.72846804655359
29008.533767613317,-40.186069964076964,4567.150060098385,-7.9925099533555795,9.112445842743984,1949.5245883397477,-2172.655410990701,-39765593.26425457,0.052695850820729244,1947.7766295296126,1772214980218.9133,-2363.482852029017,9.11244573679152,670350268507.0184,44.29959762599378,58.0259031021086,-14138.018718202431,-14.195900672215423,28986.22284856382,-27.539152302634587,-14166.487426594755,-378.0176216952641,114173512154250.5,-144.85097161696635,0.0,-148.26400736053466,153.36519983157666,-12923671645.70027,141245.439461384,1.0692626844893205,0.0,0.0,1779.9500000140106,-3.3036899999960383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0900000084657,-0.0966621000001524,0.12373600000051077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27960.196451075786,-2288.2001289281434,9258.370240570744,390.0888460187434,0.0,-5.712698117458541e-14,0.0,1.301520019469949e-14,-12093.57453904326,205.96709909193973,-12093.57453904326,0.0,-19232.491237416747,0.0,0.0,4476.300000025949,27.636800000052972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999953434,998.9999999953434,3.0000000000008527,-408.81415039168377,gaze,0.3991150379861415,0.7820347351320422,111.94723217156015,-97.5904575261569,312.2810599176425,33.47122789088479,-13.915020029839042,-30.42572332339369,0.11900581493578824,-0.19242190581993263,0.9519565351303209,3.731633821787976,-27.281559246995247,-12.927993875000976,-27.551397188887787,0.2065483532489216,-0.2665477066612573,0.9141634528287721,3.8241000963246976,3.1531467838596834,-13.422560608663515,-28.99518025155922,0.17096066047755407,-0.22966704810735777,0.9328132722039292,3.7910157114077863,1.4715047501403382,True,4.24039736363348,imu,0.050842988,-9.2689757888,3.4435656696,0.17955331,4.30619015,-3.71321239,-78.69067195991308,188.68926288771155,109.72474208176256
29144.81324540387,-40.35617075068559,4565.237898630556,-8.045857094833991,9.151759217719224,1957.5088653538269,-2181.7210837332823,-39971321.759337425,0.052991575275773875,1955.7536857899352,1781773610865.683,-2373.945381043178,9.151759111314538,673965917410.1283,44.483692462790515,58.265618082078355,-14198.842459884645,-14.24951890698871,29122.40566674665,-27.656139439185775,-14227.43073707844,-378.8654427594556,114790809049357.28,-145.40711492656337,0.0,-148.768814200346,154.51677663801945,-12992664135.641703,141914.40406394514,1.0736411674146247,0.0,0.0,1779.950000013865,-3.3036899999956972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0900000083202,-0.09666210000013997,0.12373600000049656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28087.185470755256,-2297.804153202907,9275.401799425483,391.5790391003253,0.0,-5.738136335747471e-14,0.0,1.3081517795521688e-14,-12150.41487006523,206.83158172526032,-12150.41487006523,0.0,-19310.431813195395,0.0,0.0,4476.300000025833,27.636800000049334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999953143,998.9999999953143,3.000000000000284,-409.49294990466376,gaze,0.400155890471227,0.781574913057053,112.29964724792387,-97.42808962159508,312.3782465489759,33.4355026753604,-13.910779926232136,-30.424043303710516,0.11716573680871739,-0.19186865016853655,0.9518277334711671,3.7296441465635146,-27.326901278413505,-12.923145330950813,-27.55393758114087,0.20478030912615092,-0.26607449880853384,0.9141799451161857,3.820409949843638,3.119035122586467,-13.418404099382661,-28.99595121514901,0.1693073150296366,-0.2291982455518792,0.9327328451371238,3.7880731121381843,1.495995580813268,True,4.312173556295774,imu,0.0669931136,-9.268377636,3.444163822400001,0.35152224,4.54545127,-4.079580979999999,-78.66839050625435,188.68065007849887,109.71932247934323
29202.2493066824,-40.42784157778332,4564.4330299270805,-8.068324551293244,9.168324732537782,1960.8727338800031,-2185.5415817492467,-40058052.07911587,0.053116245910753174,1959.1145120639671,1785803816405.5442,-2378.3541476242294,9.168324625942555,675490383546.4863,44.5612569176659,58.36661494679022,-14224.470581791807,-14.272104498963902,29179.80099820035,-27.705431331366476,-14253.109237530367,-379.2226705386638,115051081866119.39,-145.64138643928123,0.0,-148.9813825583584,155.00247481849016,-13021752532.948063,142196.35333709497,1.0754851738663014,0.0,0.0,1779.9500000139815,-3.3036899999959246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0900000084075,-0.09666210000015063,0.12373600000051077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28140.70158044033,-2301.8506506993317,9282.578516219975,392.20671323852036,0.0,-5.748855896622754e-14,0.0,1.3109470909171413e-14,-12174.370532364625,207.19581724784666,-12174.370532364625,0.0,-19343.267886267487,0.0,0.0,4476.300000025891,27.636800000052972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999952706,998.9999999952706,3.0000000000004547,-409.7781819984116,gaze,0.3275912195408071,0.7787692164374127,112.8516482708967,-97.4828195791344,313.4940465403997,34.04178389915466,-13.98573362328419,-30.47181555116547,0.2378712550176231,-0.1954526428023971,0.951428153071949,3.77495265007019,-26.45588674190716,-13.00600201127509,-27.42229128725732,0.3494302231752599,-0.2573277180607428,0.9009333852451796,3.846560478210449,3.798222577262065,-13.502818108034663,-28.95067867159313,0.2938156993001508,-0.2272151321546379,0.9259199678386552,3.832047939300537,1.2105539566504009,True,4.0,imu,0.1995524110041415,-9.229362395131634,3.6194259117843135,1.6731479120590411,4.542872285364881,-4.846252728491832,-78.65953960725892,188.67706516861506,109.71662981810177
29281.585406084174,-40.52682114148737,4563.322266425821,-8.099343066925144,9.191203262655579,1965.5180914138193,-2190.818520885223,-40177875.90479565,0.05328848693945769,1963.755668315645,1791372315147.9963,-2384.443223814836,9.191203155797199,677596724744.37,44.66837316346164,58.50608936766496,-14259.86421999722,-14.303289961594688,29259.080845627705,-27.773505055479838,-14288.57244907699,-379.71601675611964,115410700342120.22,-145.96486827700053,0.0,-149.27482088255925,155.67371362080246,-13061942828.500917,142585.81685450225,1.0780309879164385,0.0,0.0,1779.9500000139815,-3.303689999995754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0900000084948,-0.09666210000014708,0.1237360000005161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28214.618784729093,-2307.4388940550148,9292.490344729042,393.0733472651931,0.0,-5.76366123181891e-14,0.0,1.3148085330698838e-14,-12207.46021051781,207.69882923200922,-12207.46021051781,0.0,-19388.61192660519,0.0,0.0,4476.300000026007,27.636800000051608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999953288,998.9999999953288,3.000000000000739,-410.1713430051266,gaze,0.40120777828125015,0.7811105879978311,112.79327548447034,-97.27804784069716,312.63048341361787,33.3990649402293,-13.906521798085157,-30.422268006094995,0.11530826890094874,-0.1913124663181921,0.9517029873146511,3.7276817606646886,-27.37286699675011,-12.918278526661647,-27.556420141797908,0.202993110821559,-0.2655983401700957,0.9142030926123795,3.8167613596303767,3.084233633284175,-13.414228602642325,-28.996643961027345,0.16763362863177866,-0.22872639076209103,0.9326577901856217,3.7851627443559135,1.495579352876849,True,4.375536902491562,imu,0.0741709472,-9.271368400000002,3.4339952248,0.53844499,4.56040509,-4.49828794,-78.64784139487963,188.67215719739346,109.71252357401823
29418.88368752523,-40.69806250915465,4561.4027106387075,-8.152980685502598,9.230787559967576,1973.554204173076,-2199.949941265513,-40385306.69212818,0.05358665890849063,1971.78451300663,1801013473507.5413,-2394.9789327621415,9.230787452653912,681243590937.0442,44.85368446083305,58.74737517062368,-14321.0987974458,-14.357226773943035,29396.281799510925,-27.891277606633356,-14349.927390560415,-380.56954993451654,116033339804761.33,-146.52436597733703,0.0,-149.7821479284293,156.83629923850037,-13131524885.620966,143259.8421714846,1.0824331958031301,0.0,0.0,1779.9500000140688,-3.3036899999955835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256.0900000084657,-0.0966621000001453,0.123736000000509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28342.527469446497,-2317.1066856326943,9309.64003053261,394.5721292444613,0.0,-5.78927901617795e-14,0.0,1.3214919110301759e-14,-12264.72450387483,208.56905171478456,-12264.72450387483,0.0,-19467.050469113754,0.0,0.0,4476.300000026065,27.636800000052972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.9999999952997,998.9999999952997,3.000000000000398,-410.8494830772295,gaze,0.4022707156892667,0.7806418347779609,113.36574951901643,-97.15124660423952,313.03698179746584,33.361928484798185,-13.90224632778003,-30.420396973999374,0.1134333897184704,-0.19075342321574307,0.9515823319605592,3.725746470083399,-27.41942957905901,-12.913394126558215,-27.558844528480652,0.20118674094713945,-0.26511931135474726,0.914232930283038,3.813154192006543,3.048756898139466,-13.41003486494451,-28.997258091495617,0.1659395872925774,-0.2282515674804331,0.9325881422385486,3.782284428030489,1.4700211917121966,True,4.4258298714904845,imu,0.0634041968,-9.267779483200002,3.423228474400001,0.53096808,4.6426511,-5.021671639999999,-78.6290447811553,188.6637834941688,109.70438839472145
