Type,Timestamp,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
imu,304.74666,0.2536167872,-9.612315496,1.9786894624,-0.77001426,16.05241576,-9.462956179999999,,,
imu,304.755123,0.2805336632,-9.664952942400001,1.9966340464,-0.30644584,15.37201695,-8.730219,,,
imu,304.763587,0.2883096496000001,-9.675719692800001,1.9822783792,-0.0522309,14.61684904,-8.22178912,,,
imu,304.77205,0.2942911776,-9.662560331200002,1.9715116288,0.20946095,13.86915804,-7.76569761,,,
imu,304.780514,0.2918985664000001,-9.634447149600001,1.985867296,0.40386061,12.97192884,-7.189975539999999,,,
imu,304.788977,0.2936930248,-9.596763523200002,1.979885768,0.52349117,11.88029998,-6.950714420000001,,,
imu,304.797441,0.2990764,-9.591978300800001,1.9727079344,1.04687487,10.81857876,-6.65163802,,,
imu,304.805905,0.2703650656,-9.5949690648,1.976895004,1.37585891,9.913872649999998,-6.337607799999999,,,
imu,304.814368,0.2548130928,-9.630260080000001,1.9607448784,1.41324346,8.88205907,-6.27779252,,,
imu,304.822832,0.2356722032,-9.648204664000001,1.9691190176,1.56278166,8.044645150000001,-5.99366994,,,
imu,304.831295,0.2308869808,-9.652989886400002,1.976895004,1.80951969,7.21470814,-5.65720899,,,
imu,304.839759,0.2171294664,-9.6494009696,1.9577541144,2.01887317,6.39224804,-5.238502029999999,,,
imu,304.848222,0.1997830352,-9.6470083584,1.9601467256,1.93662716,5.50249575,-5.14877911,,,
imu,304.856686,0.1902125904,-9.637437913600001,1.9517725864,2.13102682,4.807143119999999,-4.78241052,,,
imu,304.865149,0.1860255208,-9.644615747200001,1.95895042,2.52730305,4.126744309999999,-4.670256869999999,,,
imu,304.873613,0.1489400472,-9.667345553600002,1.9721097816,2.46001086,3.3715764,-4.61044159,,,
imu,304.882076,0.1292010048,-9.699047652,1.9673245592,2.58711833,2.82576197,-4.430995749999999,,,
imu,304.89054,0.107667504,-9.711608860800002,1.9822783792,2.51234923,2.23508608,-4.0945348,,,
imu,304.899003,0.0813487808,-9.748096181600001,1.9936432824,2.59459524,1.75656384,-3.85527368,,,
imu,304.907467,0.04725407120000001,-9.761853696000001,1.9864654488,2.4151494,1.37524143,-3.55619728,,,
imu,304.915931,0.04007623760000001,-9.767237071200002,1.9733060872,2.27308811,1.21822632,-3.25712088,,,
imu,304.924394,0.0191408896,-9.754675862400001,1.9661282536,1.93662716,1.03130357,-3.15992105,,,
imu,304.932858,0.0215335008,-9.749890640000002,1.9571559616,1.8169966,0.8518577299999999,-3.15244414,,,
imu,304.941321,0.004187069600000001,-9.745105417600001,1.9374169192,1.77961205,0.72475026,-3.16739796,,,
imu,304.949785,0.0053833752,-9.738525736800002,1.9236594048,1.73475059,0.6724118899999998,-3.32441307,,,
imu,304.958248,0.004187069600000001,-9.7283571392,1.9212667936,1.65250458,0.7097964399999999,-3.46647436,,,
imu,304.966712,-0.007775986400000001,-9.709814402400001,1.9152852656,1.6674584,0.7696117199999999,-3.62348947,,,
imu,304.975178,0.0017944584,-9.706823638400001,1.9266501688,1.87681188,0.9041961000000001,-3.68330475,,,
imu,304.983644,-0.0137575144,-9.703234721600001,1.9146871128,1.77961205,0.9714882899999999,-3.69825857,,,
imu,304.99211,0.008374139200000002,-9.676317845600002,1.8943499176,1.92915025,1.07616503,-3.81788913,,,
imu,305.000576,0.0161501256,-9.6535880392,1.8937517648,2.01887317,1.16588795,-4.00481188,,,
imu,305.009042,0.03289840400000001,-9.6260730104,1.8913591536,1.9665348,1.09859576,-4.102011709999999,,,
imu,305.017508,0.0592171272,-9.632054538400002,1.8883683896,2.46748777,0.98644211,-4.04219643,,,
imu,305.025974,0.06160973840000001,-9.644017594400001,1.89913514,2.77404108,0.76213481,-4.37118047,,,
imu,305.03444,0.07955432240000002,-9.66016772,1.8817887088,2.94601001,0.3808123999999999,-4.48333412,,,
imu,305.042907,0.0813487808,-9.640428677600001,1.8764053336,3.06564057,0.02192071999999978,-4.49081103,,,
imu,305.051373,0.08972292000000001,-9.631456385600002,1.8943499176,3.2376095,-0.2995864100000003,-4.37865738,,,
imu,305.059839,0.08314323920000001,-9.6470083584,1.8680311944,3.34976315,-0.7332471900000002,-4.23659609,,,
imu,305.068305,0.07895616960000001,-9.7193848472,1.860255208,3.51425517,-1.1145696,-4.102011709999999,,,
imu,305.076771,0.062806044,-9.7337405144,1.8823868616,3.65631646,-1.57813802,-3.84031986,,,
imu,305.085237,0.0317020984,-9.749890640000002,1.8925554592,3.41705534,-1.92207588,-3.62348947,,,
imu,305.093703,-0.003588916800000001,-9.8144911424,1.8704238056,3.25256332,-2.161337000000001,-3.37675144,,,
imu,305.102169,-0.0161501256,-9.870119352800002,1.8530773744,3.12545585,-2.37069048,-3.09262886,,,
imu,305.110635,-0.008972292000000002,-9.870717505600002,1.8560681384,2.69179507,-2.41555194,-3.01038285,,,
imu,305.119101,-0.0376836264,-9.831837573600001,1.8638441248,2.2656112,-2.34825975,-3.00290594,,,
imu,305.127567,-0.06041343280000001,-9.801929933600002,1.8680311944,1.84690424,-2.25105992,-2.86084465,,,
imu,305.136033,-0.06101158560000001,-9.803126239200001,1.851282916,1.67493531,-2.13890627,-2.71130645,,,
imu,305.1445,-0.0693857248,-9.7995373224,1.8554699856,1.42819728,-1.97441425,-2.96552139,,,
imu,305.152966,-0.05682451600000001,-9.775611210400001,1.8865739312,1.18145925,-1.84730678,-2.91318302,,,
imu,305.161432,-0.07775986400000001,-9.7128051664,1.8746108752,0.91229049,-1.58561493,-2.92065993,,,
imu,305.169898,-0.07118018320000001,-9.675121540000001,1.860255208,1.17398234,-1.428599820000001,-3.00290594,,,
imu,305.178366,-0.08733030880000002,-9.66016772,1.8506847632,1.06182869,-1.40616909,-3.21225942,,,
imu,305.186835,-0.08972292000000001,-9.652989886400002,1.8740127224,1.18145925,-1.15195415,-3.4216129,,,
imu,305.195304,-0.116639796,-9.6799067624,1.8823868616,1.49548947,-0.8977392100000001,-3.44404363,,,
imu,305.203772,-0.1130508792,-9.7606573904,1.8895646952,1.39081273,-0.68090882,-3.75807385,,,
imu,305.212241,-0.1303973104,-9.746899876,1.887172084,1.38333582,-0.4192169699999999,-3.97490424,,,
imu,305.22071,-0.1579123392,-9.6912716656,1.9116963488,1.39081273,-0.23229422,-4.012288789999999,,,
imu,305.229178,-0.173464312,-9.700243957600001,1.9272483216,1.64502767,0.3957662200000001,-3.71321239,,,
imu,305.237647,-0.1812402984,-9.736731278400002,1.9505762808,1.77213514,0.98644211,-3.27955161,,,
imu,305.246115,-0.1866236736,-9.8210708232,1.9756986984,1.80204278,1.39767216,-3.18235178,,,
imu,305.254584,-0.1626975616,-9.803126239200001,1.9404076832,1.58521239,1.86124058,-3.44404363,,,
imu,305.263053,-0.1369769912,-9.723571916800001,1.9302390856,1.15155161,2.16031698,-3.85527368,,,
imu,305.271521,-0.128602852,-9.6248767048,1.893153612,1.32352054,2.52668557,-4.33379592,,,
imu,305.27999,-0.1274065464,-9.5184055064,1.8500866104,1.71979677,2.96782326,-4.70764142,,,
imu,305.288459,-0.1309954632,-9.479525574400002,1.8441050824,2.46748777,3.38653022,-4.909517989999999,,,
imu,305.296927,-0.09989151760000002,-9.511227672800002,1.851282916,3.23013259,3.76785263,-4.887087259999999,,,
imu,305.305396,-0.07656355840000001,-9.6075302736,1.8560681384,3.8357623,4.16412886,-4.90204108,,,
imu,305.313865,-0.0532355992,-9.724170069600001,1.8614515136,3.99277741,4.51554363,-4.83474889,,,
imu,305.322333,-0.020935348,-9.7845835024,1.8405161656,3.73856247,4.56040509,-4.49081103,,,
imu,305.330802,0.0017944584,-9.7995373224,1.8267586512,3.3871477,4.567882,-4.26650373,,,
imu,305.33927,0.0101685976,-9.802528086400002,1.8165900536,2.99087147,4.46320526,-4.19173463,,,
imu,305.347739,0.0317020984,-9.801929933600002,1.800439928,2.57216451,4.2688056,-4.034719519999999,,,
imu,305.356208,0.0430670016,-9.769031529600001,1.7842898024,2.24318047,3.797760269999999,-3.93751969,,,
