Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID
gaze,434.809955,0.4775200249561776,0.4133418486903598,60.46675544602046,149.3532014403394,1201.126645414451,32.76687840057973,-6.799809008902949,-28.98998275138724,0.0232374660731446,0.1211424847102411,0.9923630981494268,4.619200229644775,-32.23573232359522,-6.415537102003379,-26.11056973752081,0.0738239402272905,0.1303232385118026,0.9887193127238456,4.709355354309082,0.2655730384922528,-6.607673055453164,-27.550276244454025,0.04853070315021755,0.12573286161102185,0.9905412054366363,4.664277791976929,0.007712073342513652,True,0.0
gaze,434.830046,0.4775688389808892,0.4131419838179821,61.0658405923059,151.4284383444213,1215.460614143527,32.77232926733218,-6.798993148024387,-28.98595167036085,0.0234045678741068,0.121493799158668,0.9923162212564196,4.616963863372803,-32.24187969480955,-6.415216314208159,-26.1063353869821,0.0734919736347949,0.130375857722272,0.9887371063808844,4.710992813110352,0.26539891237678503,-6.6073888932847185,-27.548209886562752,0.048489486952334196,0.1258338450257459,0.9905339346276442,4.664128065109253,0.007712073342513652,True,0.0
gaze,434.850028,0.4778303528569887,0.4128882633808243,61.87153367299629,155.5151947828279,1245.169373356367,32.7767517162577,-6.798955785843912,-28.9828364184844,0.0235893432055327,0.1215675997425379,0.9923028074030475,4.614412307739258,-32.25225187323792,-6.412793813274309,-26.10313337932814,0.0723060504250953,0.1307853197627324,0.9887704663907008,4.718805313110352,0.2643492487544871,-6.606884195376182,-27.546468224010592,0.04830889023999413,0.12594804993470898,0.9905348353840542,4.6649549802144366,0.011098171326699208,True,0.0
gaze,434.870118,0.4780103441889201,0.412525780962799,62.50707081662516,158.8700176345769,1267.577603181035,32.78058289653642,-6.798590811658052,-28.98062729958955,0.023849605735804,0.1215971296345952,0.9922929680144236,4.613216876983643,-32.26099007958069,-6.408480152439076,-26.10130882666132,0.0713613328192144,0.1315132732116752,0.9887425444206478,4.728522300720215,0.26321103868533235,-6.606047017044277,-27.5450931837893,0.0481330349993729,0.12609983780681555,0.9905305655924246,4.66643363237381,0.011483842059538426,True,0.0
gaze,434.890101,0.4781860392782224,0.4122750388975967,62.52280350593231,160.4986674388467,1277.468940227113,32.78141843575927,-6.796886280971959,-28.97899373914596,0.0237123244915694,0.1218368327307157,0.992266855164151,4.614509582519531,-32.26719459457189,-6.406628422181097,-26.09979159103421,0.0708041694683826,0.1318216624327147,0.9887415329090652,4.73117733001709,0.26199121506700396,-6.605189083950728,-27.54395308004946,0.04795807739549352,0.1262457197617955,0.9905252912812612,4.66771559715271,0.01756347579777746,True,0.0
gaze,434.910191,0.4784367902483117,0.4118587670609065,61.90072554197936,161.2751885424229,1278.513462320273,32.78008699351989,-6.795057524204912,-28.97738854637009,0.0233101721525834,0.1221340080113463,0.9922398500167696,4.616941452026367,-32.27356615231729,-6.402687368864078,-26.09930775496614,0.0701902721762605,0.1324861168412493,0.9886964926286276,4.740139007568359,0.25952869148881347,-6.603428962166994,-27.541567461292278,0.047601981198334406,0.12656115992485067,0.9905106844584738,4.6705680847167965,0.02515088377606201,True,0.0
gaze,434.930172,0.4786806248983902,0.4117374173809653,61.33230135141333,161.7081805046216,1280.420554707399,32.77820207207458,-6.794585891598201,-28.97592644309813,0.0229103027462813,0.1221541329824471,0.9922466859724856,4.621031761169434,-32.27943885834746,-6.401087678408234,-26.09882351401089,0.0696000367682434,0.1327509327597579,0.9887026978486878,4.743447780609131,0.25636005560926167,-6.601575372944383,-27.539813751268884,0.0471633609988967,0.12686470081097717,0.9905002900768606,4.674220371246338,0.02568077754671203,True,0.0
gaze,434.950263,0.4787677598501415,0.4114158007651091,61.24144962941378,162.5773395770125,1283.359689064987,32.77837658153908,-6.793876770160635,-28.97483594515418,0.0229679430211488,0.1221868166044472,0.9922413292347022,4.622303009033203,-32.28411665455593,-6.396849657241773,-26.0995441400394,0.069197997367378,0.1334473185035928,0.9886371681990036,4.751349449157715,0.25333606400559816,-6.599473055772802,-27.538654780006986,0.04679041567468658,0.12719282237125415,0.9904808124408564,4.678263854980469,0.025618280747444398,True,0.0
gaze,434.970246,0.4789700569507234,0.4109536885750324,60.5360249459969,162.8576106470032,1279.924497832772,32.77652062957408,-6.79198610451772,-28.97430003197504,0.0226747189028073,0.122387812122856,0.9922233017655144,4.62219762802124,-32.28903479068342,-6.391625827943155,-26.10057021802739,0.0686655935291804,0.1343243347718181,0.988555516576279,4.76096773147583,0.25012536619909087,-6.597127152609177,-27.53794819238214,0.04640335306238351,0.1275529967760945,0.9904551430315285,4.68240647315979,0.028448678921014187,True,0.0
gaze,434.990335,0.4792299367525201,0.4103849914229912,59.61201384394079,163.1148454178579,1275.050259937324,32.77347457120261,-6.788845095933791,-28.97401269366521,0.0221920484950683,0.1228034775368284,0.9921828555707132,4.623691558837891,-32.29377693456617,-6.3861521947094,-26.10181109880489,0.0680857438565204,0.1352376783071647,0.988471093077381,4.771773338317871,0.24667274574399728,-6.59427541135819,-27.53765203861114,0.04597948290154718,0.12799126284415077,0.9904196990890164,4.6873842716217045,0.028068246763131677,True,0.0
