ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,Unnamed: 87,distance_to_inter_0,distance_to_inter_1,distance_to_inter_2,distance_to_inter_3
484.798,1.11891,-0.0193969,1288.6,7.48569,-0.00623212,-0.675082,179.244,4457.61,8.75061e-05,-0.674952,-0.0695843,-0.0574211,-0.00623212,-0.475567,-0.00422183,-0.00432182,16.0463,-0.0172318,1.11905,-0.0181957,16.0474,-180.756,-1.18687,-0.185312,0.0,0.510039,-2.691,0,5.0,-0.139332,0.00601732,-2.43555,2381.73,-8.07075,0,2.3151400000000002e-18,0,-2.01515e-19,17.0321,0.219147,17.0321,0,-29.4922,-0.279549,0.0,1286.63,-35.5095,89.4612,0,0.0,0,0.0,5.12845,2.15968e-12,5.12845,0,0.0,-8.25396e-11,0.377397,5738.69,279.698,0,-1.44661e-12,0,-1.4083e-17,54.0,-0.033959,54.0,0,1.44155,-1.7053e-10,-0.306441,6040.41,-626.61,0,-1.24776e-09,0,-2.2095e-08,48.5,0.0275753,48.5,0,-1.30326,999.0,1.0,2.0,,3988.0300205331955,3187.409001578413,592.4302020696414,4.076194450231685
484.814,1.11768,-0.0322527,1288.53,7.48671,-0.00628549,-0.676023,179.241,4475.58,0.000105236,-0.675893,-0.177002,-0.0606644,-0.00628549,-1.72759,-0.00366319,-0.00432913,16.111,-0.0173352,1.11776,-0.0310498,16.1121,-180.759,-1.87795,-0.186544,0.0,0.510039,-2.691,0,5.0,-0.139332,0.00597269,-2.45367,2381.79,-8.11885,0,2.20707e-18,0,-1.92109e-19,17.0324,0.220669,17.0324,0,-29.711,-0.277581,0.0,1286.63,-35.4868,89.4612,0,0.0,0,0.0,5.11252,5.71485e-12,5.11252,0,0.0,8.17469e-10,0.377397,5738.62,279.469,0,-1.93889e-12,0,-1.88691e-17,54.0,-0.0339426,54.0,0,1.44155,5.86216e-10,-0.306441,6040.22,-626.513,0,-2.20495e-09,0,-2.20918e-08,48.5,0.0275629,48.5,0,-1.30326,999.0,1.0,2.0,,3988.1000206364693,3187.4790015464423,592.50020120429,4.006830094239098
484.83,1.20448,-0.0031325,1288.46,7.48774,-0.00633399,-0.677035,179.238,4493.69,0.000104441,-0.676904,-1.25659,-0.0651441,-0.00633399,0.978351,-0.00274796,-0.00433584,16.1762,-0.0173514,1.20459,-0.00184071,16.1773,-180.762,0.59032,-0.186051,0.0,0.536367,-2.691,0,5.0,-0.139332,0.00592832,-2.47172,2381.85,-8.1678,0,2.1059800000000003e-18,0,-1.8331000000000002e-19,17.0327,0.222275,17.0327,0,-29.929,-0.276743,0.0,1286.63,-35.4642,89.4612,0,0.0,0,0.0,5.09656,5.53666e-12,5.09656,0,0.0,6.84096e-10,0.377397,5738.55,279.239,0,-1.65574e-12,0,-1.61144e-17,54.0,-0.0339401,54.0,0,1.44155,5.63607e-10,-0.30644,6040.03,-626.416,0,-2.78205e-09,0,-2.20887e-08,48.5,0.0275607,48.5,0,-1.30325,999.0,1.0,2.0,,3988.1700207410204,3187.5490015144906,592.5702003326758,3.937486968562638
484.846,1.12158,-0.0196263,1288.39,7.48877,-0.00639661,-0.678101,179.235,4511.95,3.96511e-05,-0.677971,0.136787,-0.0681688,-0.00639661,-0.369219,-0.00435714,-0.00434522,16.2419,-0.0174217,1.12169,-0.0184234,16.243,-180.765,0.179499,-0.187026,0.0,0.51333,-2.691,0,5.0,-0.139332,0.00588423,-2.48971,2381.91,-8.2177,0,2.01255e-18,0,-1.75177e-19,17.033,0.223973,17.033,0,-30.1462,-0.277142,0.0,1286.63,-35.4417,89.4612,0,0.0,0,0.0,5.08056,1.26078e-12,5.08056,0,0.0,-5.83503e-10,0.377398,5738.48,279.01,0,-5.21508e-13,0,-5.08299e-18,54.0,-0.0339527,54.0,0,1.44155,-3.14411e-10,-0.306439,6039.84,-626.318,0,-2.94197e-09,0,-2.20855e-08,48.5,0.0275695,48.5,0,-1.30325,999.0,1.0,2.0,,3988.240020845833,3187.6190014828735,592.6401994630577,3.8681677798282057
484.862,1.14918,-0.0357466,1288.32,7.48982,-0.00645047,-0.679229,179.232,4530.34,4.14618e-05,-0.679098,-0.403278,-0.0734321,-0.00645047,-2.16847,-0.00321125,-0.00435318,16.3081,-0.0175201,1.14924,-0.0345115,16.3092,-180.768,-3.01042,-0.18893,0.0,0.510039,-2.691,0,5.0,-0.139332,0.00584014,-2.5077,2381.96,-8.2676,0,1.91911e-18,0,-1.67044e-19,17.0333,0.225671,17.0333,0,-30.3635,-0.277542,0.0,1286.63,-35.4193,89.4612,0,0.0,0,0.0,5.06455,-3.01509e-12,5.06455,0,0.0,-1.8511e-09,0.377398,5738.41,278.781,0,6.12728e-13,0,5.94844e-18,54.0,-0.0339654,54.0,0,1.44155,-1.19243e-09,-0.306438,6039.64,-626.221,0,-3.10189e-09,0,-2.20823e-08,48.5,0.0275783,48.5,0,-1.30325,999.0,1.0,2.0,,3988.3100209529593,3187.6890014509877,592.7101985790631,3.798870673292238
484.878,1.14818,-0.0102946,1288.24,7.49087,-0.00648419,-0.680453,179.229,4548.81,5.76655e-05,-0.680322,-0.0205934,-0.0784671,-0.00648419,0.84838,-0.00194332,-0.00436152,16.3746,-0.0175955,1.14827,-0.00906075,16.3757,-180.771,1.30074,-0.188643,0.0,0.51333,-2.691,0,5.0,-0.139332,0.00579653,-2.52504,2382.02,-8.31811,0,1.8301500000000002e-18,0,-1.59301e-19,17.0336,0.227281,17.0336,0,-30.5728,-0.277103,0.0,1286.63,-35.3969,89.4612,0,0.0,0,0.0,5.04868,-4.47917e-12,5.04868,0,0.0,-2.37346e-09,0.377398,5738.33,278.551,0,1.40789e-12,0,1.36742e-17,54.0,-0.0339732,54.0,0,1.44155,-1.56706e-09,-0.306437,6039.45,-626.123,0,-3.66606e-09,0,-2.2079e-08,48.5,0.0275843,48.5,0,-1.30324,999.0,1.0,2.0,,3988.390021060305,3187.769001419444,592.790197693802,3.7197307720990183
484.894,1.1783,-0.0153482,1288.17,7.49194,-0.00651681,-0.681735,179.226,4567.41,1.00214e-05,-0.681604,-0.279048,-0.0813179,-0.00651681,0.0308246,-0.00255826,-0.00437207,16.4415,-0.0176374,1.17843,-0.0140844,16.4427,-180.774,0.0835368,-0.189554,0.0,0.51333,-2.691,0,5.0,-0.139332,0.00575382,-2.54119,2382.08,-8.36973,0,1.7494400000000002e-18,0,-1.52276e-19,17.0339,0.228728,17.0339,0,-30.7678,-0.275118,0.0,1286.63,-35.3746,89.4612,0,0.0,0,0.0,5.03304,-7.58247e-13,5.03304,0,0.0,-1.52159e-09,0.377397,5738.26,278.322,0,1.57779e-12,0,1.53043e-17,54.0,-0.0339721,54.0,0,1.44155,-1.01343e-09,-0.306437,6039.26,-626.026,0,-4.97569e-09,0,-2.20758e-08,48.5,0.027585,48.5,0,-1.30324,999.0,1.0,2.0,,3988.4600211700363,3187.8390013876615,592.8601967976629,3.6504895402672792
484.91,1.26548,-0.00837017,1288.1,7.49301,-0.00654509,-0.68307,179.223,4586.14,1.06586e-05,-0.682938,-1.77775,-0.0859971,-0.00654509,0.56857,-0.000989069,-0.00438115,16.5089,-0.0177145,1.26558,-0.00701229,16.5101,-180.777,1.38547,-0.189707,0.0,0.51333,-2.691,0,5.0,-0.139332,0.00571111,-2.55734,2382.14,-8.42136,0,1.6687300000000002e-18,0,-1.45251e-19,17.0342,0.230176,17.0342,0,-30.9627,-0.273133,0.0,1286.63,-35.3524,89.4612,0,0.0,0,0.0,5.0174,2.96267e-12,5.0174,0,0.0,-6.69724e-10,0.377396,5738.19,278.093,0,1.7477e-12,0,1.69344e-17,54.0,-0.0339709,54.0,0,1.44155,-4.59809e-10,-0.306437,6039.07,-625.928,0,-6.28532e-09,0,-2.20726e-08,48.5,0.0275857,48.5,0,-1.30324,999.0,1.0,2.0,,3988.5300212800507,3187.90900135624,592.9301959036663,3.58127812939733
484.926,1.17436,-0.0111194,1288.02,7.49408,-0.00657934,-0.684479,179.22,4604.92,0.000152376,-0.684347,-0.0790133,-0.0893609,-0.00657934,-0.0601513,-0.0018367,-0.00439109,16.5766,-0.0177502,1.17444,-0.00986184,16.5777,-180.78,-1.01533,-0.190819,0.0,0.510039,-2.691,0,5.0,-0.139332,0.00566855,-2.5732,2382.19,-8.47338,0,1.59048e-18,0,-1.38439e-19,17.0345,0.231608,17.0345,0,-31.1541,-0.271355,0.0,1286.63,-35.3302,89.4612,0,0.0,0,0.0,5.0018,5.1512e-12,5.0018,0,0.0,1.00861e-11,0.377395,5738.12,277.864,0,1.83544e-12,0,1.77684e-17,54.0,-0.0339714,54.0,0,1.44154,-1.0416e-12,-0.306436,6038.87,-625.83,0,-6.94375e-09,0,-2.20694e-08,48.5,0.0275868,48.5,0,-1.30324,999.0,1.0,2.0,,3988.6100213902946,3187.9890013251747,593.0101950085229,3.502244207133499
484.942,1.22569,-0.0187717,1287.95,7.49517,-0.0066391,-0.685919,179.217,4623.82,-3.5983e-05,-0.685786,-0.70172,-0.0904873,-0.0066391,-0.328718,-0.00494834,-0.00440311,16.6446,-0.0177889,1.22583,-0.0174621,16.6458,-180.783,0.106764,-0.191463,0.0,0.510039,-2.691,0,5.0,-0.139332,0.00562652,-2.58806,2382.25,-8.52678,0,1.5206600000000002e-18,0,-1.32362e-19,17.0348,0.23299,17.0348,0,-31.3334,-0.270288,0.0,1286.63,-35.3082,89.4612,0,0.0,0,0.0,4.98634,2.06886e-12,4.98634,0,0.0,9.8075e-11,0.377395,5738.05,277.634,0,1.64056e-12,0,1.58639e-17,54.0,-0.0339775,54.0,0,1.44154,1.31454e-10,-0.306435,6038.68,-625.732,0,-5.36232e-09,0,-2.20662e-08,48.5,0.0275892,48.5,0,-1.30323,999.0,1.0,2.0,,3988.680021502952,3188.059001293905,593.0801941026431,3.4330998221578963
