Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_3,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z
492.465678,2586.05455122706,-2.599079057751794,1545.8032756794273,8.965374567857452,0.5599321918672636,-561.4243050773167,188.77174459353046,-252790.89090447128,-0.044718804629218796,-561.3416065371649,28606.489105842476,-357.0025752634976,0.5599321918672636,3037406007.0873013,2.4140038224239087,-2.7409464931622782,362.63913151676525,-0.5915592478886964,2586.1425270149834,0.3129929881704425,363.40026034674383,-171.2282554098474,-3733801542.238462,-5.930640658037902,0.0,679.7765312848594,35.66936988749882,-822.6195384663788,-5068.754390989769,14.033753851991229,6943.655673276028,1227.972944973429,493.91582569654565,145.06822838130245,0.0,-2.6908547732595865e-12,0.0,-4.1938011457729025e-14,-15.741913366382505,-110.55226325443789,-15.741913366382505,0.0,13930.486499415023,-0.5723798187396767,0.0,1283.2803992144181,-27.361147906437054,89.46120000103201,0.0,0.0,0.0,0.0,-1.206874947109668,1.8069764063175538e-10,-1.206874947109668,0.0,0.0,5.753113343919226e-07,0.3999175505792145,5714.309678961523,151.19098488181407,0.0,9.409343130403265e-09,0.0,9.153888044735265e-14,54.00000000028558,-0.0340010035453413,54.00000000028558,0.0,1.5269966109380135,1.7430012896840187e-07,-0.3002436928830008,5940.926747560734,-565.4728877787784,0.0,-7.0431232027291154e-06,0.0,-1.9993618115040366e-08,48.500000000532054,0.030239680651313883,48.500000000532054,0.0,-1.2778077180090008,999.0000000062864,1.000000000008697,2.000000000017394,617.2980712210979,gaze,0.45796354656367755,0.6876552184102592,30.488897442250618,-117.87960868213563,372.7091868972481,31.86949618319943,-13.14179096863128,-29.90229174132551,0.026998790492326605,-0.14393048859087137,0.9840456175636251,4.005936119049597,-28.754318327690157,-12.057992464893907,-27.276852210924368,0.12593864395950544,-0.1676547227995786,0.9706073312724984,4.23281793102784,1.5794054187360267,-12.634386363189961,-28.589709203977165,0.07890493312623632,-0.15867027853690227,0.9767283050898697,4.110589416154968,6.314324600303678,True,1.3572916004819222,imu,-1.2088668088,-9.502853533600002,3.1456855752,-0.55318387,13.00931339,-1.89632326,-86.93248841081687,188.61698848269342,109.91066902588982
492.470026,2592.346343253432,-2.6046389511229298,1546.5732170282427,8.965907438366571,0.56149834208375,-562.8010343193396,188.8008104845485,-253555.9598851949,-0.0448369323661015,-562.718132672057,28687.697438173152,-357.79265961114316,0.56149834208375,3046898085.562427,2.4197705288185043,-2.747678460504403,363.5749307557346,-0.5931080963683317,2592.4345344037915,0.31452270555133377,364.3379187738856,-171.19918951883483,-3745202587.1178184,-5.94552644224223,0.0,681.3869000460248,35.764998184046846,-824.6425636063901,-5081.679075815979,14.068405384970697,6960.5209582930975,1230.8079599171656,489.39884170901496,145.62934499438472,0.0,-2.6975744309144794e-12,0.0,-4.2032933297881944e-14,-15.012988660558904,-110.80749426073095,-15.012988660558904,0.0,13962.528925290024,-0.5731585785551871,0.0,1283.272689920428,-27.35359528401932,89.46120000103747,0.0,0.0,0.0,0.0,-1.2135891371644334,1.8150321678578427e-10,-1.2135891371644334,0.0,0.0,5.767224452291328e-07,0.39997191954241984,5714.299682685523,151.0868744053987,0.0,9.432590628084267e-09,0.0,9.176501636560584e-14,54.00000000028331,-0.034001919831345706,54.00000000028331,0.0,1.52720309697375,1.7470023951755197e-07,-0.3002264807262982,5940.851195291849,-565.4212585843052,0.0,-7.060676755565738e-06,0.0,-1.9991696208041635e-08,48.50000000053433,0.030246622322908312,48.50000000053433,0.0,-1.2777364274813436,999.000000006301,1.000000000008697,2.000000000017394,618.8909243286882,gaze,0.4587142369797766,0.7869659644564594,31.5547690570462,-117.9112429076269,372.3069241323403,31.59327312030722,-14.18560912266195,-29.81177776921479,0.0009400916980878,-0.242364450524292,0.9701848222630868,4.024494171142578,-28.67996113681853,-13.09668013927581,-27.23063333243366,0.1432770762009786,-0.2584815898647427,0.9553318518380376,4.273459434509277,1.473715131697782,-13.642069240022623,-28.52760502635349,0.0735695658353231,-0.2504651198805773,0.9625614122390912,4.135935115814209,5.899471330283535,True,2.0,imu,-0.25532360966640816,-9.40990429648529,3.0860106317953244,0.4075762713375681,13.799616116375276,-0.6209690725911271,-86.93180687675778,188.61793364700037,109.91046986290685
492.474141,2598.312154921293,-2.6099098343982727,1547.303414251117,8.96640911309737,0.5629835740072815,-564.1064550755206,188.82837637578814,-254281.64348789304,-0.04494895556515244,-564.0233608401691,28764.723349665597,-358.5416644767806,0.5629835740072815,3055903346.0618725,2.4252382027761468,-2.754061775068133,364.46254203722197,-0.5945770792998255,2598.400550279993,0.31597412271444614,365.22729294942405,-171.171623627617,-3756018284.4548497,-5.959644092897154,0.0,682.9137497227415,35.85567587674768,-826.5608132255161,-5093.935188219374,14.101261795953969,6976.512338809175,1233.4957939700164,485.1160783706582,146.1616159447094,0.0,-2.703946245620185e-12,0.0,-4.212292391489266e-14,-14.320330283435169,-111.04947485182203,-14.320330283435169,0.0,13992.907620446838,-0.5738964225519823,0.0,1283.2653809234907,-27.346437327996682,89.46120000103838,0.0,0.0,0.0,0.0,-1.2199529284431492,1.8226765733768058e-10,-1.2199529284431492,0.0,0.0,5.780604697706785e-07,0.4000234705946575,5714.2902226931765,150.98827233714837,0.0,9.454634302753382e-09,0.0,9.197944226249561e-14,54.00000000028513,-0.03400279011385399,54.00000000028513,0.0,1.5273988813114414,1.7507957704288412e-07,-0.3002101565272355,5940.779644312628,-565.3723623291007,0.0,-7.077321442751061e-06,0.0,-1.998987579164232e-08,48.50000000053569,0.030253205139049832,48.50000000053569,0.0,-1.277668813860842,999.0000000063301,1.0000000000087539,2.0000000000175078,620.4013272832643,gaze,0.458238960256233,0.6869900301296434,31.47793754134946,-117.77251185357241,371.79775507236934,31.866573881589126,-13.136096003734938,-29.901372068813796,0.026678536104574685,-0.14338838168903908,0.9841341236660482,4.00711000259867,-28.760592671003607,-12.051261950380402,-27.27614901163075,0.1252474533876787,-0.16699779120797154,0.9707734729245171,4.233503669340412,1.5749445863541207,-12.628593559859084,-28.589071749966116,0.07841455500616369,-0.1581294216032063,0.9768473055158593,4.11154486356667,4.139016323192293,True,1.2723876681013544,imu,-1.1119660552,-9.4849089496,3.1247502272,-0.5307531400000001,16.91973732,-2.89075229,-86.93119077981613,188.61881923461684,109.91013747167241
492.482605,2610.6172783745596,-2.620778686567058,1548.8099734036077,8.96743288982168,0.5660477108541819,-566.7990873098605,188.8852520740802,-255779.21894176304,-0.04518006348482234,-566.715595828796,28923.67416958909,-360.086123193995,0.5660477108541819,3074492891.101426,2.4365150767868142,-2.7672284509452663,366.2942427704695,-0.5976081805940445,2610.706094946778,0.3189707492675302,367.0626299354353,-171.11474792932677,-3778343196.346185,-5.988772770924875,0.0,686.0627791493994,36.04272035926229,-830.5175250263338,-5119.217977972105,14.16903222752743,7009.495940151245,1239.0388271858608,476.2830155652191,147.26017340626754,0.0,-2.7170897288171166e-12,0.0,-4.2308498482897244e-14,-12.887055257646352,-111.54850359869144,-12.887055257646352,0.0,14055.55589827423,-0.5754165640422428,0.0,1283.2503080175666,-27.331683545891792,89.46120000104202,0.0,0.0,0.0,0.0,-1.233071187651376,1.8384624005489945e-10,-1.233071187651376,0.0,0.0,5.808203615950356e-07,0.40012979698020246,5714.270766575355,150.78524479598855,0.0,9.500103693969513e-09,0.0,9.242173747983661e-14,54.00000000028513,-0.0340045896657144,54.00000000028513,0.0,1.52780269646874,1.758618690905864e-07,-0.30017647444993756,5940.632328416745,-565.2716859520733,0.0,-7.111654697108787e-06,0.0,-1.9986126846296543e-08,48.50000000053751,0.03026678533625171,48.50000000053751,0.0,-1.2775293024471495,999.0000000062864,1.000000000008768,2.000000000017536,623.5169277685096,gaze,0.4585186083023763,0.6862989475451139,32.84614233475866,-117.53256156446987,370.0973334654687,31.86361641179458,-13.130193043676039,-29.900395781195257,0.02635502282499249,-0.14282217351851173,0.9842254141284332,4.008284061809715,-28.766956275413495,-12.044330744978822,-27.275394941087793,0.12454547921770465,-0.1663153429569476,0.9709444719111746,4.234176719626064,1.5704168059444665,-12.622581872389638,-28.58838026936523,0.07791660893901522,-0.15756242999312603,0.9769703404291631,4.112497202694543,3.4172386992125365,True,1.1832386898046185,imu,-1.0276265104,-9.451412392800002,3.101422268000001,-0.68029134,20.25443918,-3.75059694,-86.9300116883332,188.6206135250153,109.90901830456325
492.490011,2621.4221576428126,-2.63031919261472,1550.133348876945,8.968319715182133,0.5687390267430692,-569.1635022166128,188.93521346920352,-257095.06727731228,-0.04538304785417315,-569.0796619085895,29063.33045782807,-361.4417903522949,0.5687390267430692,3090832850.1787868,2.4464162004690757,-2.778790293204214,367.9036263424741,-0.6002710202332282,2621.5113440873683,0.3216052569338568,368.67520653298857,-171.06478653421618,-3797964373.7886024,-6.014360602000011,0.0,688.8275893230332,36.20697365983503,-833.9919629687238,-5141.421875959196,14.22854070514994,7038.4578082652015,1243.905044422746,468.52753900844255,148.2255587325477,0.0,-2.7286317887723557e-12,0.0,-4.247140275669085e-14,-11.623446614736395,-111.98659989128066,-11.623446614736395,0.0,14110.553891127503,-0.5767494437020062,0.0,1283.2370757685712,-27.31873986065375,89.46120000104384,0.0,0.0,0.0,0.0,-1.244581534564361,1.852343983901241e-10,-1.244581534564361,0.0,0.0,5.832438477744035e-07,0.40022315652372953,5714.253744423273,150.60735630903582,0.0,9.540031610168983e-09,0.0,9.281012885259625e-14,54.00000000028558,-0.03400617479258772,54.00000000028558,0.0,1.5281572662646,1.76548637819482e-07,-0.3001468859931613,5940.503266369691,-565.1834797867923,0.0,-7.1418040317568086e-06,0.0,-1.9982841437357343e-08,48.50000000053842,0.030278712525327656,48.50000000053842,0.0,-1.2774067437998298,999.0000000063592,1.0000000000088107,2.0000000000176215,626.2529307055769,gaze,0.4545870769905209,0.7882436765901026,34.45824028370561,-117.479501534202,369.0941233479208,31.66624459817885,-14.18467283407565,-29.83328981392728,0.0081339969911226,-0.2420193564536958,0.9702373262221402,4.035941123962402,-28.59220370142825,-13.11185646643448,-27.22160225887541,0.1507131600536422,-0.2603075292986758,0.9536904810141834,4.245885372161865,1.4695981652530368,-13.64303428513496,-28.523733621382355,0.0731412729235287,-0.250664499521427,0.962552801698779,4.14018931388855,3.561373374789834,True,2.0,imu,-0.25399460419859277,-9.409611630561798,3.0869334082312396,0.4172091412186985,23.02811519997933,-2.483446874772776,-86.92907692235057,188.62215351939105,109.90756480406534
492.491069,2622.9686045222647,-2.6316844315641443,1550.322794612919,8.968445717999657,0.5691242788020126,-569.5019140498753,188.94236570979956,-257283.46326664835,-0.045412104017909974,-569.4180238150075,29083.32520992248,-361.6357826339097,0.5691242788020126,3093172790.0047836,2.4478332310963054,-2.7804451147008895,368.1340457262113,-0.6006522372189718,2623.0578439057617,0.3219825665519216,368.90608292613865,-171.0576342936347,-3800774034.191591,-6.018023659777896,0.0,689.2232804010358,36.23048340737114,-834.489251303959,-5144.6000796883445,14.237057896400437,7042.60294402539,1244.6014443072609,467.4175875316432,148.36378758131673,0.0,-2.7302838233369002e-12,0.0,-4.249471498013506e-14,-11.442205737729637,-112.04929544996784,-11.442205737729637,0.0,14118.424542540772,-0.5769400650884471,0.0,1283.2351821306365,-27.316888156894493,89.46120000104747,0.0,0.0,0.0,0.0,-1.246228303100736,1.8543323356423527e-10,-1.246228303100736,0.0,0.0,5.835907150923956e-07,0.4002365183290415,5714.251312832872,150.58192539560696,0.0,9.545746452854019e-09,0.0,9.286571890917177e-14,54.00000000028922,-0.03400640204291738,54.00000000028922,0.0,1.5282080130960338,1.766469203715079e-07,-0.3001426501656219,5940.484816671582,-565.1708701807147,0.0,-7.146119303581184e-06,0.0,-1.998237170539752e-08,48.50000000054115,0.03028041980788787,48.50000000054115,0.0,-1.2773891983040215,999.0000000063737,1.000000000008825,2.00000000001765,626.6445403392031,gaze,0.4588023901726012,0.6855823604740574,34.58802000356304,-117.35961661678519,368.5185834139737,31.860624669792525,-13.124085449052547,-29.899363480021183,0.02602834784972601,-0.14223220973342354,0.9843194428028914,4.009457881528458,-28.7734068382444,-12.037202453965103,-27.274590500406166,0.12383297967588923,-0.1656077649802375,0.9711202457511866,4.234836857809414,1.5658236400980698,-12.616354696473582,-28.587635251926322,0.07741126873702389,-0.1569696549241388,0.9770973476955994,4.113446093590418,4.706751914617852,True,1.0904416860572719,imu,-0.9229497704,-9.403560168800002,3.086468448,-0.60552224,23.20781863,-4.4683803,-86.92895074635963,188.6223712364372,109.90732148912412
492.499532,2635.364794702393,-2.642625869425669,1551.841716430863,8.969447422632811,0.5722129484386652,-572.21464280048,188.99971119314068,-258794.21935857832,-0.04564505235877963,-572.1303523468472,29243.65978910462,-363.190471577907,0.5722129484386652,3111941148.6681275,2.4591914330367866,-2.793710336881121,369.98175914424655,-0.60370892858633,2635.4544584491987,0.3250092662133879,370.7574597665448,-171.00028881030812,-3823308505.0992002,-6.047393670172841,0.0,692.3949089472611,36.41894475767228,-838.4755624768211,-5170.078766432199,14.305331432953201,7075.829759463974,1250.1830358539105,458.5207596591208,149.472342926289,0.0,-2.7435271060210376e-12,0.0,-4.2681552924348446e-14,-9.98590451783025,-112.55179553532,-9.98590451783025,0.0,14181.506659733575,-0.5784667459699158,0.0,1283.2200049211533,-27.30205277718096,89.46120000105293,0.0,0.0,0.0,0.0,-1.2594228350029653,1.8702847873761565e-10,-1.2594228350029653,0.0,0.0,5.863712306012248e-07,0.4003436230496149,5714.231863689027,150.37833740962378,0.0,9.591557647198236e-09,0.0,9.331133857236449e-14,54.0000000002874,-0.03400822708152118,54.0000000002874,0.0,1.5286147871775455,1.7743464485412437e-07,-0.3001086872549479,5940.337125965452,-565.0699266130614,0.0,-7.180711538564352e-06,0.0,-1.9978610798236158e-08,48.50000000054206,0.030294107093587375,48.50000000054206,0.0,-1.2772485162439011,999.000000006432,1.0000000000088676,2.000000000017735,629.7838270430127,gaze,0.4590902024480932,0.6848406763610487,36.688730048477794,-117.58048707337481,368.4761517628102,31.857599575772557,-13.117776722184876,-29.89827580576043,0.02569861059246539,-0.14161885245474817,0.9844161616380329,4.01063104700572,-28.77994199581141,-12.029880818979041,-27.27373622519679,0.12311022035973891,-0.16487546151070354,0.9713007086287229,4.235483868337313,1.5611666972664229,-12.609915577338453,-28.58683722436869,0.07689871338262359,-0.15635146546271203,0.9772282624089444,4.114391198498723,8.509580041005487,True,0.9946707545356378,imu,-0.8122915024000001,-9.3533153336,3.061346030400001,-0.52327623,25.89950623,-4.909517989999999,-86.9280074782642,188.62409227186654,109.90505879216501
492.507996,2647.808907473183,-2.6536056810991884,1553.3671162479004,8.970438183026545,0.5753144860395764,-574.9379433414591,189.05730277780458,-260311.86609378457,-0.04587896633881827,-574.8532511052584,29404.718108059726,-364.75057024765704,0.5753144860395764,3130802732.2096066,2.4705924788823914,-2.807027393559211,371.83784678733286,-0.6067790185085984,2647.898997240132,0.3280516138147507,372.6172251241378,-170.94269722565514,-3845952311.4371734,-6.076890132065717,0.0,695.5784452824062,36.60815099963506,-842.4774430135751,-5195.660349483609,14.373869685846643,7109.184581797822,1255.7849721768778,449.5903414823697,150.58611719251473,0.0,-2.756822851508495e-12,0.0,-4.286905810501637e-14,-8.51775734798548,-113.0561272248749,-8.51775734798548,0.0,14244.817731956968,-0.5799969683378414,0.0,1283.2047726643796,-27.287173761327722,89.46120000105566,0.0,0.0,0.0,0.0,-1.2726580233263007,1.886323824989804e-10,-1.2726580233263007,0.0,0.0,5.891625947819215e-07,0.4004511375426212,5714.212414473121,150.17443192421706,0.0,9.637548595299713e-09,0.0,9.375870656496666e-14,54.00000000028922,-0.03401006526541561,54.00000000028922,0.0,1.5290231189886185,1.7822523591824335e-07,-0.3000745772500437,5940.189220821543,-564.9688310555357,0.0,-7.2154399493069854e-06,0.0,-1.9974843220528977e-08,48.5000000005457,0.030307850588421115,48.5000000005457,0.0,-1.2771072211708798,999.0000000064465,1.0000000000088818,2.0000000000177636,632.9355635267808,gaze,0.45938204306030794,0.6840740437129417,39.15427156425396,-118.30528026038301,371.29446620499687,31.854540983428038,-13.11126816121269,-29.89713302228253,0.0253657941031065,-0.14098225013030305,0.984515556430249,4.011803559671838,-28.786561686640688,-12.022367017083317,-27.27283235581895,0.12237721239160478,-0.164118581042238,0.9714858379210852,4.236117766673149,1.5564459459226183,-12.603265811830415,-28.585986438873512,0.0763789413752191,-0.15570801559001235,0.9773630654243348,4.115332515076001,15.179529884400072,True,0.8966399472174513,imu,-0.6693329832000001,-9.364082084,3.0481866688,-0.23167674,28.32202507,-5.12634838,-86.92718105159398,188.62577714532733,109.90224268907808
492.508535,2648.602943479858,-2.6543061498648526,1553.464469721046,8.970500900074285,0.5755124208570926,-575.1117150189772,189.06097841725023,-260408.73992814124,-0.04589389416513314,-575.0269971452061,29414.998464874185,-364.8500969376338,0.5755124208570926,3132006955.8070183,2.4713199225900078,-2.8078771492242636,371.9563220613079,-0.6069749689098831,2648.6930604309227,0.32824587405794214,372.73593507072405,-170.9390215862186,-3847397924.259424,-6.0787726847516765,0.0,695.7815689209439,36.620224455501926,-842.7328010431364,-5197.2928123497195,14.378243012316124,7111.312876735183,1256.1423796858026,449.0205351229815,150.6572166784366,0.0,-2.7576712715018437e-12,0.0,-4.288102060135527e-14,-8.423867003400119,-113.08830394430629,-8.423867003400119,0.0,14248.856990120157,-0.580094529015927,0.0,1283.2038008448726,-27.286224821806172,89.46120000105748,0.0,0.0,0.0,0.0,-1.2735021867176215,1.8873480903938236e-10,-1.2735021867176215,0.0,0.0,5.89340709979265e-07,0.4004579976999878,5714.211175992212,150.16143696453946,0.0,9.640483283156408e-09,0.0,9.378725316320046e-14,54.00000000029104,-0.03401018276283985,54.00000000029104,0.0,1.5290491733901064,1.782756760310767e-07,-0.300072400218113,5940.179795318749,-564.9623883895329,0.0,-7.217655988279993e-06,0.0,-1.9974603084381747e-08,48.5000000005457,0.030308727647227585,48.5000000005457,0.0,-1.277098203049178,999.000000006461,1.0000000000089244,2.000000000017849,633.1366806560512,gaze,0.4594007615412702,0.6840243890072584,39.3253141407988,-118.35267164371393,371.5746229308762,31.854345098648928,-13.1108470089999,-29.89705839828039,0.025344498316258433,-0.14094093241790706,0.9845219754118221,4.011878193781177,-28.786986037575915,-12.021882116115616,-27.272773130218617,0.1223301934100603,-0.1640695598616987,0.9714977830191244,4.236157684390289,1.556143204099449,-12.602835302545548,-28.58593048633261,0.07634560196392633,-0.15566619373672777,0.9773717798711556,4.115392322161384,15.704016476075926,True,0.8903394048317398,imu,-0.2527608028607684,-9.40934450329718,3.087780297185921,0.4978279220875036,29.43094870910392,-4.3161080951404385,-87.17162600000002,188.7660068,110.5423144
492.510098,2650.9065692126137,-2.6563382320723274,1553.7469216345198,8.97068251273572,0.5760866827422901,-575.6158564505433,189.07164259563797,-260689.8105495721,-0.045937203674961256,-575.5310641976897,29444.825813073094,-365.13882603990135,0.5760866827422901,3135501076.1372633,2.4734303289291204,-2.8103424392886334,372.3000660914556,-0.6075434887395839,2650.996765029528,0.3288095446303527,373.0803599267092,-170.92835740783994,-3851592388.9923887,-6.084234568309885,0.0,696.3708550444946,36.6552518605439,-843.4736392586569,-5202.028949698565,14.390930751206412,7117.487391276412,1257.1792478690843,447.36745399059146,150.86350907162773,0.0,-2.7601327029288497e-12,0.0,-4.2915724457417236e-14,-8.151333450589846,-113.18165121824251,-8.151333450589846,0.0,14260.575183356075,-0.5803775139791227,0.0,1283.2009815238416,-27.28347210925631,89.46120000106475,0.0,0.0,0.0,0.0,-1.275951003592695,1.8903202199638334e-10,-1.275951003592695,0.0,0.0,5.898574530000075e-07,0.40047790001778694,5714.207584676275,150.12374724288384,0.0,9.648997343877693e-09,0.0,9.387007200791598e-14,54.00000000029195,-0.03401052378139191,54.00000000029195,0.0,1.529124761044855,1.7842200678446893e-07,-0.3000660839371285,5940.152458576602,-564.943702632947,0.0,-7.224085128613446e-06,0.0,-1.9973906590937215e-08,48.50000000054706,0.030311272211000162,48.50000000054706,0.0,-1.2770720384461782,999.0000000064902,1.0000000000089244,2.000000000017849,633.7201608623519,gaze,0.4494402356301981,0.7879640264801275,38.73361949198089,-118.3364655381407,372.022697078162,31.7700509561788,-14.16600621426991,-29.86425697675955,0.0185827076521519,-0.2408210750049602,0.9703916182705672,4.077707767486572,-28.51154896650198,-13.10001152190193,-27.22866630734633,0.1589584373312453,-0.2615725535464654,0.9520042092514036,4.251649856567383,1.4985603451467806,-13.640712436695985,-28.52706990525504,0.0760226752797157,-0.2507727000815346,0.9623176593329236,4.14766206741333,16.899783260075036,True,2.0,imu,-0.25265666012077825,-9.40932215265413,3.087851363142058,0.5078957239849907,29.845777408559517,-4.466621259222562,-86.92699386836058,188.62618995220973,109.90145923222451
492.516459,2660.2981316268397,-2.6646213674974133,1554.8986520866456,8.971417707517958,0.5784281951424302,-577.6712009194922,189.11512755804688,-261836.06675370783,-0.04611379347070943,-577.5861054275935,29566.464424416383,-366.31572283135915,0.5784281951424302,3149753414.2063274,2.4820337868785076,-2.8203932794213467,373.7018972322044,-0.609861823065873,2660.3886489746246,0.33110894084399467,374.48496674567036,-170.8848724454183,-3868700480.3778725,-6.106506465499461,0.0,698.773168169135,36.79805948007052,-846.4939897748661,-5221.339074641333,14.442657175107644,7142.65987310201,1261.4059809411478,440.6283551288652,151.70486300356401,0.0,-2.7701680632818345e-12,0.0,-4.305718785348733e-14,-7.038060934349232,-113.5621759727505,-7.038060934349232,0.0,14308.343374382639,-0.5815303714590385,0.0,1283.1894888213283,-27.272254485454596,89.46120000106112,0.0,0.0,0.0,0.0,-1.2859308626502752,1.9024459584641626e-10,-1.2859308626502752,0.0,0.0,5.919641776609437e-07,0.4005590374941512,5714.192969706492,149.97025631859287,0.0,9.683708922641453e-09,0.0,9.420772196985302e-14,54.00000000029286,-0.034011916212965065,54.00000000029286,0.0,1.529432916194665,1.7901851398507275e-07,-0.30004032776844625,5940.041135613341,-564.8676070576621,0.0,-7.250296702610599e-06,0.0,-1.9971069847013677e-08,48.50000000054524,0.03032164720561159,48.50000000054524,0.0,-1.2769653446191853,999.0000000064756,1.0000000000089386,2.0000000000178773,636.0990388697239,gaze,0.4596777720730755,0.6832829728061057,42.09625483406774,-118.38860614772639,376.3839930680437,31.851450191724783,-13.104564136144036,-29.895935932545928,0.025030038684841886,-0.14032285160696084,0.9846175660495547,4.012974867054041,-28.793262721754655,-12.014665772324008,-27.271879558428708,0.12163431318456924,-0.1633376291710001,0.9716755235813199,4.236738268039124,1.5516635848306521,-12.59640983548035,-28.585083548535092,0.07585219676001673,-0.15503976286238616,0.9775016739474948,4.116269595855027,24.709490581117993,True,0.7971740817487363,imu,-0.5263744640000001,-9.3269966104,3.0697201696,0.25432241,30.08657583,-5.17868675,-86.92647102313066,188.62742556907133,109.89888841250534
492.524923,2672.835548182337,-2.675675627444752,1556.4367043886305,8.972386169889432,0.5815548480773121,-580.4150902721223,189.17319990351825,-263367.2034858838,-0.04634959204069214,-580.3295899518209,29728.93928282419,-367.8863120642405,0.5815548480773121,3168798004.461184,2.493518173339595,-2.8338112948549403,375.5743782207576,-0.6129581124151668,2672.926494777232,0.33418202030698274,376.36115328446795,-170.8268000999742,-3891558766.5705223,-6.136250060273301,0.0,701.9798636691387,36.98871713814512,-850.5261945325999,-5247.12130157369,14.511710873481883,7176.263888682949,1267.047441989854,431.6325944206037,152.82886058068675,0.0,-2.7835660406146886e-12,0.0,-4.324598826995295e-14,-5.546415248625863,-114.07006600362783,-5.546415248625863,0.0,14372.099175900412,-0.5830673185512971,0.0,1283.1741496414325,-27.25729128381772,89.46120000106657,0.0,0.0,0.0,0.0,-1.2992446118641965,1.918655298458511e-10,-1.2992446118641965,0.0,0.0,5.947766709876166e-07,0.40066734949679983,5714.173524718848,149.76576153708083,0.0,9.730050031869647e-09,0.0,9.465849570296488e-14,54.00000000029195,-0.03401378041443115,54.00000000029195,0.0,1.5298442798005283,1.7981467377175168e-07,-0.30000593027276423,5939.892834767525,-564.7662303582329,0.0,-7.2852904096205615e-06,0.0,-1.9967289770403622e-08,48.500000000548425,0.030335500366693413,48.500000000548425,0.0,-1.2768228512031925,999.0000000065047,1.0000000000089813,2.0000000000179625,639.2750345591036,gaze,0.4599773875023117,0.6824676111714206,45.83865623616808,-114.9549485598826,380.26818155773077,31.848327054158382,-13.09766593788625,-29.894684798580556,0.024691327342934614,-0.13964080450605815,0.9847221763750618,4.0141449708926595,-28.80004504095452,-12.006778254701606,-27.27087807076249,0.12088153367572968,-0.1625327532989586,0.9718697431001299,4.237345386493218,1.5468195814187804,-12.589348938067168,-28.584128803308726,0.07531847788737848,-0.15434686031519362,0.977644068934141,4.117202437861823,36.493795966680906,True,0.6971051026981548,imu,-0.3654713608,-9.3138372488,3.065533100000001,0.13469185,31.19315851,-5.56000916,-86.92587655778188,188.62903804611736,109.8950112920009
