,Unnamed: 0,Timestamp,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,distance_to_inter_0,Type_gaze,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID,Type_imu,Data Accelerometer X,Data Accelerometer Y,Data Accelerometer Z,Data Gyroscope X,Data Gyroscope Y,Data Gyroscope Z,Data Magnetometer X,Data Magnetometer Y,Data Magnetometer Z,hazard_1_x,hazard_1_y,gaze_intersects_hazard,combined_gaze_car_x,combined_gaze_car_y,driver_position_x,driver_position_y,yaw_continuous,local_collision_flag,global_collision_flag,time_to_collision_flag
79,79,92.961,-0.0797122,0.0166173,1233.81,-9.20519,0.00835989,-0.361443,0.0983812,17634.7,-5.97311e-05,-0.361368,0.0249629,0.0169424,0.00835989,0.00537119,0.00748701,-0.00246725,63.4835,-0.000300671,-0.0797608,0.0166159,63.4848,0.0983812,0.0651153,0.0534392,0.0,0.157896,0.297,0.0,-1.0,-0.0402766,1.65,0.0204232,1323.29,-1.81717,0.0,1.24744e-17,0.0,2.1580599999999997e-20,10.1474,-0.00183719,10.1474,0.0,0.414781,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,65.73883162496969,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1323.29,-1.81717,False,0.9995697439140822,0.029331332249593,1232.310860748771,-9.707764875440262,0.0983812,False,False,inf
80,80,92.977,-0.0470358,0.0227149,1234.09,-9.20471,0.00849321,-0.3612,0.0992668,17633.8,-8.65201e-05,-0.361126,-0.383801,0.013521,0.00849321,-0.147179,0.00838835,-0.00246582,63.4803,-0.000104484,-0.047043,0.0227146,63.4816,0.0992668,-0.289455,0.0567934,0.0,0.157896,0.315,0.0,-1.0,-0.0401294,1.65,0.02142,1323.25,-1.81751,0.0,1.30104e-17,0.0,2.3568199999999998e-20,10.243,-0.00192699,10.243,0.0,0.431051,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,65.45889603792686,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1323.25,-1.81751,False,0.9995701971584016,0.0293158822605458,1232.5908685170666,-9.70730804702973,0.0992668,False,False,inf
81,81,92.993,-0.0580075,0.0202387,1234.38,-9.20422,0.00864298,-0.360998,0.100206,17632.9,-7.11546e-05,-0.360924,-0.0607388,0.0118778,0.00864298,-0.0459897,0.0106844,-0.00246493,63.4772,2.98057e-05,-0.0579882,0.0202392,63.4785,0.100206,-0.102026,0.0601049,0.0,0.157896,0.315,0.0,-1.0,-0.039986,1.65,0.0224539,1323.2,-1.81786,0.0,1.35614e-17,0.0,2.5677099999999997e-20,10.3392,-0.0020203,10.3392,0.0,0.447857,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,65.1689631960521,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1323.2,-1.81786,False,0.9995706775739298,0.0292994971696583,1232.880876755922,-9.706842620923858,0.100206,False,False,inf
82,82,93.009,-0.0476898,0.017766,1234.66,-9.20372,0.00880953,-0.360834,0.101193,17632.1,-2.93378e-05,-0.36076,-0.21026,0.00884992,0.00880953,-0.0572546,0.0100404,-0.00246368,63.4742,8.77131e-05,-0.0476781,0.0177664,63.4755,0.101193,0.381555,0.0630087,0.0,0.164478,0.315,0.0,-1.0,-0.0398467,1.65,0.0236535,1323.15,-1.81825,0.0,1.4179e-17,0.0,2.83264e-20,10.4374,-0.00212923,10.4374,0.0,0.467046,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,64.88902915037639,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1323.15,-1.81825,False,0.9995711821504688,0.0292822781612744,1233.1608854145225,-9.706368445345513,0.101193,False,False,inf
83,83,93.025,-0.0606899,0.0164566,1234.94,-9.20322,0.00898672,-0.36072,0.10222,17631.3,-5.9921e-05,-0.360646,-0.00959904,0.005747,0.00898672,-0.411108,0.0119954,-0.00246251,63.4713,9.0783e-05,-0.0606998,0.0164565,63.4726,0.10222,-0.0807754,0.0651478,0.0,0.161187,0.306,0.0,-1.0,-0.0397115,1.65,0.0248531,1323.1,-1.81865,0.0,1.47966e-17,0.0,3.09756e-20,10.5357,-0.00223817,10.5357,0.0,0.486236,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,64.60909568016255,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1323.1,-1.81865,False,0.9995717068610084,0.0292643613115123,1233.440894424501,-9.705895316191247,0.10222,False,False,inf
84,84,93.041,-0.0580439,0.0193338,1235.22,-9.20271,0.00919583,-0.360644,0.103277,17630.5,-5.6671e-05,-0.36057,0.0295493,0.00404376,0.00919583,-0.180502,0.0143835,-0.00246197,63.4685,2.40022e-05,-0.058032,0.0193341,63.4697,0.103277,-0.278118,0.0667794,0.0,0.161187,0.306,0.0,-1.0,-0.0395806,1.65,0.0260685,1323.06,-1.81905,0.0,1.54216e-17,0.0,3.37273e-20,10.6335,-0.00234822,10.6335,0.0,0.505583,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,64.3291629952085,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1323.06,-1.81905,False,0.9995722465636616,0.0292459210775476,1233.7209036981758,-9.705412971800538,0.103277,False,False,inf
85,85,93.057,-0.0446797,0.0177367,1235.5,-9.2022,0.00941974,-0.360602,0.104357,17629.7,2.59261e-06,-0.360528,-0.0777878,0.00135814,0.00941974,0.0327047,0.0133488,-0.00246115,63.4658,-8.66217e-05,-0.0446726,0.0177369,63.467,0.104357,0.544565,0.0680457,0.0,0.154605,0.297,0.0,-1.0,-0.0394541,1.65,0.0273674,1323.01,-1.81948,0.0,1.60853e-17,0.0,3.7017e-20,10.7285,-0.00246411,10.7285,0.0,0.525756,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,64.04923090279857,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1323.01,-1.81948,False,0.9995727976587097,0.0292270795793938,1234.00091317417,-9.704931229010802,0.104357,False,False,inf
86,86,93.073,-0.0705165,0.017143,1235.79,-9.20168,0.00961057,-0.360609,0.105452,17629.0,-5.06534e-05,-0.360535,0.0813379,-0.00180357,0.00961057,-0.101604,0.0114614,-0.00246009,63.4631,-0.000206434,-0.0705665,0.0171415,63.4644,0.105452,-0.295422,0.0686618,0.0,0.161187,0.288,0.0,-1.0,-0.0393318,1.65,0.0286663,1322.96,-1.81991,0.0,1.6749e-17,0.0,4.0306699999999997e-20,10.8235,-0.00258,10.8235,0.0,0.54593,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,63.7593017008688,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1322.96,-1.81991,False,0.9995733560452682,0.0292079763831639,1234.2909227823188,-9.704439878499958,0.105452,False,False,inf
87,87,93.089,-0.0466911,0.0206911,1236.07,-9.20116,0.00979238,-0.360655,0.106556,17628.3,-2.94005e-05,-0.360581,-0.0126982,-0.00345451,0.00979238,0.274304,0.0106142,-0.00246005,63.4605,-0.000335815,-0.0466796,0.0206912,63.4618,0.106556,0.603888,0.069294,0.0,0.164478,0.288,0.0,-1.0,-0.039214,1.65,0.0299717,1322.91,-1.82035,0.0,1.74153e-17,0.0,4.3628399999999994e-20,10.9185,-0.00269652,10.9185,0.0,0.566185,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,63.47937104339972,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1322.91,-1.82035,False,0.9995739186517038,0.0291887161635623,1234.570932469993,-9.703948763278468,0.106556,False,False,inf
88,88,93.105,-0.0352602,0.0205762,1236.35,-9.20064,0.00992948,-0.360725,0.107663,17627.6,-1.2427e-05,-0.360651,-0.228442,-0.00556922,0.00992948,0.201604,0.00660034,-0.00245988,63.458,-0.000473702,-0.0352464,0.0205764,63.4593,0.107663,-0.125361,0.0689757,0.0,0.164478,0.27,0.0,-1.0,-0.0391005,1.65,0.0314601,1322.86,-1.82084,0.0,1.81559e-17,0.0,4.78517e-20,11.0137,-0.00283089,11.0137,0.0,0.588766,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,63.199441004566005,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1322.86,-1.82084,False,0.9995744824143328,0.0291694035955262,1234.8509421845513,-9.70345772636079,0.107663,False,False,inf
89,89,93.121,-0.0570886,0.0186739,1236.63,-9.20011,0.0100089,-0.360831,0.108767,17626.9,4.6715e-05,-0.360757,-0.0251279,-0.00754805,0.0100089,-0.156688,0.00341923,-0.00245982,63.4557,-0.000622714,-0.0571347,0.0186721,63.4569,0.108767,-0.101253,0.0686226,0.0,0.167769,0.261,0.0,-1.0,-0.0389914,1.65,0.0329484,1322.81,-1.82133,0.0,1.88964e-17,0.0,5.2075e-20,11.1088,-0.00296526,11.1088,0.0,0.611346,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,62.91951179985501,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1322.81,-1.82133,False,0.999575044277531,0.0291501433542284,1235.1309518733406,-9.70295661076544,0.108767,False,False,inf
90,90,93.137,-0.0375545,0.0187681,1236.91,-9.19957,0.0100638,-0.360969,0.109858,17626.3,2.26055e-05,-0.360895,-0.169553,-0.00948863,0.0100638,0.335931,0.00323669,-0.00245978,63.4533,-0.000770826,-0.0375651,0.0187674,63.4546,0.109858,0.644184,0.067952,0.0,0.164478,0.252,0.0,-1.0,-0.0388871,1.65,0.0344367,1322.76,-1.82183,0.0,1.9637e-17,0.0,5.629829999999999e-20,11.204,-0.00309963,11.204,0.0,0.633927,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,62.63958344070383,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1322.76,-1.82183,False,0.9995755991600008,0.029131109898618,1235.4109614485872,-9.702445154862348,0.109858,False,False,inf
91,91,93.153,-0.0578516,0.0168746,1237.2,-9.19903,0.0101112,-0.361129,0.110934,17625.6,4.46523e-06,-0.361055,0.191664,-0.0103557,0.0101112,-0.130667,0.00266239,-0.00246054,63.4511,-0.000903115,-0.0578459,0.0168739,63.4523,0.110934,0.0700438,0.0668706,0.0,0.144732,0.252,0.0,-1.0,-0.0387879,1.64878,0.0359898,1322.71,-1.82236,0.0,2.04204e-17,0.0,6.13838e-20,11.2961,-0.0032393,11.2961,0.0,0.656775,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,62.34965791967829,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1322.71,-1.82236,False,0.9995761460584862,0.0291123381208693,1235.7009708927176,-9.70193330633204,0.110934,False,False,inf
92,92,93.169,-0.0457884,0.018257,1237.48,-9.19849,0.0101366,-0.361309,0.111996,17625.0,-1.71085e-05,-0.361235,0.10884,-0.0118063,0.0101366,0.0234083,0.000469654,-0.00246109,63.4489,-0.00100802,-0.045788,0.0182563,63.4502,0.111996,-0.208773,0.0656454,0.0,0.164478,0.243,0.0,-1.0,-0.0386937,1.64744,0.0375492,1322.66,-1.8229,0.0,2.1208e-17,0.0,6.6552e-20,11.3879,-0.00337948,11.3879,0.0,0.679649,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,62.06973088680267,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1322.66,-1.8229,False,0.9995766854955132,0.0290938105755141,1235.980980214487,-9.701421091344752,0.111996,False,False,inf
93,93,93.185,-0.0538866,0.0158193,1237.76,-9.19794,0.0101451,-0.361507,0.11304,17624.5,2.30949e-05,-0.361433,0.211076,-0.0128772,0.0101451,-0.535623,0.000646978,-0.00246141,63.4468,-0.00110069,-0.0539024,0.0158179,63.448,0.11304,-0.413972,0.0648679,0.0,0.167769,0.243,0.0,-1.0,-0.0386044,1.64611,0.0391085,1322.61,-1.82344,0.0,2.19956e-17,0.0,7.17201e-20,11.4798,-0.00351965,11.4798,0.0,0.702524,0.0,0.0,1890.67,-8.57446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5303.71,-61.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6015.21,12.8502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,1.0,2.0,61.78980473123061,gaze,0.518542889004873,0.3898297944953872,-11.22314606500645,47.10115708920618,306.9959912460524,-31.09059131335204,-4.657171259409478,-28.254703829264,0.0012290833566156,0.1090107386780882,0.9940398121840796,5.503597736358643,29.61397783552474,-3.45139840912239,-29.65651583000491,-0.0625345514478359,0.1911310568359762,0.9795704920974198,5.151020050048828,-0.73830673891365,-4.054284834265934,-28.95560982963445,-0.0306527340456101,0.1500708977570322,0.9868051521407496,5.327308893203735,3.3018835597920355,True,0.0,imu,-0.708811068,-9.711010708000002,2.718604476,2.06373463,4.126744309999999,-4.00481188,-92.9822532,160.5917892,117.8544272,1322.61,-1.82344,False,0.9995772154548058,0.0290755970466086,1236.2609893787628,-9.700898405256623,0.11304,False,False,inf
