Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID
gaze,58.280385,0.5553264772682719,0.5810558718467254,-27.25375739871807,-17.35400127986496,235.7631583761535,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,,,,,,,,-36.27823901941211,-17.14820337784534,-31.82816261425895,0.0337056942821712,-0.0007686381845445,0.999431506091487,4.973133087158203,1.3025166903200087,True,0.0
gaze,58.300365,0.5559591030376917,0.5813572952770615,-27.56435613041106,-17.4329260800541,235.7279936321038,-36.29528176027633,-17.12873971990183,-31.87297254514441,0.0326092868764666,-0.0011361109580619,0.9994675300685358,4.979832649230957,,,,,,,,-36.28676038984422,-17.138471548873586,-31.850567579701682,0.033157490579318896,-0.0009523745713032,0.9994495180800114,4.97648286819458,1.3025166903200087,True,0.0
gaze,58.320457,0.5562624937356033,0.5802881541045097,-27.71116202695803,-17.13297963037082,235.7064663268219,-36.30290542355826,-17.11117921438995,-31.89917666457975,0.0320894527185484,-8.14227550300778e-05,0.9994849975835352,4.988433361053467,,,,,,,,-36.2921420677489,-17.129374104045706,-31.86677060799437,0.03280147795906207,-0.0006620572992121592,0.999461344581186,4.980466365814209,1.132291207032161,True,0.0
gaze,58.340438,0.5565745386457349,0.5803345553055547,-27.86495719079952,-17.14396153745744,235.6956286613232,-36.30786161369355,-17.10218515907686,-31.91474914628861,0.0315335514318186,-0.0001560313264623,0.9995026817314308,4.99554443359375,,,,,,,,-36.29607195423506,-17.122576867803495,-31.87876524256793,0.0324844963272512,-0.0005355508060246945,0.9994716788687472,4.984235882759094,0.6136015671693167,True,0.0
gaze,58.36053,0.5563610575669655,0.5810855021167652,-27.75806753176228,-17.35238324662203,235.6802514900276,-36.30868449228453,-17.09798655788915,-31.92658871143637,0.0319358488729623,-0.0009501506432418,0.9994894690643412,4.998565196990967,,,,,,,,-36.29859446184496,-17.11765880582063,-31.88832993634162,0.03237476683639342,-0.0006184707734681156,0.9994752369078659,4.987101745605469,253.40748968380979,False,-1.0
gaze,58.38051,0.2800306833057139,0.1715105657364574,179.5262408046236,143.1671190532491,126.0982935344558,,,,,,,,24.12555212906129,-16.68547744920204,-22.17298501023805,0.5804087507615249,0.5970362591872088,0.5537809921396637,4.186609268188477,-24.21783623215028,-17.025113620091968,-29.95729441553744,0.14171537813226415,0.11894250870088255,0.9103451341175013,4.829796981811524,322.5490491977115,False,-1.0
gaze,58.400602,,,,,,,,,,,,,,,,,,,,-21.198474850118764,-16.999207095139504,-29.478374883135697,0.16899190094621355,0.14896216361561865,0.8880645351297427,4.792288064956665,333.7117103809785,False,-1.0
gaze,58.420582,0.1216280384302321,0.0559525983884927,152.4718560624845,102.2586525586922,180.1702039913342,,,,,,,,23.03863369041201,-15.82411816365009,-22.28991281098572,0.4834224065818248,0.4410294061469756,0.7561718321441779,4.365028858184814,-6.3630900716261936,-16.677441832454534,-27.07605891973719,0.28182513941203263,0.2592398708411201,0.8272362437699035,4.636436939239502,501.838043284354,False,-1.0
gaze,58.440674,0.1244326457247023,0.1706408498010702,156.8042001013088,79.4008226736411,189.043729345626,,,,,,,,22.91505286429026,-15.63050545108001,-22.44939493430945,0.5000649183132239,0.3549341699201345,0.7899093697985192,4.500241279602051,8.442638547869759,-16.309521905455323,-24.709720366742395,0.3989579811323839,0.3480124211527693,0.7748379157866755,4.512611150741577,349.2660426334205,False,-1.0
gaze,58.460655,0.5645493242804756,0.574889905916537,-31.78840556172159,-15.58455357334131,235.4468858946609,-36.4030827568068,-16.96540360764115,-32.25331339226644,0.0172354385864977,0.0051573609501192,0.9998381575458908,5.080035209655762,22.97459310341539,-15.60452907922379,-22.55004252041111,0.5291646582359516,0.3144090453837107,0.7881191005520245,4.52190637588501,15.841248464266963,-16.106266851841152,-23.578492677968,0.4592740310169495,0.38819575960530844,0.7484602057828296,4.463212549686432,64.09548234102212,False,-1.0
