ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,Unnamed: 86,distance_to_inter_0,distance_to_inter_1,distance_to_inter_2
348.733,-0.0101718,-0.0178558,4424.89,-9.04242,-0.00906813,-0.400201,-0.25556,17268.3,-5.71206e-05,-0.400122,-0.684301,0.121196,-0.00906813,-0.492572,-0.000814247,-0.00264669,62.1643,0.000155942,-0.0101531,-0.0178562,62.1658,-0.25556,-0.14156,-0.0549663,0.0,0.180933,-0.27,-6,-1.0,0.0601568,0.0533133,1.0417e-05,1310.69,78.9947,0,0,0,0,65.6282,-8.92574e-07,65.6282,0,3.27355e-05,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.46513,999.0,0.0,,3125.354341755843,2526.2481830057986,77.52418615178325
348.749,-0.0146767,-0.0179712,4425.16,-9.04365,-0.00908239,-0.398345,-0.256457,17268.0,-1.76549e-05,-0.398266,-0.677079,0.11171,-0.00908239,0.68037,-9.61531e-05,-0.00263808,62.1634,8.75252e-05,-0.0146764,-0.0179711,62.1649,-0.256457,0.139675,-0.056861,0.0,0.184224,-0.27,0,-1.0,0.0589478,0.0528661,5.48552e-05,1310.69,79.298,0,0,0,0,65.6313,-4.70024e-06,65.6313,0,0.000172383,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.46513,999.0,0.0,,3125.6243411513997,2526.5181825184086,77.25419683501029
348.765,-0.0258106,-0.0175219,4425.44,-9.04489,-0.0091055,-0.39663,-0.257378,17267.8,-6.64046e-05,-0.396551,-0.370976,0.103518,-0.0091055,0.339293,-0.00244983,-0.00263065,62.1625,1.6659e-05,-0.0257934,-0.0175223,62.164,-0.257378,0.267883,-0.0585037,0.0,0.184224,-0.288,0,-1.0,0.0577348,0.0524189,9.92934e-05,1310.7,79.6014,0,0,0,0,65.6345,-8.50791e-06,65.6345,0,0.000312031,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,3.46513,999.0,0.0,,3125.904340541788,2526.7981820272053,76.97420853306745
348.781,-0.0166474,-0.0208472,4425.71,-9.04613,-0.00917598,-0.395034,-0.25833,17267.5,-7.98206e-05,-0.394955,-0.42425,0.0959304,-0.00917598,-0.682982,-0.0062325,-0.00262356,62.1617,-3.75936e-05,-0.0166504,-0.0208471,62.1632,-0.25833,-0.0641151,-0.0601741,0.0,0.184224,-0.297,0,-1.0,0.0565175,0.0519817,0.000124057,1310.7,79.8996,0,0,0,0,65.6375,-1.06298e-05,65.6375,0,0.000389851,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,4.0,0.0,,3126.1743399338648,2527.0681815374387,76.70421926489368
348.797,-0.0261472,-0.018424,4425.99,-9.04738,-0.00929439,-0.393556,-0.259312,17267.3,-3.65309e-05,-0.393477,-0.251641,0.089316,-0.00929439,-0.00538662,-0.00804988,-0.00261717,62.1609,-6.79336e-05,-0.0261333,-0.0184244,62.1623,-0.259312,-0.422216,-0.0624051,0.0,0.184224,-0.306,0,-1.0,0.0552957,0.0515782,8.29379e-05,1310.7,80.1806,0,0,0,0,65.6403,-7.10651e-06,65.6403,0,0.000260634,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,4.0,0.0,,3126.454339320794,2527.348181043883,76.4242310227877
348.813,-0.0208631,-0.0191082,4426.27,-9.04863,-0.00941163,-0.39218,-0.260326,17267.1,-5.6703e-05,-0.392101,-0.387072,0.083267,-0.00941163,-0.468324,-0.00713859,-0.00261104,62.16,-9.01148e-05,-0.0208675,-0.0191081,62.1614,-0.260326,-0.217355,-0.0640298,0.0,0.184224,-0.306,0,-1.0,0.0540699,0.0511747,4.18187e-05,1310.7,80.4615,0,0,0,0,65.6431,-3.58322e-06,65.6431,0,0.000131416,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,4.0,0.0,,3126.7343387083333,2527.6281805510557,76.14424288767225
348.829,-0.0306443,-0.0193572,4426.54,-9.04989,-0.00954179,-0.390897,-0.261367,17266.8,1.55528e-05,-0.390819,-0.240308,0.0772737,-0.00954179,0.0884356,-0.00817032,-0.0026051,62.1591,-9.34567e-05,-0.0306746,-0.0193566,62.1605,-0.261367,-0.529317,-0.0660273,0.0,0.187515,-0.315,0,-1.0,0.0528397,0.0507712,6.99427e-07,1310.7,80.7424,0,0,0,0,65.6459,-5.99371e-08,65.6459,0,2.19796e-06,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,4.0,0.0,,3127.0043380929123,2527.898180055892,75.87425362527198
348.845,-0.0120504,-0.0237589,4426.82,-9.05116,-0.00969176,-0.389704,-0.262436,17266.5,-7.3102e-05,-0.389626,-0.196325,0.0723555,-0.00969176,-0.14594,-0.00936582,-0.00259962,62.1581,-8.28778e-05,-0.0120124,-0.0237598,62.1596,-0.262436,0.180202,-0.0675066,0.0,0.187515,-0.315,0,-1.0,0.0516051,0.0503457,0.0,1310.7,81.046,0,0,0,0,65.6489,-3.79034e-12,65.6489,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,4.0,0.0,,3127.28433747238,2528.1781795569837,75.59426540595283
348.861,-0.0297623,-0.0180321,4427.1,-9.05243,-0.00983685,-0.388582,-0.263529,17266.3,-4.68675e-05,-0.388504,-0.0208645,0.0685459,-0.00983685,0.0210725,-0.0096694,-0.00259464,62.1571,-4.62766e-05,-0.029742,-0.0180327,62.1586,-0.263529,-0.0371878,-0.0689069,0.0,0.187515,-0.315,0,-1.0,0.0503662,0.0499198,0.0,1310.71,81.35,0,0,0,0,65.6519,-5.58014e-13,65.6519,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,4.0,0.0,,3127.5643368524757,2528.458179058825,75.31427729564187
348.877,-0.0225759,-0.0198397,4427.37,-9.0537,-0.00996972,-0.387518,-0.264644,17266.0,-2.0423e-05,-0.38744,-0.251438,0.0650514,-0.00996972,-0.2474,-0.00652097,-0.00258956,62.1561,2.4554e-06,-0.0225798,-0.0198396,62.1575,-0.264644,-0.105839,-0.0699724,0.0,0.187515,-0.306,0,-1.0,0.0491227,0.0494939,0.0,1310.71,81.654,0,0,0,0,65.6549,2.67431e-12,65.6549,0,0.0,0,0,1890.67,-8.57446,0,0,0,0,0,0,0,0,0,0.0,0,5303.71,-61.7625,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6015.21,12.8502,0,0,0,0,0,0,0,0,0,999.0,4.0,0.0,,3127.834336234272,2528.728178562119,75.04428819097433
