Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_0,distance_to_inter_1
224.175,-0.0512849,-0.0378972,4575.34,6.91484,-0.0134594,-0.369264,-179.911,19832.0,-7.82e-05,-0.369189,-0.502329,0.0625598,-0.0134594,0.249888,-0.0586254,-0.00248803,71.3937,0.000679437,-0.0512602,-0.0378977,71.3952,-179.911,-0.0507785,-0.140766,0.0,0.187515,-0.594,0,-1.0,0.406889,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.354813,0.345006,5712.39,-124.286,0,1.2e-06,0,6.01e-09,51.5257,-0.0310516,51.5257,0,1.38111,0.978924,2.89e-07,4476.3,27.6343,0,4.41e-21,0,-1.46e-14,0.176207,-2.72e-08,0.176207,0,0.000284634,999.0,999.0,999.0,701.2900196845421,99.3332674220758
224.191,-0.0720967,-0.0411299,4575.03,6.91435,-0.0143885,-0.368318,-179.914,19831.0,-6.68e-05,-0.368244,-0.274464,0.0559415,-0.0143885,-0.260351,-0.0575483,-0.00248381,71.3902,0.00128025,-0.0721267,-0.0411276,71.3917,-179.914,-0.828335,-0.144604,0.0,0.190806,-0.594,0,-1.0,0.407434,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.351986,0.345238,5712.4,-124.51,0,1.09e-06,0,5.61e-09,51.5454,-0.0310723,51.5454,0,1.38151,1.20003,5.51e-07,4476.3,27.6328,0,4.6900000000000004e-21,0,-1.47e-14,0.248465,-5.5e-08,0.248465,0,0.000402751,999.0,999.0,999.0,701.6000197920629,99.02327784274992
224.207,-0.0662806,-0.0439299,4574.71,6.91387,-0.0152767,-0.367479,-179.916,19830.1,-9.74e-05,-0.367405,-0.22014,0.0497429,-0.0152767,-0.422378,-0.0545932,-0.00248005,71.3868,0.00186329,-0.0662741,-0.0439285,71.3883,-179.916,-0.273712,-0.14743,0.0,0.194097,-0.594,0,-1.0,0.40797,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.34925,0.345462,5712.41,-124.731,0,9.85e-07,0,5.26e-09,51.5645,-0.0310925,51.5645,0,1.38189,1.27168,9.64e-07,4476.3,27.6309,0,3.59e-21,0,-9.32e-15,0.325833,-9.98e-08,0.325833,0,0.000530501,999.0,4.0,999.0,701.9200198971654,98.70328849504915
224.224,-0.0290048,-0.0428202,4574.38,6.91339,-0.0161693,-0.366718,-179.918,19829.2,-8.08e-05,-0.366644,-0.840816,0.0429837,-0.0161693,0.0376131,-0.0543089,-0.00247647,71.3836,0.00244567,-0.0290021,-0.0428194,71.385,-179.918,-0.194155,-0.150097,0.0,0.203971,-0.594,0,-1.0,0.408497,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.346514,0.345685,5712.42,-124.951,0,8.84e-07,0,4.9e-09,51.5836,-0.0311128,51.5836,0,1.38227,1.34332,1.38e-06,4476.3,27.6289,0,2.5000000000000002e-21,0,-3.98e-15,0.403202,-1.45e-07,0.403202,0,0.00065825,999.0,4.0,999.0,702.2500200022155,98.37329945270778
224.239,-0.0232844,-0.0452667,4574.08,6.91295,-0.0169971,-0.366102,-179.921,19828.4,-7.12e-05,-0.366028,-0.696814,0.0372973,-0.0169971,0.032749,-0.0526987,-0.00247371,71.3807,0.00296626,-0.0232678,-0.0452666,71.3821,-179.921,-0.0691421,-0.152126,0.0,0.207262,-0.594,0,-1.0,0.409014,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.343768,0.345908,5712.43,-125.173,0,7.87e-07,0,4.55e-09,51.6027,-0.0311349,51.6027,0,1.38265,1.40056,1.89e-06,4476.3,27.6266,0,1.8700000000000002e-21,0,-5.74e-19,0.48204,-1.96e-07,0.48204,0,0.000789498,999.0,4.0,999.0,702.5500200987847,98.07330950519862
224.255,-0.0422526,-0.0459777,4573.76,6.9125,-0.0178271,-0.365556,-179.923,19827.6,-6.17e-05,-0.365482,-0.373979,0.0312513,-0.0178271,-0.360706,-0.0517002,-0.00247102,71.3779,0.0034689,-0.042237,-0.0459766,71.3793,-179.923,-0.0509906,-0.153725,0.0,0.207262,-0.594,0,-1.0,0.409521,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.340996,0.346133,5712.44,-125.403,0,7.03e-07,0,4.22e-09,51.6221,-0.0311627,51.6221,0,1.38303,1.41546,2.69e-06,4476.3,27.6234,0,2.61e-21,0,-8.39e-19,0.565198,-2.66e-07,0.565198,0,0.000931027,999.0,4.0,999.0,702.870020197369,97.75332016484167
224.271,-0.0384673,-0.0429969,4573.44,6.91207,-0.0186351,-0.365105,-179.926,19826.9,-3.08e-05,-0.365031,-0.504537,0.0255803,-0.0186351,0.644992,-0.0493875,-0.00246865,71.3753,0.00394743,-0.0384722,-0.0429947,71.3768,-179.926,0.440028,-0.155224,0.0,0.213844,-0.594,0,-1.0,0.410017,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.338223,0.346357,5712.45,-125.632,0,6.18e-07,0,3.9e-09,51.6414,-0.0311904,51.6414,0,1.38341,1.43036,3.48e-06,4476.3,27.6202,0,3.3400000000000004e-21,0,-1.1e-18,0.648356,-3.36e-07,0.648356,0,0.00107256,999.0,4.0,999.0,703.1900202913474,97.43333075824114
224.287,-0.0369007,-0.0477623,4573.12,6.91165,-0.0194177,-0.364746,-179.928,19826.2,-4.84e-05,-0.364672,-0.35326,0.019926,-0.0194177,0.244399,-0.0481581,-0.00246676,71.373,0.00437961,-0.0368869,-0.0477609,71.3744,-179.928,0.0377935,-0.156597,0.0,0.217135,-0.594,0,-1.0,0.410503,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.335445,0.346582,5712.46,-125.863,0,5.36e-07,0,3.58e-09,51.6608,-0.031215,51.6608,0,1.38379,1.44376,4.34e-06,4476.3,27.6168,0,4.100000000000001e-21,0,-1.41e-18,0.732016,-4.09e-07,0.732016,0,0.00121598,999.0,4.0,999.0,703.510020383095,97.11334135391736
224.303,-0.0445912,-0.0457797,4572.81,6.91124,-0.0201812,-0.364466,-179.931,19825.7,-5.56e-05,-0.364392,-0.363921,0.0151532,-0.0201812,0.134228,-0.048479,-0.00246564,71.3709,0.00478904,-0.0446402,-0.0457742,71.3724,-179.931,-0.226557,-0.15769,0.0,0.213844,-0.594,0,-1.0,0.410977,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.332626,0.34681,5712.47,-126.102,0,4.67e-07,0,3.29e-09,51.6804,-0.0312175,51.6804,0,1.38417,1.44686,5.59e-06,4476.3,27.6123,0,5.050000000000001e-21,0,-2.01e-18,0.819135,-5.08e-07,0.819135,0,0.00137243,999.0,4.0,999.0,703.8200204728886,96.80335170880022
224.319,-0.028265,-0.0477654,4572.49,6.91084,-0.0209482,-0.364273,-179.933,19825.1,-4.1e-05,-0.364198,-0.361764,0.00931635,-0.0209482,-0.0192834,-0.0464746,-0.00246435,71.369,0.0051671,-0.0282516,-0.0477643,71.3704,-179.933,-0.185227,-0.158277,0.0,0.217135,-0.594,0,-1.0,0.41144,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.329808,0.347039,5712.48,-126.341,0,3.97e-07,0,2.99e-09,51.7001,-0.03122,51.7001,0,1.38456,1.44996,6.84e-06,4476.31,27.6078,0,6.0000000000000006e-21,0,-2.62e-18,0.906254,-6.06e-07,0.906254,0,0.00152888,999.0,4.0,999.0,704.1400205601341,96.48336230680165
