Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID
gaze,329.008558,0.5043939296480319,0.4076439577539695,-10.24168052197169,202.8923434255566,1540.580962418811,35.48906067795774,-10.07130166346695,-24.6690896170311,-0.0276618649280792,0.1299906143419597,0.991129285921721,4.016438961029053,-35.31187829868779,-12.07958092892907,-21.15637257904697,0.0146221270725089,0.1411287543222775,0.9898832598358848,4.070133686065674,0.08859118963497536,-11.075441296198012,-22.912731098039036,-0.006519868927785151,0.1355596843321186,0.9905062728788029,4.043286323547363,0.33079713319435655,True,0.0
gaze,329.028542,0.5043606597722478,0.4078591011187879,-10.17785155180346,203.3249748693813,1546.911417895045,35.48724251866677,-10.07348529949146,-24.6668480924386,-0.0275307095725827,0.129785158951731,0.991159862255481,4.010970592498779,-35.31228996462703,-12.08270083608855,-21.15598800802981,0.0146247673470102,0.1408008045853117,0.989929921564236,4.064426422119141,0.08803373332742304,-11.076767181994008,-22.912074574136618,-0.0064864200202857,0.13542633305031998,0.9905255823943306,4.040492415428162,0.33079713319435655,True,0.0
gaze,329.04863,0.504320337664378,0.4079818372848881,-10.00389037881719,202.2175754310618,1540.224334900461,35.48589498406088,-10.07580824184569,-24.66492870369803,-0.0275591983410074,0.1296833238281128,0.991172399791123,4.007058143615723,-35.31209172513627,-12.08529384575383,-21.15533577579746,0.0148192172234826,0.1406639496108596,0.9899464854631066,4.061098575592041,0.08765636537238326,-11.078028469262591,-22.91142712934033,-0.006447610199777933,0.13534210094004204,0.9905368691385922,4.038354396820068,0.27286212910345475,True,0.0
gaze,329.068615,0.5042778250145442,0.4081607196022299,-9.821432757233048,200.9396676887573,1533.011364497215,35.48525087439175,-10.07885880014695,-24.66308116109796,-0.0275886076760847,0.1295101756594342,0.9911942206889414,4.004721641540527,-35.31207144877677,-12.08851588799103,-21.15431439893703,0.0150221627124836,0.1404736855118931,0.9899704431477464,4.057217121124268,0.08738970223116027,-11.079443187964191,-22.91074479200962,-0.006406513270283588,0.13525455835144745,0.99054823483353,4.036508142948151,0.2865492520522508,True,0.0
gaze,329.088702,0.5042629733920894,0.4083440148206086,-9.81160888784388,201.3333338461024,1538.604407179817,35.48505293012935,-10.08117994229347,-24.66130194500637,-0.0275658060918629,0.1294632553201291,0.9912009845921368,4.001448154449463,-35.31297869348566,-12.09299246888106,-21.15305358646117,0.0150571041458325,0.1400658867586651,0.9900276920274758,4.053669452667236,0.08711918544929702,-11.080971791488807,-22.91003138675445,-0.006376080810829909,0.13515656088903738,0.9905614555287853,4.03471827507019,0.4824112736517925,True,0.0
gaze,329.108686,0.5042882036211283,0.4086320339045037,-9.934875415949392,201.5384096802009,1544.251422097258,35.48416412601027,-10.0842227162627,-24.65934407180523,-0.0276367121754831,0.1293244457797058,0.9912171305339218,3.999175786972046,-35.31448092930353,-12.09842155921831,-21.15180737244708,0.015018228078228,0.1395108064147299,0.9901066547190268,4.050364017486572,0.08636926719297619,-11.084147959797306,-22.908600311571874,-0.006333955434998389,0.13492814924205723,0.9905925794783196,4.03101499080658,0.7191880479826558,True,0.0
gaze,329.128775,0.5043582762783889,0.4090527162969351,-10.14254907843107,200.1932035975106,1539.894007175517,35.48230212019895,-10.08916105930163,-24.65727638541422,-0.0278579971158027,0.1288695392888389,0.9912701820594516,3.99065113067627,-35.31587276488662,-12.10394096033156,-21.15103134699339,0.0149426086352701,0.1390331139487127,0.9901749904299229,4.049890518188477,0.08551694732023521,-11.087839548202624,-22.907147474765797,-0.0063349000604944,0.1346598182121081,0.9906281183452853,4.027529454231262,0.8975821065722451,True,0.0
gaze,329.148759,0.5044583414664411,0.4095264967101861,-10.45979966717488,198.9895188546809,1537.34573581622,35.48013341232062,-10.09498505774655,-24.65492104565363,-0.0280921898354725,0.1283004067294828,0.991337396905462,3.979730844497681,-35.31755670623065,-12.10949582597368,-21.15043084783188,0.0147545602185859,0.1385375670573802,0.99024726481146,4.049481391906738,0.08439429203677165,-11.092177427814693,-22.905656216164793,-0.006394664910430581,0.13430888824689718,0.9906746959915547,4.023635005950927,1.1498339191926734,True,0.0
gaze,329.168847,0.5046044332761233,0.4100132036823378,-10.8993353578488,197.2816746433822,1531.036291760187,35.47692226722529,-10.09985411557389,-24.653086053021,-0.0285204450340687,0.1278180234094578,0.9913874808099798,3.969391822814941,-35.31927723161342,-12.11471105955395,-21.1498960174634,0.0145709334486184,0.1379501973572878,0.9903319801700446,4.049074172973633,0.08284085303646052,-11.096896476513681,-22.90421486720974,-0.0065329715726155,0.133887324206439,0.9907301757058882,4.019287729263306,1.3665561543592202,True,0.0
gaze,329.188831,0.5046592768555004,0.4104876863407464,-10.99122481738533,194.7494494861099,1518.089419822388,35.47456861557052,-10.10577936725418,-24.65117846083065,-0.0287317201861267,0.1270904939501002,0.9914749087105864,3.959621906280518,-35.32027256741054,-12.11796356573987,-21.15014717885074,0.0145484172535699,0.1376775803156824,0.9903702476517734,4.052568912506104,0.0810630341880895,-11.101853528695631,-22.902911878031126,-0.00670043167126814,0.13341121742513784,0.9907918236801629,4.014995050430298,1.4719841395440985,True,0.0
