Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter
gaze,406.673812,0.4650003446807283,0.4786696939778832,243.660095003614,147.6767442852003,3210.262620382236,30.81452381202266,-11.66516597043872,-26.979838561397,0.07295424939503574,0.04531910193176805,0.9963051021124529,3.613464593887329,-28.75419329084343,-9.827148356542132,-25.29961142763574,0.07638387880253011,0.05218789377067473,0.9957117689386128,3.612061500549316
gaze,406.693795,0.4651365019526642,0.478827083192939,228.1709867140788,138.2626643346203,3017.736746406831,30.81051749426985,-11.66624585150593,-26.97656041212358,0.07226262777386673,0.04492605309839319,0.9963733047308203,3.610557317733765,-28.75867747784407,-9.823048661565924,-25.29808871102044,0.07639064540659518,0.05258842983566134,0.9956901758789144,3.612101078033447
gaze,406.713884,0.4652090585211448,0.4785747458695763,232.840083678032,142.3029367167721,3085.593938954037,30.80873317037778,-11.66566493328273,-26.97427702920998,0.071818753552382,0.04500891146367429,0.9964016582317782,3.608299732208252,-28.76069953369704,-9.819702766993245,-25.29681237632895,0.07658247614172278,0.05296395168051873,0.9956555348966762,3.615370035171509
gaze,406.733867,0.4652938793119029,0.4783052750634502,232.8490558404454,143.6370648662335,3092.896790681207,30.80679359551457,-11.66518639405696,-26.97253411217707,0.0712628330517374,0.045128995922528,0.9964361406294258,3.60508131980896,-28.76163065887133,-9.81606064899841,-25.29594069053084,0.07679666864897172,0.05346469446023334,0.995612272991195,3.617534399032593
gaze,406.753957,0.4655578870071918,0.4783232446763065,226.4341454925965,140.6746544807695,3030.174501366107,30.80499878538796,-11.66533639220959,-26.9713615551955,0.07072262498063027,0.04513041596073857,0.9964745635845703,3.601528406143188,-28.76584630660847,-9.81454498373701,-25.2948906500798,0.07620215683250542,0.05355930199371147,0.9956528674513125,3.613364458084106
gaze,406.77394,0.4656415769920921,0.4784956053615109,223.4524109536802,138.5464178383571,2997.478290988597,30.8038024545126,-11.66664724360667,-26.97057025474173,0.0703762639439005,0.04485830634829181,0.9965113716485434,3.599740982055664,-28.76709425148879,-9.813936614817903,-25.29421050477468,0.07617657511342271,0.05349865599221676,0.9956580854947222,3.612275838851929
gaze,406.794029,0.4660306588132813,0.478807573488761,233.5517094302841,145.2809012200711,3168.128176561023,30.79641044477117,-11.66708734249636,-26.96877598227982,0.06939316059197947,0.04441683020847295,0.9966000875262292,3.599576234817505,-28.7743585235001,-9.814373305234712,-25.2930561353125,0.07564515446501754,0.05289395685203015,0.9957309073913992,3.609838485717773
gaze,406.814012,0.4664778970501808,0.4789103636043771,248.9373948622938,156.4782631482517,3420.798492897618,30.78849404915088,-11.66682710584365,-26.96761981401184,0.06817524447910295,0.04424641911982138,0.9966917228688558,3.600950956344604,-28.78108204797423,-9.815010805857655,-25.29177631655816,0.07513952726638991,0.05241114774267628,0.9957947193244595,3.607708930969238
gaze,406.834102,0.4669072162487146,0.4791347704051618,280.9378073544722,177.8204657659095,3909.494803471149,30.7808765398969,-11.66619437245128,-26.96739082208505,0.06713086036211553,0.04409335213532652,0.9967693935331845,3.601172685623169,-28.78745500492767,-9.818477740019048,-25.29108169599427,0.07460465218442658,0.05137619279441751,0.9958888656302929,3.605639457702637
gaze,406.854085,0.4672397899162575,0.4792487148162436,295.2662673878715,188.2050216667803,4149.600462693226,30.7729928726643,-11.66462335240231,-26.96803618947896,0.06616800900540529,0.04407611577395102,0.9968345352176269,3.602374315261841,-28.79233208719019,-9.819402393014931,-25.29137553243578,0.07426631706544075,0.05086498326161385,0.9959403936116515,3.605611801147461
