Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter
gaze,255.732874,0.4669063856945856,0.3179649510654724,22.36897402661945,72.00393841118483,300.4597344004475,32.99339684660757,-7.611375053073656,-29.69908084278563,0.07329083276412542,0.2308527517362763,0.9702244383896595,4.59455680847168,-31.56028389411531,-7.769760918508786,-29.05482788931337,0.05406288602496954,0.2378889826730174,0.9697865931623556,4.701774597167969
gaze,255.752962,0.4672992945101105,0.3173784925991237,22.116661985491,72.21249513282318,300.4238454753189,32.98776834549588,-7.605847697996076,-29.69423566777992,0.07277433053694392,0.2315278124859647,0.9701024527648427,4.591204166412354,-31.57085127690521,-7.764234879229545,-29.06391323001142,0.05314298635205621,0.2384080901302121,0.9697099595044129,4.669480323791504
gaze,255.772946,0.4671234548950733,0.3181671616512518,22.23045375553801,71.93757683671261,300.4879582367341,32.98828221204831,-7.611003376855272,-29.68976396375977,0.07293942927161894,0.2316745448498242,0.9700550215973098,4.586543560028076,-31.57080846255635,-7.770020524218657,-29.05882534217158,0.0536455431970858,0.2366765389740523,0.9701063712780952,4.671182632446289
gaze,255.793034,0.4662778757710767,0.3194881908920865,22.77410801588032,71.46951465199595,300.5758291472513,32.98870637141155,-7.616607538506631,-29.68095828818631,0.07353931181442788,0.2301583816508524,0.9703705936258172,4.571532726287842,-31.56624388932745,-7.769772943701073,-29.05049002182687,0.05622861816033668,0.2354554387960068,0.9702572230296247,4.67525053024292
gaze,255.813019,0.4656087830597059,0.3203638805393139,23.20424276287259,71.1579796776227,300.6313766325564,32.98656652900817,-7.614639397520993,-29.67697721733206,0.07357181562816958,0.2300251371545223,0.9703997239396855,4.561608791351318,-31.56201910901909,-7.777753166707983,-29.04134189008827,0.05871992016111512,0.2337739987691722,0.9705161969157153,4.669948101043701
gaze,255.833107,0.465583946665812,0.3203018683702523,23.22020422149943,71.1795854956776,300.6270262546188,32.98216622207919,-7.611264279338278,-29.67433848589241,0.07302428975960146,0.2303171866311922,0.9703718084566341,4.557425022125244,-31.56454579144729,-7.779052741513699,-29.043504236718,0.05938169840057886,0.2336029250305184,0.9705171236574082,4.642831325531006
gaze,255.853092,0.4654857650057829,0.3191764388955095,23.28157261030204,71.56878356303704,300.5287549206315,32.97816351278757,-7.607706893811662,-29.67386656992171,0.07239624044822199,0.2307121650844486,0.9703250389694215,4.559020042419434,-31.56113783308033,-7.77123614296579,-29.05088419716539,0.06037244921551283,0.2354636559697794,0.9700062031209211,4.642399787902832
gaze,255.873179,0.4655958640679742,0.3192053978274593,23.21125173617585,71.56067011891105,300.5370170449401,32.97223811643565,-7.604760416595521,-29.67166687792804,0.07162359938022218,0.230651544029606,0.9703967875300187,4.552868843078613,-31.56043737977404,-7.77145971509597,-29.0526046233383,0.06074684760023039,0.2354685482209847,0.969981640705295,4.631443500518799
gaze,255.893164,0.465964722316967,0.3194691226616349,22.97563694822777,71.47497708856832,300.5759271124782,32.96619496644401,-7.60773546077091,-29.66449347900722,0.07084039657463045,0.2298696449577394,0.9706397810414283,4.541959762573242,-31.56052895965816,-7.770293851449947,-29.0535824683216,0.06016226876914023,0.2357517444053264,0.9699492854919763,4.632337093353271
gaze,255.913252,0.465825562916402,0.3191112924000851,23.06465751774397,71.59837040457995,300.5455168156598,32.96283290513303,-7.611897975446473,-29.65383261508985,0.07104167227004245,0.2307377801076178,0.9704190628960689,4.530484676361084,-31.5585849780405,-7.769142890623342,-29.05413842794696,0.0604887585951194,0.2356182322564035,0.969961421249314,4.628774642944336
gaze,255.933237,0.4656137471508669,0.3192226178188682,23.20079505355504,71.55793683054306,300.5517059979965,32.96147005890889,-7.617303265305672,-29.64361579810435,0.07153081529284186,0.2315279490316877,0.9701949037594053,4.519887924194336,-31.55782433018841,-7.77197244750365,-29.0518187013712,0.06080211106793676,0.2346144614641446,0.9701851152030585,4.618148803710938
gaze,255.953325,0.4652472971581768,0.3196322658658206,23.43629406715055,71.41165470575221,300.5764044744954,32.9611675221088,-7.625246137540715,-29.63390595488331,0.07205233310698683,0.2315650852234215,0.9701474488959446,4.509292125701904,-31.55458596459856,-7.774190439920282,-29.04885660927329,0.06165710147631057,0.233746814748914,0.9703405734237216,4.605192184448242
gaze,255.973309,0.4652109219422558,0.3198288510956986,23.46010905830143,71.34370031861806,300.59481921796,32.96018921353765,-7.630992660879531,-29.62589409983035,0.07232077873002478,0.2317844292186656,0.9700750915963468,4.499983310699463,-31.55500712218285,-7.77426175486107,-29.04735402760596,0.06153284489305709,0.2331448907382889,0.9704932606267798,4.595088481903076
gaze,255.993397,0.4651409228581862,0.3199975261243109,23.50539315617891,71.28488340067905,300.6092988346815,32.95844336898776,-7.635992119062052,-29.61742838090256,0.07239871296842595,0.2323525916906046,0.9699333479652994,4.490583419799805,-31.55386087434124,-7.776089961788825,-29.04744030004133,0.06172302291918655,0.2322508621620401,0.9706955266543196,4.582517623901367
gaze,256.013381,0.465477120555985,0.3206594988762366,23.29078445655622,71.05912226348116,300.674912327858,32.95887521982866,-7.627425209320533,-29.62538800145206,0.07139849056501775,0.2311653743622648,0.9702911033504281,4.488504886627197,-31.55422422436922,-7.774490792312351,-29.0494311880639,0.06146077299891639,0.2320803158915221,0.9707529553692161,4.574206352233887
gaze,256.033469,0.4652418840599397,0.3201624888936812,23.44110540228883,71.2294417579707,300.6287136915017,32.9586862274947,-7.63841559194144,-29.61141145907387,0.07217897857728202,0.2321516351764112,0.9699978419236092,4.477293491363525,-31.55238774703882,-7.771930165486348,-29.05067981533198,0.06155958748191276,0.2321206194934874,0.9707370577015263,4.567977428436279
gaze,256.053454,0.4659857185958753,0.3220982820208332,22.96687547458111,70.5665193635252,300.8151119552069,32.96135220201874,-7.634192018481636,-29.61841426067948,0.07120305028688671,0.2296416269458974,0.970667218362444,4.469947338104248,-31.55927447806188,-7.774932034107074,-29.04962485312032,0.05975863507542258,0.2307279029436448,0.9711815177077613,4.552432060241699
gaze,256.073541,0.4661642281260925,0.3228229379797469,22.85327410688779,70.31678799851117,300.8809621369373,32.96447164187929,-7.631532515248057,-29.62077530521298,0.07110078029293831,0.2290883742916727,0.9708054366381216,4.468822479248047,-31.56094175374929,-7.777559570409256,-29.04825086869246,0.0591884616410439,0.2298122086078803,0.9714335153695979,4.538283824920654
gaze,256.093527,0.466142128352875,0.3229938948738963,22.86746731015636,70.25651011499028,300.8920845140816,32.9686383523336,-7.625464623626822,-29.62695076345791,0.07132199998262424,0.2294671337267121,0.9706997511371503,4.470922470092773,-31.5612988034995,-7.780165898208927,-29.04668010707469,0.05903951886848034,0.2290687308164956,0.9716181615088811,4.533051013946533
gaze,256.113614,0.4658348815912304,0.3246271396429193,23.06618259036125,69.68366199916551,301.0140356021838,32.97247767248226,-7.620519443197121,-29.63441766121593,0.07136090955598899,0.2291145235550764,0.9707801788682504,4.47102165222168,-31.56096722997349,-7.797190737173059,-29.03671794974738,0.06015713329276988,0.2260875265091872,0.9722476791800294,4.5060133934021
