Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID
gaze,130.24589,0.5037202225084276,0.3250633021177214,-0.9740115359364944,51.5898834452838,222.7018517828724,,,,,,,,-30.93119997363565,-8.879024316138755,-28.69908093250566,0.1150869410614811,0.2323042310216703,0.9658104059527116,4.510743141174316,-30.93119997363565,-8.879024316138755,-28.69908093250566,0.1150869410614811,0.2323042310216703,0.9658104059527116,4.510743141174316,248.20164968523878,False,-1.0
gaze,130.265874,0.5035143794595286,0.325389393649088,-0.8767938892966427,51.50210032177078,222.7091595276894,31.11166900561319,-7.144764385898128,-30.18861311282375,-0.3162657010858192,0.5762063500018696,0.7536327013434452,3.273680448532104,-30.92777192697599,-8.88195307541918,-28.7009749725282,0.1154472538521006,0.2319782448485835,0.965845756575541,4.503470897674561,-15.419625717158524,-8.446191523398705,-29.071937487590816,0.007338858722310895,0.31819826422344843,0.9127748174561023,4.1996594071388245,248.20164968523878,False,-1.0
gaze,130.285963,0.5007459789032436,0.2660948325139202,0.541335808322889,65.77801867312746,217.38821685702686,31.68816828229616,-7.394131614839264,-29.97514723996562,-0.21052569342872413,0.5118368292949631,0.8209448582394567,3.4358519567834946,-30.935669843847077,-8.881525446315651,-28.698549245935673,0.11535987426650635,0.23108143917767882,0.9660707064634487,4.498851864224817,-10.154334071697503,-8.343403859124956,-29.16024107271076,-0.010968397378829034,0.3359518875610726,0.9063524724212192,4.122223574927268,33.75583566364376,False,-1.0
gaze,130.305947,0.4979920480596601,0.2071101886927213,1.95205330930361,79.97932049667469,212.0950853755983,32.26165434657121,-7.642195465859968,-29.762797097938,-0.1053383614053594,0.4478037514013103,0.8879051919249867,3.59717583656311,-30.94352648035221,-8.881100052318692,-28.69613619798779,0.115272951391375,0.2301893208777464,0.9662944805965537,4.494256973266602,-7.450984570495752,-8.32296483411605,-29.17754746652379,-0.006984474285869825,0.33671304970568655,0.9115393133811069,4.103096782424165,18.1261629747389,True,0.0
gaze,130.326035,0.482081096607983,0.2129218517910969,9.307387348099793,78.77559475140839,213.18207041621667,32.55126085597599,-7.6703480412964105,-29.73956104005865,-0.048480842548069225,0.4364713306061962,0.8965070976996699,3.451980364824949,-30.969691530483882,-8.88100711437015,-28.688860729957153,0.11391754087720235,0.23238079940709971,0.9659271289068656,4.4798724224382385,-5.802630723847391,-8.313507382859495,-29.184880150220614,0.0009560904042174523,0.3362556527658788,0.915474873365539,4.0756627046656515,27.620901265801713,True,0.0
gaze,130.346019,0.4662525196560279,0.2187034266297141,16.62464120271754,77.57810095942094,214.2634278958939,32.83936800870176,-7.698354864649799,-29.7164452803682,0.008082312412408879,0.4251975802492688,0.9050644695137664,3.307536602020264,-30.99572111838871,-8.880914657581833,-28.68162292862678,0.1125691476217626,0.2345609321694789,0.9655616790777766,4.465562343597412,0.5679739599110448,-8.19562947185491,-29.284870784618978,-0.00999615180466162,0.35577065780341954,0.9093754070341511,3.9508239709925554,33.4964766599069,False,-1.0
gaze,130.366107,0.4608625031054244,0.2222613910264755,19.14077282150279,76.74089303047698,214.62987041459073,32.939581696974244,-7.717217521127268,-29.719167951057823,0.027349249407446125,0.4167250773598334,0.908372508788362,3.3130124525852156,-31.003079938611886,-8.868131388699206,-28.68424106965911,0.11227800340126703,0.23662416399442032,0.9650896921571569,4.459742168317232,0.7432344278835604,-8.251492616705825,-29.236252878155483,0.024048418199581555,0.3402871224537996,0.9247737813368044,3.950384298462134,97.68137745255024,False,-1.0
gaze,130.386092,0.4555001235373324,0.2258011121768783,21.6440031282249,75.90797783434255,214.9944340215281,33.03928154564638,-7.735983460479234,-29.72187666141884,0.0465173963531799,0.4082960167144032,0.911663586292484,3.31846022605896,-31.01040102693129,-8.855413665251408,-28.6868457863323,0.11198835200508,0.2386768167234856,0.9646201253208074,4.453951835632324,0.8708726359101611,-8.283066623163398,-29.209755474340465,0.04941557495162933,0.3306925789503243,0.9337005960278428,3.9341551225304308,62.735626965326695,False,-1.0
gaze,130.40618,0.4549284924057329,0.23036537963525291,21.93842899432443,74.84890084962268,215.46986027117356,33.0576492977289,-7.756435650349819,-29.73163062790607,0.0484265012880073,0.3983552000589382,0.9158866374683582,3.4079825834353596,-31.010653595932226,-8.825415522356836,-28.702218744694434,0.11227185348678986,0.24044361944962786,0.964146507663931,4.452934492655347,0.9437594194679285,-8.288922188616196,-29.20724708200794,0.06449195143050748,0.3267731536732752,0.9362839432889178,3.9111035491565302,37.705114840719155,False,-1.0
gaze,130.426164,0.4543598207343932,0.2349060168757975,22.23133055287315,73.79530693969542,215.9428251344205,33.07592195591372,-7.776781954729216,-29.74133409596066,0.050325722366141,0.388465849200585,0.9200878249782436,3.497041463851929,-31.01090485732782,-8.795572686454584,-28.71751211386551,0.1125538872188928,0.2422012750489503,0.96367534202997,4.451922416687012,0.9921041967773079,-8.291022137167921,-29.210289525988976,0.07423624255609755,0.32295465309689914,0.9384168373290857,3.9128146584841046,23.486959749368037,True,0.0
