Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Avg_Gazeorigin_X,Avg_Gazeorigin_Y,Avg_Gazeorigin_Z,Avg_Gazedirection_X,Avg_Gazedirection_Y,Avg_Gazedirection_Z,Avg_Pupildiameter,Velocity,Is_Fixation,Fixation_ID
gaze,52.618101,0.385948286272431,0.610107184628148,65.98669387081702,-30.54590864154609,274.3093846646167,31.53048143907578,-5.314244442872924,-27.98255277331589,0.195820113766869,-0.1115914332747314,0.9742698984696294,4.56104564666748,-27.61466040251076,-5.17404090051274,-28.29498072561354,0.2164061013150872,-0.05265761130812,0.9748823392004428,4.781737804412842,1.9579105182825085,-5.244142671692831,-28.138766749464715,0.2061131075409781,-0.0821245222914257,0.9745761188350361,4.671391725540161,6.93520422628232,True,0.0
gaze,52.638193,0.3829798525202321,0.6094774515391815,63.1397103335653,-28.31288028821846,255.7816280076992,31.56695444389139,-5.305000353278702,-27.98127298370284,0.2002346240391306,-0.1090593078679708,0.9736591614642504,4.573898315429688,-27.59278198285681,-5.161792916624103,-28.29354326535977,0.2189531019033778,-0.050576459519209,0.9744237070747976,4.792994022369385,1.9724983743998994,-5.238769653322117,-28.13808743699801,0.20785348525611616,-0.08097120299250779,0.9743087765522801,4.677418947219849,6.93520422628232,True,0.0
gaze,52.658174,0.3792593011929324,0.6075718469297563,62.29011038424112,-26.53853216574545,244.4976214801134,31.6207088352501,-5.304383530418725,-27.97984848551885,0.2053486539781111,-0.1068487783632781,0.9728387681788042,4.590437412261963,-27.548151024217,-5.13853640519214,-28.29483221773486,0.2243394353257522,-0.0467256889762267,0.9733902237784288,4.817120552062988,1.993758551438783,-5.232999758149888,-28.137838408540958,0.210183671721388,-0.07957654655158934,0.9739106830277255,4.686205625534058,9.467558134633535,True,0.0
gaze,52.678266,0.3775745140192354,0.598974750637808,81.90112779899107,-31.18704400549989,316.7960816683592,31.70883624540792,-5.30116346241638,-27.98492656960849,0.2116697030316709,-0.1034738677927847,0.9718482883158696,4.595455169677734,-27.44123762807391,-5.11907819160163,-28.30521188786824,0.2370083527850424,-0.0439405912514033,0.97051340287015,4.81019115447998,2.0287687407458384,-5.227280025364667,-28.13964611359031,0.21372251076813015,-0.0781092172942155,0.9732282236690466,4.690360009670258,10.97818771691734,True,0.0
gaze,52.698246,0.3753124861388016,0.5950444879270029,95.77732881884252,-34.12940128379041,363.6009801424963,31.77452691224857,-5.29202899796373,-27.99961914141004,0.2164125461354393,-0.1014274255143024,0.9710190972523234,4.586463928222656,-27.35267317638176,-5.106399400267895,-28.31986045460573,0.2462292395196763,-0.0427956350086556,0.9682663348633824,4.801443576812744,2.065200366183352,-5.221666860114897,-28.143664850473822,0.2172421871800157,-0.0769096798876682,0.9725111221468079,4.691078758239746,15.12116037077478,True,0.0
gaze,52.718338,0.3743494040014375,0.5886461664050521,113.8163711515878,-36.99570362047119,428.519329632555,31.83711164353999,-5.27587974235071,-27.99564890828984,0.2221898195312134,-0.0939955611023717,0.9704620129555496,4.588390827178955,-27.30946409833524,-5.099924092163906,-28.32853035442901,0.2506667824998112,-0.0417511199836124,0.9671726878542976,4.802379131317139,2.126383017047325,-5.210418709227792,-28.14832942685277,0.22330522587492255,-0.07405944353798147,0.9713593684607854,4.695877408981323,34.745448867453284,False,-1.0
gaze,52.738319,0.400094546227016,0.500489980000618,91.6883962366398,8.072679909869024,430.442355802028,31.40726095457961,-5.132008693342255,-28.00233971029991,0.1743145618474254,-0.0994082071256488,0.9796593499191462,4.527912616729736,-27.73179468309765,-4.268648433074627,-28.39030539790098,0.2068992620629305,0.1536008778841636,0.9662295098324356,5.490070343017578,2.096512398092063,-5.1038050948792,-28.160112312766596,0.21950783567170729,-0.05267659972341201,0.9711399675820388,4.760986471176148,54.20246888937713,False,-1.0
gaze,52.758409,0.4441582444873294,0.5648024266006771,52.03263574006995,-24.81042651507279,439.0026182697066,30.63835410863481,-5.09667435428436,-27.86289447985827,0.0908707220057405,-0.1073992705278771,0.9900544977789028,4.607205390930176,-28.48859737580027,-4.690762304497548,-28.38710651095534,0.1253302594437993,0.0228976739325982,0.9918508066217552,5.059436798095703,1.904232290272207,-5.038256767196304,-28.157644341522587,0.1981591248862749,-0.04576931264898941,0.9747075988263812,4.78689489364624,73.52080440606657,False,-1.0
gaze,52.778391,0.4542586050942912,0.5976430965315511,21.17380741006397,-20.7961309126179,218.8656887630459,30.34162468802309,-5.054029191252042,-27.80401163466218,0.0641303970435705,-0.1063439731370704,0.9922591655169812,4.645210266113281,-28.77795320957248,-4.839921415617916,-28.40095826433019,0.0995519716611928,-0.022100912132741,0.9947868890477348,4.890268325805664,1.633839576383867,-4.985627662481498,-28.14912748567415,0.16965955617507994,-0.04387235527155176,0.9791760351642509,4.799878120422363,86.49425778066488,False,-1.0
gaze,52.798483,0.459297820447576,0.5961436851468866,27.48805892946172,-29.71287283084041,319.0041799196599,30.25222963339631,-5.033941296984337,-27.78158502999947,0.0584953805733448,-0.1057182522262973,0.9926741366620754,4.650442123413086,-28.8688943764564,-4.877208742058024,-28.40733233556863,0.0946761391019028,-0.0365566269683087,0.9948366909746832,4.845174789428711,1.329987728491177,-4.936899826562572,-28.136071262629383,0.13871252957709312,-0.04367753713871656,0.9839985747163562,4.810649061203003,90.49285216172682,False,-1.0
