Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/4,ExportChannel/3,distance_to_inter_0,distance_to_inter_1
228.288,0.0844521,0.0598148,4563.11,7.48557,0.0217018,-0.429081,179.829,17526.0,-8e-05,-0.428998,0.332454,0.0449777,0.0217018,-0.0590702,0.0912799,-0.00276457,63.0919,-0.000353486,0.0844596,0.0598155,63.0937,-180.171,0.139956,0.218678,0.0,0.174351,0.954,0,-1.0,-0.156089,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0859005,0.369189,5715.58,-164.909,0,1.79e-07,0,-4.58e-09,53.401,-0.0332438,53.401,0,1.42601,1.45327,9.65e-06,4476.31,27.5983,0,7.960000000000001e-21,0,-3.69e-18,1.06602,-8.45e-07,1.06602,0,0.00183886,999.0,4.0,999.0,713.5201146967656,87.1010578993438
228.304,0.129447,0.0624798,4562.83,7.4864,0.0231386,-0.428363,179.832,17527.7,-7.41e-05,-0.42828,-0.328175,0.0450831,0.0231386,-0.192526,0.0882335,-0.00276189,63.0979,-0.000753401,0.129453,0.0624815,63.0997,-180.168,0.167188,0.221956,0.0,0.174351,0.972,6,-1.0,-0.157007,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0852165,0.369255,5715.61,-165.14,0,1.78e-07,0,-4.59e-09,53.4057,-0.0332419,53.4057,0,1.42614,1.45385,1.13e-05,4476.31,27.5928,0,9.09e-21,0,-4.24e-18,1.14817,-9.97e-07,1.14817,0,0.00200908,999.0,4.0,999.0,713.8001151226863,86.82105712993815
228.32,0.11377,0.0609928,4562.55,7.48722,0.0245314,-0.427625,179.836,17529.3,-0.000108063,-0.427542,-0.0288149,0.0468395,0.0245314,-0.250389,0.0857558,-0.00275964,63.1035,-0.00110263,0.113804,0.0609967,63.1053,-180.164,0.0250653,0.225275,0.0,0.177642,0.981,0,-1.0,-0.157912,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0845325,0.369322,5715.63,-165.371,0,1.76e-07,0,-4.61e-09,53.4105,-0.0332399,53.4105,0,1.42627,1.45444,1.3e-05,4476.31,27.5874,0,1.02e-20,0,-4.78e-18,1.23032,-1.15e-06,1.23032,0,0.0021793,999.0,4.0,999.0,714.080115543549,86.54105637492779
228.336,0.073498,0.0650849,4562.27,7.48802,0.0258867,-0.426866,179.839,17530.8,-7.68e-05,-0.426783,0.406742,0.0481177,0.0258867,-0.312852,0.0835359,-0.00275714,63.109,-0.00138796,0.073502,0.0650867,63.1108,-180.161,0.133519,0.228864,0.0,0.180933,0.999,0,-1.0,-0.158803,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0838284,0.36939,5715.66,-165.615,0,1.74e-07,0,-4.62e-09,53.4154,-0.0332433,53.4154,0,1.42641,1.45464,1.53e-05,4476.31,27.5807,0,1.17e-20,0,-5.39e-18,1.31674,-1.38e-06,1.31674,0,0.00237257,999.0,4.0,999.0,714.3601159536274,86.26105564552564
228.352,0.0764182,0.0671651,4561.99,7.4888,0.0271947,-0.426085,179.843,17532.3,-6.15e-05,-0.426002,0.458722,0.0498972,0.0271947,-0.33871,0.0803565,-0.00275478,63.1144,-0.00162468,0.0764233,0.0671674,63.1162,-180.157,0.366955,0.232413,0.0,0.180933,1.017,0,-1.0,-0.159678,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0831202,0.369459,5715.69,-165.86,0,1.72e-07,0,-4.63e-09,53.4204,-0.0332478,53.4204,0,1.42654,1.45476,1.77e-05,4476.31,27.5737,0,1.32e-20,0,-6.02e-18,1.40402,-1.64e-06,1.40402,0,0.00257049,999.0,4.0,999.0,714.6401163528678,85.98105494142277
228.368,0.102713,0.0696287,4561.71,7.48956,0.0284472,-0.425282,179.847,17533.7,-6.62e-05,-0.425199,-0.125471,0.05096,0.0284472,-0.442467,0.0759504,-0.00275187,63.1196,-0.00179956,0.10273,0.0696327,63.1213,-180.153,0.769686,0.23633,0.0,0.180933,1.044,0,-1.0,-0.160539,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0824121,0.369528,5715.72,-166.106,0,1.7e-07,0,-4.64e-09,53.4253,-0.0332523,53.4253,0,1.42668,1.45489,2.01e-05,4476.31,27.5668,0,1.47e-20,0,-6.65e-18,1.49131,-1.89e-06,1.49131,0,0.00276841,999.0,4.0,999.0,714.9201167412158,85.70105426232284
228.384,-0.0079564,0.0722202,4561.43,7.49031,0.0296348,-0.424385,179.851,17534.3,-0.00012361,-0.424303,1.4689,0.0652484,0.0296348,0.484347,0.0739612,-0.00274863,63.1217,-0.00193408,-0.00795711,0.0722201,63.1235,-180.149,0.211363,0.239709,0.0,0.180933,1.062,0,-1.0,-0.161384,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.081742,0.369593,5715.74,-166.344,0,1.69e-07,0,-4.66e-09,53.43,-0.033257,53.43,0,1.4268,1.45493,2.29e-05,4476.31,27.5591,0,1.63e-20,0,-7.3e-18,1.57567,-2.11e-06,1.57567,0,0.00297971,999.0,4.0,999.0,715.2001171243443,85.42105359673427
228.4,-0.0125429,0.0731662,4561.15,7.49104,0.0308173,-0.423128,179.854,17534.1,-0.000115146,-0.423045,1.50495,0.0900281,0.0308173,0.135075,0.0735797,-0.00274453,63.121,-0.00203747,-0.0125288,0.073167,63.1227,-180.146,0.293057,0.24386,0.0,0.184224,1.089,0,-1.0,-0.162213,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0810795,0.369656,5715.77,-166.579,0,1.67e-07,0,-4.67e-09,53.4346,-0.0332617,53.4346,0,1.42692,1.45495,2.59e-05,4476.31,27.5512,0,1.79e-20,0,-7.97e-18,1.65945,-2.32e-06,1.65945,0,0.0031937,999.0,4.0,999.0,715.4801174964978,85.14105295567782
228.416,-0.00686422,0.0749421,4560.87,7.49175,0.0319667,-0.421517,179.858,17533.9,-0.000130495,-0.421434,1.10393,0.110158,0.0319667,-0.241342,0.0699532,-0.00273906,63.1203,-0.00208947,-0.00686301,0.0749422,63.122,-180.142,0.830443,0.248598,0.0,0.167769,1.125,6,-1.0,-0.163025,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.080417,0.36972,5715.8,-166.815,0,1.66e-07,0,-4.68e-09,53.4392,-0.0332664,53.4392,0,1.42705,1.45497,2.89e-05,4476.31,27.5434,0,1.95e-20,0,-8.63e-18,1.74323,-2.53e-06,1.74323,0,0.0034077,999.0,4.0,999.0,715.7601178576261,84.86105233888205
228.432,-0.0114917,0.0770567,4560.59,7.49244,0.0330308,-0.419602,179.862,17533.6,-0.000176672,-0.41952,0.776778,0.12717,0.0330308,0.424812,0.0654454,-0.00273292,63.1193,-0.00210243,-0.0114983,0.0770561,63.121,-180.138,0.459088,0.253095,0.0,0.184224,1.143,0,-1.0,-0.163821,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0797663,0.369783,5715.83,-167.051,0,1.65e-07,0,-4.69e-09,53.4437,-0.0332752,53.4437,0,1.42717,1.45498,3.24e-05,4476.31,27.5347,0,2.13e-20,0,-9.32e-18,1.82705,-2.85e-06,1.82705,0,0.00364398,999.0,4.0,999.0,716.0401182076837,84.5810517460833
228.448,-0.0184332,0.0800717,4560.31,7.49311,0.0340781,-0.417468,179.866,17533.4,-0.0001443,-0.417386,0.652343,0.138073,0.0340781,0.34298,0.0655158,-0.00272627,63.1186,-0.00208339,-0.018429,0.0800716,63.1203,-180.134,0.639066,0.258427,0.0,0.187515,1.179,0,-1.0,-0.164599,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0791204,0.369846,5715.85,-167.287,0,1.65e-07,0,-4.7e-09,53.4483,-0.0332855,53.4483,0,1.42729,1.45499,3.63e-05,4476.31,27.5257,0,2.33e-20,0,-1e-17,1.91088,-3.22e-06,1.91088,0,0.00388951,999.0,4.0,999.0,716.3201185466255,84.3010511770296
228.464,-0.00445978,0.0785367,4560.03,7.49377,0.0351393,-0.4152,179.871,17533.3,-0.000131425,-0.415118,0.234305,0.144184,0.0351393,0.0519072,0.0667267,-0.00271895,63.118,-0.00205388,-0.00446952,0.078536,63.1197,-180.129,0.894803,0.264114,0.0,0.187515,1.215,0,-1.0,-0.165359,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0784745,0.369908,5715.88,-167.523,0,1.65e-07,0,-4.72e-09,53.4528,-0.0332959,53.4528,0,1.42741,1.45499,4.01e-05,4476.31,27.5166,0,2.52e-20,0,-1.08e-17,1.99472,-3.59e-06,1.99472,0,0.00413503,999.0,4.0,999.0,716.6001188801697,84.02105062050138
228.48,0.00161733,0.083001,4559.75,7.4944,0.0361774,-0.412883,179.875,17533.1,-0.000153781,-0.412802,-0.330232,0.144676,0.0361774,-0.401813,0.0647886,-0.00271037,63.1175,-0.00199233,0.00154865,0.0829953,63.1192,-180.125,-0.000286588,0.270042,0.0,0.187515,1.242,0,-1.0,-0.166101,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0778522,0.36997,5715.91,-167.754,0,1.63e-07,0,-4.73e-09,53.4571,-0.0333063,53.4571,0,1.42753,1.455,4.44e-05,4476.31,27.5072,0,2.73e-20,0,-1.16e-17,2.07667,-4.02e-06,2.07667,0,0.00439642,999.0,4.0,999.0,716.8801191967596,83.74105009826422
228.496,-0.0130667,0.0880396,4559.47,7.495,0.0372272,-0.410577,179.879,17532.9,-0.000171447,-0.410496,-0.12364,0.143149,0.0372272,0.515619,0.0665859,-0.00270235,63.1169,-0.00192056,-0.013086,0.0880377,63.1186,-180.121,0.607082,0.276434,0.0,0.194097,1.287,6,-1.0,-0.166824,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0772469,0.37003,5715.93,-167.981,0,1.61e-07,0,-4.74e-09,53.4613,-0.0333166,53.4613,0,1.42765,1.455,4.91e-05,4476.31,27.4974,0,2.96e-20,0,-1.25e-17,2.15726,-4.48e-06,2.15726,0,0.00466918,999.0,4.0,999.0,717.1601194963366,83.46104960998298
228.512,0.00224049,0.0879177,4559.18,7.49559,0.0383089,-0.408331,179.884,17532.8,-0.000179549,-0.408251,-0.429137,0.137447,0.0383089,0.0773565,0.0683805,-0.00269381,63.1166,-0.00184017,0.00224493,0.0879184,63.1182,-180.116,0.29806,0.283338,0.0,0.194097,1.323,0,-1.0,-0.167528,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0766415,0.370091,5715.96,-168.208,0,1.59e-07,0,-4.75e-09,53.4655,-0.0333269,53.4655,0,1.42777,1.455,5.38e-05,4476.31,27.4876,0,3.18e-20,0,-1.34e-17,2.23785,-4.94e-06,2.23785,0,0.00494194,999.0,4.0,999.0,717.4501197887333,83.17104913951817
228.528,-0.0274774,0.0874376,4558.9,7.49615,0.0394163,-0.406185,179.888,17532.7,-0.000133762,-0.406104,-0.0543201,0.131356,0.0394163,-0.937133,0.0689423,-0.00268611,63.1162,-0.0017597,-0.0275106,0.0874339,63.1178,-180.112,0.107463,0.290985,0.0,0.194097,1.359,0,-1.0,-0.168212,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0760373,0.370151,5715.99,-168.436,0,1.58e-07,0,-4.76e-09,53.4698,-0.0333328,53.4698,0,1.42789,1.455,5.9e-05,4476.31,27.4773,0,3.42e-20,0,-1.43e-17,2.31897,-5.44e-06,2.31897,0,0.00523948,999.0,4.0,999.0,717.7301200656993,82.89104869660196
228.544,-0.00480586,0.0938742,4558.62,7.49669,0.0405064,-0.404147,179.893,17532.6,-0.000172849,-0.404067,-0.539421,0.123741,0.0405064,0.451726,0.0677693,-0.00267836,63.1158,-0.00166077,-0.0048335,0.0938715,63.1174,-180.107,1.30635,0.298809,0.0,0.197388,1.404,6,-1.0,-0.168877,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0754353,0.370208,5716.02,-168.668,0,1.57e-07,0,-4.78e-09,53.474,-0.0333299,53.474,0,1.428,1.455,6.54e-05,4476.31,27.4662,0,3.69e-20,0,-1.51e-17,2.40112,-6.01e-06,2.40112,0,0.00558717,999.0,4.0,999.0,718.010120331306,82.61104827609972
228.56,0.0194765,0.0959849,4558.34,7.49721,0.0415941,-0.402235,179.898,17532.5,-0.000196703,-0.402155,-0.834127,0.115466,0.0415941,0.118773,0.0682122,-0.00267114,63.1155,-0.00157379,0.0194866,0.0959866,63.1171,-180.102,0.62051,0.306713,0.0,0.20068,1.44,0,-1.0,-0.169521,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0748333,0.370265,5716.04,-168.899,0,1.57e-07,0,-4.79e-09,53.4781,-0.0333269,53.4781,0,1.42811,1.455,7.17e-05,4476.31,27.4551,0,3.96e-20,0,-1.59e-17,2.48327,-6.57e-06,2.48327,0,0.00593486,999.0,4.0,2.0,718.2901205855222,82.3310478778457
228.576,-0.0185686,0.101848,4558.06,7.4977,0.0427029,-0.400455,179.903,17532.5,-0.000225273,-0.400375,-0.17292,0.107859,0.0427029,0.295446,0.0698152,-0.00266491,63.1153,-0.00150123,-0.0185684,0.101848,63.1169,-180.097,0.109724,0.314858,0.0,0.203971,1.476,0,-1.0,-0.170145,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0742282,0.370323,5716.07,-169.133,0,1.56e-07,0,-4.8e-09,53.4824,-0.0333245,53.4824,0,1.42822,1.455,7.83e-05,4476.31,27.4437,0,4.24e-20,0,-1.67e-17,2.56616,-7.17e-06,2.56616,0,0.0062916,999.0,4.0,2.0,718.570120822519,82.05104751244839
228.592,-0.00419552,0.0993693,4557.78,7.49817,0.0438511,-0.398801,179.908,17532.4,-0.0002179,-0.398721,-0.472929,0.0995996,0.0438511,0.566131,0.0736971,-0.00265907,63.1153,-0.00146593,-0.00421759,0.099367,63.1168,-180.092,0.548251,0.323228,0.0,0.203971,1.512,0,-1.0,-0.170747,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0736048,0.370385,5716.1,-169.378,0,1.56e-07,0,-4.81e-09,53.4867,-0.0333248,53.4867,0,1.42834,1.455,8.66e-05,4476.31,27.4307,0,4.58e-20,0,-1.76e-17,2.65343,-7.91e-06,2.65343,0,0.00670256,999.0,4.0,2.0,718.8501210480592,81.7710471689635
228.608,-0.0106227,0.10303,4557.5,7.49861,0.0450382,-0.397277,179.913,17532.4,-0.000185915,-0.397198,-0.260517,0.0918007,0.0450382,0.41426,0.0748978,-0.00265375,63.1151,-0.00146246,-0.0106108,0.103031,63.1166,-180.087,0.666264,0.331701,0.0,0.203971,1.539,0,-1.0,-0.171327,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0,0,0,0,0,0,0,0,0,0.0729813,0.370447,5716.13,-169.624,0,1.55e-07,0,-4.82e-09,53.4911,-0.0333252,53.4911,0,1.42847,1.455,9.48e-05,4476.31,27.4176,0,4.91e-20,0,-1.85e-17,2.7407,-8.66e-06,2.7407,0,0.00711353,999.0,4.0,2.0,719.130121256308,81.49104685799598
