Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter
gaze,58.347952,0.4721824156978798,0.4265198840156827,79.20414384098669,139.6977195418482,1288.3362452028,31.78537531632107,-12.37780395087167,-28.19276572976754,0.03698337246744891,0.1202186777143593,0.9920583146617669,6.13682222366333,-32.73515920012664,-13.75181496249411,-28.07746843665448,0.08294139083191691,0.1098490574489752,0.9904816556930467,5.899450302124023
gaze,58.368044,0.4725361880566094,0.4205434658315089,75.69327148707575,143.8866718502259,1244.618048857191,31.77766509091789,-12.32540041831031,-28.17334340478518,0.03522982127552879,0.1268983905799871,0.9912898961258021,6.147251605987549,-32.73726652222838,-13.70309438525341,-28.05186031504483,0.08325406585763767,0.1173176138649254,0.9895985741679364,5.919187545776367
gaze,58.388025,0.4733317051430013,0.4163476822807207,71.84027986174787,146.444297743788,1213.716459105035,31.76672393844785,-12.27761836490445,-28.16129178762823,0.03343891838064422,0.132867878437614,0.9905695157923144,6.155118942260742,-32.74822654532791,-13.67306849571921,-28.03862518448528,0.08180436280226967,0.1213093904751505,0.9892381300824702,5.914168357849121
gaze,58.408116,0.47411663978278,0.4125158114047743,67.02125976349504,145.8138311126365,1163.957679368296,31.75105858577096,-12.23429924010718,-28.15058051829132,0.03106403001313641,0.1382163823369714,0.9899147729441273,6.159268856048584,-32.7577769610424,-13.64165184926823,-28.03165289613228,0.08094610400644141,0.1253207621985354,0.9888085936156484,5.91608715057373
gaze,58.428098,0.475917339704646,0.4071610368767662,64.88950046069317,158.7961240963789,1205.351295509285,31.7302796229176,-12.18706463842814,-28.13703305715332,0.02849225180807293,0.1441756742690227,0.9891418333767802,6.164337635040283,-32.79674189604976,-13.59329120246734,-28.0201062923514,0.07633402751009588,0.1311081692419259,0.9884248905213378,5.907210826873779
gaze,58.448189,0.4771195527252965,0.4026262896222212,60.8579400866377,162.6387559537171,1185.251925256084,31.70545687345158,-12.15665314746738,-28.09352949549307,0.02600906243400219,0.1500813826460094,0.9883314764057484,6.161375522613525,-32.82259662557417,-13.55337888004274,-28.00517097999922,0.07396488204760139,0.135793614382483,0.9879723126265362,5.909397602081299
gaze,58.46817,0.4779828285495737,0.3978961291984732,56.13916236321334,161.8387583238884,1132.31121553357,31.67011288077032,-12.10034114966071,-28.05027857390853,0.02479927330324819,0.1580251092631096,0.9871236299906985,6.169149398803711,-32.84713334557787,-13.51915879937976,-27.99375540377128,0.07168104474081904,0.1392375047037468,0.9876612501808194,5.9112548828125
gaze,58.488261,0.4795303925947036,0.39382480994485,49.2677818223592,157.1773062381307,1063.015625371437,31.63397133610658,-12.07656892545053,-27.98859994579467,0.02059715485800006,0.1641109561764523,0.9862268254689721,6.163301944732666,-32.87037615543609,-13.48154543007389,-27.98710961919376,0.06956951679419444,0.1433426307886327,0.9872248844775016,5.914310455322266
gaze,58.508242,0.4805037430128238,0.3888616491204188,45.65604460523945,158.4014727102277,1029.517563292913,31.61053150244748,-12.05196158759729,-27.95307057480608,0.01730832729643144,0.1697119723372708,0.9853417012648927,6.159727096557617,-32.88516886934701,-13.43702287852845,-27.99093955443812,0.06893339517063016,0.1494219391818832,0.9863677159768438,5.922793388366699
gaze,58.528335,0.4815803025873874,0.3830221031857292,43.17166251646708,164.8716674192225,1024.528448384858,31.59361874896193,-12.02140763553149,-27.9345992414835,0.01461428243242583,0.1758768603022336,0.9843036892947289,6.164880275726318,-32.90516415234787,-13.38420170548595,-27.99659057659297,0.06733422703041776,0.1564714737109786,0.9853845847104221,5.93686056137085
gaze,58.548315,0.4822461308889411,0.3793370989798487,41.35747467309251,167.7605378085549,1014.359133309402,31.58295770960658,-11.99986475251216,-27.92366793034093,0.01278076587308772,0.1798703387559902,0.9836072962618277,6.162330150604248,-32.91606884145171,-13.3493795274729,-27.99821588969728,0.06650562431395851,0.1608925727452831,0.9847286844456267,5.950237274169922
gaze,58.568407,0.4825651574848271,0.3763918041294617,40.46424990392316,170.3422077745076,1008.242840818731,31.57769572955533,-11.98365301989294,-27.91691141481565,0.01174687825330488,0.1829458257766891,0.983052814289338,6.162512302398682,-32.92208190587806,-13.32255396351101,-27.99910074096925,0.0662764255512297,0.16449140406439,0.9841493857159481,5.964610576629639
gaze,58.588388,0.4827562554759728,0.3743669456431997,39.96358510471126,172.3022082073111,1005.262590106821,31.57434593591463,-11.97415704223304,-27.91176776624553,0.01098139019324637,0.1848391589572785,0.9827074307164821,6.160669326782227,-32.92537428183405,-13.30374083469632,-27.99942483795371,0.06628834463901903,0.1671620856684797,0.9836984764042195,5.971712589263916
gaze,58.608479,0.4829967236935279,0.3722202243158676,38.82194398734607,172.0070038299847,988.5464636264024,31.57228683388756,-11.9571784321547,-27.88867613384133,0.01017216669965054,0.1876470513571102,0.9821838479335815,6.165797233581543,-32.92862063907154,-13.28901031814022,-27.99910832152724,0.06613036248530206,0.1693837155611107,0.9833290049928739,5.97997522354126
gaze,58.628459,0.4831424724012627,0.3712804589665583,40.12470445959852,180.309019700172,1029.51932729196,31.57073598154317,-11.9617712905965,-27.89498673812135,0.01031494266601214,0.1871183209351517,0.9822832259222422,6.161315441131592,-32.93753145748556,-13.2736721605514,-28.00157510815884,0.06545536884303851,0.1714555154244331,0.9830150563039021,5.983741760253906
gaze,58.648552,0.4942940683808396,0.3609632185378113,14.53511538932337,177.8781422920607,946.9888199956983,31.31182517612515,-11.86753584508387,-27.84550815896776,-0.01334217549508229,0.2012883011070805,0.979441170357099,6.219014167785645,-33.16675519618173,-13.19001493218815,-28.06584105174498,0.04441289743068288,0.181859196418064,0.9823210917108458,5.938570976257324
gaze,58.668533,0.4986994189979436,0.3568408648501825,5.864163176267244,188.3587375781827,976.3761876939828,31.2004764748432,-11.81204159704573,-27.82543410772143,-0.01643903445936488,0.2093557874804685,0.9777013411029345,6.196832656860352,-33.28818914188295,-13.17289212091657,-28.08571473908421,0.02990157980979167,0.1827102194419675,0.9827119981135606,5.912696361541748
gaze,58.688624,0.5004001836017771,0.355574300272568,2.44402735675826,198.5544953209811,1020.924921401408,31.15548212206576,-11.80878373209453,-27.81083360508422,-0.01883770565104248,0.2099589322848023,0.9775287144629721,6.198285579681396,-33.33549377699011,-13.16202737150684,-28.08970552073107,0.02542623178957244,0.1844234025570327,0.982517946567018,5.907852172851562
gaze,58.708605,0.5006921719407453,0.3545612621473882,1.836789734718765,201.7070112661456,1030.593758407261,31.14106048951668,-11.81538022789065,-27.80324876772153,-0.01926173673551312,0.2108868082938773,0.9773206943401705,6.202959060668945,-33.35136689088615,-13.15612804735401,-28.08926839407599,0.02469334472926492,0.1856472506407041,0.9823061320462321,5.910804748535156
gaze,58.728697,0.5010868319377654,0.3545248081451807,0.9773028999002484,203.2942925821761,1038.428348973724,31.13430737866441,-11.81955487489397,-27.80006617303404,-0.02018797286098549,0.2106423339329248,0.9773547221490541,6.211253643035889,-33.35847188750233,-13.15544934162976,-28.08836984105972,0.02401392577690821,0.1858991446262671,0.9822753378742661,5.910906314849854
gaze,58.748677,0.5012719838143741,0.3538434794235242,0.561697959182963,199.4820228219326,1014.653117835689,31.13469034795692,-11.81805638530786,-27.80422227717786,-0.02032459681451542,0.2121869990418533,0.9770177010688905,6.217245578765869,-33.36182064638177,-13.15508184905837,-28.08815350542653,0.02345947549199856,0.186153741118031,0.9822405192606349,5.90923023223877
gaze,58.768769,0.5014319993530999,0.3539864050397977,0.2208792754724502,205.7684988391972,1047.536050991279,31.13810660153438,-11.82002614606743,-27.80411870697685,-0.0212282164581744,0.2107812548425707,0.9773027296764275,6.220638275146484,-33.3623332901252,-13.15289737138739,-28.08829017682758,0.02364406996939231,0.1868611329733887,0.9821017640444315,5.911442756652832
gaze,58.78875,0.5014172643542801,0.3539056190848779,0.2571460083242503,207.8555477710946,1057.634798983769,31.14213469128251,-11.81843081453697,-27.80785725707914,-0.02156471843037015,0.2103400166460481,0.9773904236876679,6.219789028167725,-33.36183816755004,-13.15131488905369,-28.08918114159446,0.02401927977411641,0.1873627886846996,0.9819970771929137,5.9125657081604
gaze,58.808842,0.5014182489653161,0.3537320283466711,0.2541603905379812,205.8814353166759,1046.468491829177,31.14294774164835,-11.81552534416774,-27.81271964893379,-0.02222224117781403,0.2104069312672662,0.9773612920878988,6.220338821411133,-33.35973244227633,-13.14997262270956,-28.09014078143931,0.02469371667455064,0.1877977238648304,0.9818972630922167,5.914767265319824
gaze,58.828824,0.5013544213487575,0.3534725236150574,0.3996135089191952,206.2814587234266,1046.833285015635,31.14508650686197,-11.81338989561721,-27.81723798656173,-0.02233499388339471,0.2104974260365063,0.9773392357212692,6.220964908599854,-33.35927695145444,-13.14877187643258,-28.09104222441337,0.0250679847001524,0.1882722701593289,0.9817968977503065,5.915204524993896
gaze,58.848914,0.5014319675139229,0.3534634271452199,0.2296383967397428,209.0546544442537,1060.839084652716,31.14421369330416,-11.81492521439503,-27.82175888935011,-0.02237941515401213,0.2101508442639713,0.9774128014470163,6.217480182647705,-33.36350241760437,-13.15018506318713,-28.09051726900225,0.02477643952677603,0.1884888439723708,0.9817627431015781,5.915093898773193
gaze,58.868895,0.5014115122006132,0.3534217932469165,0.2769945029516006,209.5722791612021,1063.19540097487,31.14267669951428,-11.818886649683,-27.82642153219692,-0.02315683619924243,0.2094197551601395,0.9775515981706074,6.215949058532715,-33.36319840134285,-13.1496084227077,-28.09073137169951,0.02563438014061718,0.1892828437372412,0.9815879398309403,5.917360305786133
gaze,58.888987,0.5014213939613876,0.3538067968331304,0.2551531462268262,213.1725417372828,1084.027660999948,31.13534601629009,-11.82861103478485,-27.83051352011232,-0.02345147671738161,0.2079923800176104,0.9778492716642909,6.217104434967041,-33.36563147836631,-13.15097928874229,-28.09175915710426,0.0258530270008545,0.1896375418661431,0.9815137409684391,5.91839599609375
gaze,58.908968,0.5016047949488038,0.3540254068643968,-0.169463186004073,210.6094809512182,1072.420621863394,31.11721772079636,-11.84496956926535,-27.85127442281846,-0.02350830402712022,0.2084744084007513,0.9777452534703124,6.219188690185547,-33.37143552810938,-13.15776740990404,-28.09361482039464,0.02520155810636314,0.1888168620929767,0.9816888886293731,5.917175769805908
gaze,58.92906,0.4942491007156498,0.3611459769842545,13.58858185767308,165.0903485315227,879.9503395504528,31.29243168129349,-11.86648414055075,-27.93469377363625,-0.008208769028591772,0.207503919697347,0.9781997441326962,6.235179424285889,-33.18765678040484,-13.24197065797518,-28.07880015837999,0.03957915220169621,0.1763398074350834,0.9835333054984732,5.899858951568604
gaze,58.949039,0.4743979992629768,0.3653069812055018,63.57490947708168,200.797705939697,1102.015148577564,31.64287309022409,-11.85967786791847,-28.12116692519472,0.0323434431877495,0.1952972315204163,0.9802106370792056,6.161497116088867,-32.79711577506156,-13.26103845768301,-28.07245515819035,0.07893202760317994,0.175073688438108,0.9813862331595686,5.953709602355957
