ï»¿Time,CoG Acceleration/X,CoG Acceleration/Y,CoG position/X,CoG position/Y,CoG position/Roll,CoG position/Pitch,CoG position/Yaw,Horizontal tangential speed,Over-steering criteria2,Pitch %ground,Pitch acceleration,Pitch speed,Roll %ground,Roll acceleration,Roll speed,Slope force,Speed/X,Speed/Y,Tangent Acceleration/X,Tangent Acceleration/Y,Tangential speed,Yaw %ground,Yaw acceleration,Yaw speed,Brake pedal force,Gas pedal,Steering wheel angle,Steering wheel speed,Intersection Id,Lane gap,CoG Acceleration/X.1,CoG Acceleration/Y.1,CoG position/X.1,CoG position/Y.1,Pitch acceleration.1,Pitch speed.1,Roll acceleration.1,Roll speed.1,Speed/X.1,Speed/Y.1,Tangential speed.1,Yaw acceleration.1,Yaw speed.1,CoG Acceleration/X.2,CoG Acceleration/Y.2,CoG position/X.2,CoG position/Y.2,CoG position/Yaw.1,Pitch acceleration.2,Pitch speed.2,Roll acceleration.2,Roll speed.2,Speed/X.2,Speed/Y.2,Tangential speed.2,Yaw acceleration.2,Yaw speed.2,CoG Acceleration/X.3,CoG Acceleration/Y.3,CoG position/X.3,CoG position/Y.3,Pitch acceleration.3,Pitch speed.3,Roll acceleration.3,Roll speed.3,Speed/X.3,Speed/Y.3,Tangential speed.3,Yaw acceleration.3,Yaw speed.3,CoG Acceleration/X.4,CoG Acceleration/Y.4,CoG position/X.4,CoG position/Y.4,Pitch acceleration.4,Pitch speed.4,Roll acceleration.4,Roll speed.4,Speed/X.4,Speed/Y.4,Tangential speed.4,Yaw acceleration.4,Yaw speed.4,ExportChannel/1,ExportChannel/3,ExportChannel/4,Unnamed: 87,distance_to_inter_0,distance_to_inter_1
251.391,-8.14165,-0.0316826,4502.11,7.10251,-1.46982e-05,-0.525767,-179.903,1670.38,0.000434902,-0.525667,143.909,-0.0663313,-1.46982e-05,-2.16431,-0.0189856,-0.00332195,6.0131,0.0051284,-8.14136,-0.0247394,6.01336,-179.903,-0.445467,0.0469577,0.0,0.490293,1.737,-6,-1.0,0.219162,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.9671e-09,0.377646,5957.7,-580.214,0,-6.70815e-11,0,-2.23776e-08,54.0,-0.0339965,54.0,0,1.4425,0.237291,0.0,4930.31,-7.17561,0,0.0,0,0.0,56.5453,-4.64275e-15,56.5453,0,0.0,999.0,2.0,4.0,,774.5200002986887,26.10547765470079
251.407,-8.02488,-0.00772599,4502.08,7.10245,-0.000306251,-0.527463,-179.902,1678.88,-0.000733792,-0.527363,142.565,-0.0731412,-0.000306251,-0.143034,-0.0176975,-0.00332604,6.0437,0.00492414,-8.02447,-0.00118872,6.04396,-179.902,0.046398,0.0448386,0.0,0.493584,1.638,-6,-1.0,0.219207,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.54335e-09,0.377646,5957.89,-580.357,0,1.86553e-10,0,-2.2383e-08,54.0,-0.0339945,54.0,0,1.4425,0.235314,0.0,4930.56,-7.17561,0,0.0,0,0.0,56.559,-9.56764e-16,56.559,0,0.0,999.0,2.0,4.0,,774.550000297013,26.07548391885557
251.423,8.98814,-0.0115031,4502.06,7.10238,-0.000575806,-0.52923,-179.901,1691.44,0.000160717,-0.52913,-141.04,-0.14936,-0.000575806,0.267218,-0.0170521,-0.00333155,6.08891,0.0046628,8.98775,-0.0183847,6.08917,-179.901,-0.0707978,0.0416599,0.0,0.48371,1.566,0,-1.0,0.219252,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.7616e-09,0.377647,5958.09,-580.497,0,2.6062e-10,0,-2.23883e-08,54.0,-0.0339923,54.0,0,1.4425,0.233424,0.0,4930.81,-7.17561,0,0.0,0,0.0,56.5722,6.24863e-16,56.5722,0,0.0,999.0,2.0,4.0,,774.5700002950695,26.055488659866274
251.439,8.82066,-0.0216152,4502.03,7.10231,-0.000815953,-0.531081,-179.901,1700.05,0.000338176,-0.53098,-137.99,-0.151088,-0.000815953,-1.70699,-0.0137281,-0.00334002,6.11991,0.00440109,8.82031,-0.0279569,6.12017,-179.901,-1.12244,0.0397973,0.0,0.496875,1.512,0,-1.0,0.219297,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.67549e-09,0.377647,5958.27,-580.632,0,1.82015e-10,0,-2.23934e-08,54.0,-0.03399,54.0,0,1.44251,0.231609,0.0,4931.06,-7.17561,0,0.0,0,0.0,56.5849,4.17321e-16,56.5849,0,0.0,999.0,2.0,4.0,,774.6000002931298,26.025495134888136
251.455,-7.58296,-0.060256,4502.0,7.10224,-0.00100096,-0.532984,-179.9,1705.01,-1.27354e-06,-0.532883,135.585,-0.0844164,-0.00100096,-5.06732,-0.0115463,-0.00334949,6.13777,0.00420875,-7.58256,-0.0550582,6.13803,-179.9,-0.0475266,0.0395358,0.0,0.493584,1.467,0,-1.0,0.219346,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.58938e-09,0.377648,5958.46,-580.767,0,1.0341e-10,0,-2.23985e-08,54.0,-0.0339876,54.0,0,1.44251,0.229794,0.0,4931.3,-7.17561,0,0.0,0,0.0,56.5975,2.0978e-16,56.5975,0,0.0,999.0,2.0,4.0,,774.6300002911956,25.99550162504273
251.471,-7.40696,-0.00874456,4501.98,7.10218,-0.00114501,-0.534897,-179.9,1713.94,-1.31407e-05,-0.534796,132.628,-0.0873041,-0.00114501,-0.550247,-0.00895174,-0.00335879,6.1699,0.00413402,-7.40657,-0.00378368,6.17017,-179.9,-0.205562,0.0393651,0.0,0.496875,1.44,0,-1.0,0.219394,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.44625e-09,0.377648,5958.65,-580.906,0,1.40816e-10,0,-2.24038e-08,54.0,-0.0339853,54.0,0,1.44251,0.227949,0.0,4931.55,-7.17561,0,0.0,0,0.0,56.6104,-2.99523e-15,56.6104,0,0.0,999.0,2.0,4.0,,774.6500002895458,25.97550620858767
251.487,-7.19853,-0.020096,4501.95,7.10211,-0.00126372,-0.536841,-179.899,1722.96,-7.98118e-05,-0.536739,129.433,-0.0898638,-0.00126372,-1.49137,-0.00635813,-0.00336839,6.20239,0.00400548,-7.19813,-0.0154494,6.20267,-179.899,0.260942,0.0387181,0.0,0.493584,1.422,0,-1.0,0.219442,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,4.16426e-09,0.377648,5958.85,-581.052,0,4.6078e-10,0,-2.24093e-08,54.0,-0.0339829,54.0,0,1.44251,0.226032,0.0,4931.81,-7.17561,0,0.0,0,0.0,56.6238,-1.35009e-14,56.6238,0,0.0,999.0,2.0,4.0,,774.6800002876237,25.945512724401688
251.503,-6.80234,-0.00180361,4501.92,7.10204,-0.0013241,-0.538801,-179.898,1732.13,0.000149497,-0.538699,123.128,-0.0919977,-0.0013241,0.18642,-0.00147322,-0.00337875,6.2354,0.00386004,-6.80192,0.00240518,6.23568,-179.898,1.69295,0.038606,0.0,0.500166,1.422,0,-1.0,0.219491,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.88226e-09,0.377647,5959.06,-581.198,0,7.80745e-10,0,-2.24148e-08,54.0,-0.0339805,54.0,0,1.44251,0.224116,0.0,4932.07,-7.17561,0,0.0,0,0.0,56.6371,-2.40065e-14,56.6371,0,0.0,999.0,2.0,4.0,,774.710000285708,25.91551925548865
251.519,-4.6015,0.00467912,4501.89,7.10198,-0.00132161,-0.540781,-179.898,1741.88,0.000172873,-0.54068,87.0679,-0.103227,-0.00132161,0.997234,0.00125856,-0.00338775,6.2705,0.00370245,-4.60126,0.00739474,6.27078,-179.898,7.15301,0.0409556,0.0,0.496875,1.422,0,-1.0,0.21954,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.60547e-09,0.377647,5959.26,-581.342,0,8.50482e-10,0,-2.24203e-08,54.0,-0.0339807,54.0,0,1.44251,0.222246,0.0,4932.33,-7.17561,0,0.0,0,0.0,56.6502,-2.93245e-14,56.6502,0,0.0,999.0,2.0,4.0,,774.7400002840695,25.885525614914915
251.535,-3.45518,0.0124795,4501.86,7.10191,-0.00125307,-0.542824,-179.897,1751.42,0.000248066,-0.542722,68.6692,-0.111783,-0.00125307,1.21258,0.00585412,-0.00339462,6.30484,0.00372448,-3.45494,0.0145195,6.30512,-179.897,-0.219843,0.0391167,0.0,0.503457,1.422,0,-1.0,0.219589,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.34138e-09,0.377648,5959.45,-581.479,0,3.10129e-10,0,-2.24254e-08,54.0,-0.0339871,54.0,0,1.44251,0.22049,0.0,4932.57,-7.17561,0,0.0,0,0.0,56.6624,-2.19939e-14,56.6624,0,0.0,999.0,2.0,4.0,,774.7700002821668,25.855532176462397
251.551,-3.31617,-0.042521,4501.84,7.10184,-0.00114172,-0.544913,-179.896,1760.82,-0.000221364,-0.544811,66.4853,-0.114808,-0.00114172,-3.29512,0.00655742,-0.00340279,6.33868,0.00360964,-3.31596,-0.0406336,6.33897,-179.896,0.0908573,0.0390066,0.0,0.506748,1.422,0,-1.0,0.21964,0,0,1779.95,-3.30369,0,0,0,0,0,0,0,0,0,0,0,1256.09,-0.0966621,0.123736,0,0,0,0,0,0,0,0,0,3.07729e-09,0.377649,5959.64,-581.617,0,-2.30224e-10,0,-2.24306e-08,54.0,-0.0339935,54.0,0,1.44251,0.218734,0.0,4932.82,-7.17561,0,0.0,0,0.0,56.6747,-1.46633e-14,56.6747,0,0.0,999.0,2.0,4.0,,774.790000280273,25.8355369966565
