Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter
gaze,185.997727,0.4505501873287359,0.5018478910415247,115.1281564938101,19.70761258866222,1085.285973823353,-29.99523391130943,-4.419531170129654,-32.56627653097951,0.1287135376169076,0.02139896275243197,0.9914509113553032,4.192826271057129,,,,,,,
gaze,186.017707,,,,,,,,,,,,,,,,,,,
gaze,186.0378,0.445209144698059,0.4909107573132976,152.7564696043813,40.34762406680404,1299.326754281522,-30.00085644107875,-4.41498401108791,-32.56649444292138,0.1278224423271039,0.02234905921109027,0.9915452298256059,4.196564197540283,29.39921348345187,-2.493113840101145,-33.29099567060815,0.1002291273573525,0.04297938114168924,0.9940356607415355,4.031800746917725
gaze,186.057779,0.4457156922590195,0.5024422672225788,151.1683715280421,22.56231346834193,1299.902577807307,,,,,,,,29.39956160610124,-2.670705955455387,-33.18460851665309,0.09094861426001531,0.01884643655186867,0.9956772375591799,3.841622829437256
gaze,186.077871,0.4495530380145749,0.4995241454631064,140.8225067385806,27.19365328324783,1301.161295366937,-30.00810990512884,-4.410267218313398,-32.5647018527487,0.1270122447818964,0.02349745593428261,0.9916227908030757,4.202840328216553,,,,,,,
gaze,186.097853,0.4461254066481529,0.5061447063769522,149.9871246081309,16.86076405577959,1300.147697996831,,,,,,,,29.41343446174637,-2.721746742879407,-33.1430824391109,0.09005598430386096,0.01462609531957749,0.9958293011489295,3.800537347793579
gaze,186.117943,0.447580518512231,0.4983553102976307,198.4218325641735,39.27034231111448,1765.01476001347,-30.01539895789874,-4.406661962601495,-32.56426314985924,0.1260226205752754,0.02428078147699087,0.9917301763857984,4.20463228225708,29.43634230563791,-2.696188587252845,-33.13152441036642,0.0935475143014103,0.02304555917810252,0.9953480621220882,3.776301145553589
gaze,186.137925,,,,,,,,,,,,,,,,,,,
gaze,186.158017,0.4477446181818251,0.4969610094530329,197.8513979966299,42.20048006438935,1765.011746917987,-30.01845991776408,-4.400821756694546,-32.56582556575101,0.1257169913704179,0.02571018173492868,0.9917329401789211,4.216416358947754,,,,,,,
gaze,186.177997,0.4593768091101867,0.512282000013709,154.3544926632048,10.52367727678185,1768.823380507612,,,,,,,,29.35134512840655,-2.571432076952756,-33.35584633068082,0.06919414439518502,0.007248656576753875,0.9975768779193164,3.886121034622192
gaze,186.198089,0.3889176526914435,0.4601387085964468,410.9399750430412,115.2287859474526,1728.164152007213,,,,,,,,30.5264992722951,-2.123810970053951,-33.98260404881927,0.2105737774725042,0.06495926459771281,0.975417335392336,4.42207670211792
gaze,186.21807,,,,,,,,,,,,,,,,,,,
gaze,186.238161,0.3963680427764266,0.4999642163969459,382.6901393592325,33.43548314444497,1732.093635042722,-28.93391069712369,-4.487722406895219,-32.70350754046639,0.2270951394029136,0.02092243067456296,0.9736478057050401,4.29047155380249,,,,,,,
gaze,186.258142,,,,,,,,,,,,,,,,,,,
gaze,186.278234,0.3807967332750388,0.5039112007086402,438.5015362836839,24.6593076783834,1726.590446019477,,,,,,,,30.7600956735881,-3.078836501172034,-33.13247177091785,0.2257008777288726,0.01535415060713028,0.9740756458569069,3.988873720169067
gaze,186.298214,,,,,,,,,,,,,,,,,,,
