Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter
gaze,459.773046,0.4708213209225662,0.5176993050720858,29.68181490634246,-0.1164957419261823,470.9254737715505,-30.0701886655734,-4.079929545467031,-32.90372243227021,0.117766835130887,0.007811638562579727,0.9930105492119518,4.259849548339844,,,,,,,
gaze,459.793028,0.4693045737572036,0.5188929392517978,31.16982761665843,-0.796546734258726,470.7610993377239,-30.08147774112948,-4.107105235263655,-32.89273761791762,0.1207218494512976,0.006524869023174467,0.9926649289409236,4.246774196624756,29.56360009644222,-1.089782114293371,-33.79589405001537,0.1298620702492394,0.3019342421040981,0.944442457831924,4.98421573638916
gaze,459.81312,0.4706183287713541,0.5173085918007072,29.88528463616852,0.09971548417248499,470.9124841696667,-30.09406923902111,-4.117620770457482,-32.88763578803206,0.1182149259744078,0.008312061750243249,0.9929532420543908,4.237097263336182,,,,,,,
gaze,459.833099,0.4691351059419948,0.5176055590981965,31.34633738453856,-0.07979504081046684,470.7533300212902,-30.08753542257126,-4.133543874296532,-32.87283696973929,0.1210816765603364,0.007989642890561768,0.9926103934615129,4.234148979187012,,,,,,,
gaze,459.853191,,,,,,,,,,,,,,,,,,,
gaze,459.873172,0.4391422404671162,0.4125352912784577,60.83225849014956,57.47301842395409,461.1356911450855,-30.08171466579736,-4.15095525386138,-32.85732339206762,0.12276868568163,0.007221427245610279,0.9924090390582613,4.229977607727051,29.44654971346735,-1.355966435891307,-33.8174051247214,0.1193647134081107,0.2312557610859656,0.9655427686837856,4.719418048858643
gaze,459.893264,0.4065472795500264,0.2804916460110813,92.28700739891462,128.2371334287821,450.3129697282249,,,,,,,,29.4412648390937,-1.246995094390515,-33.83820994009905,0.124424307764846,0.2563574301424565,0.9585402754438619,4.832737445831299
gaze,459.913245,0.4032959558980801,0.3325011738468627,96.05761819589554,100.8617896646157,456.3985148603724,,,,,,,,29.47002286232551,-1.538097568026675,-33.70193087903448,0.1318325652245861,0.2027350551549618,0.9703188507689727,4.685204029083252
gaze,459.933338,0.4356861227326976,0.4453179562042028,64.36367474601275,39.58956529716529,464.3531767406408,-30.07898679386742,-4.194309309285965,-32.80285470373406,0.1236852180251221,0.006219493340504511,0.9923020128694012,4.223108768463135,29.47534071133525,-1.773820252818438,-33.58044169996719,0.1323690338851851,0.1623581775009722,0.9778129990273529,4.531118392944336
gaze,459.953317,,,,,,,,,,,,,,,,,,,
gaze,459.97341,0.4674284719632896,0.5193711704933323,32.86167060338389,-1.075334629323316,468.3632059690772,-30.07368968234656,-4.210870238284969,-32.78288102919582,0.1246017362278662,0.00620784848306501,0.9921874167445447,4.222309112548828,,,,,,,
