Type,Timestamp,Data Gaze2D X,Data Gaze2D Y,Data Gaze3D X,Data Gaze3D Y,Data Gaze3D Z,Data Eyeleft Gazeorigin X,Data Eyeleft Gazeorigin Y,Data Eyeleft Gazeorigin Z,Data Eyeleft Gazedirection X,Data Eyeleft Gazedirection Y,Data Eyeleft Gazedirection Z,Data Eyeleft Pupildiameter,Data Eyeright Gazeorigin X,Data Eyeright Gazeorigin Y,Data Eyeright Gazeorigin Z,Data Eyeright Gazedirection X,Data Eyeright Gazedirection Y,Data Eyeright Gazedirection Z,Data Eyeright Pupildiameter
gaze,223.542486,0.4868498665497393,0.4850026249735995,163.3602645830497,214.3974352257524,5513.856829459615,30.28526638704617,-11.81335289455331,-26.78956057689393,0.024134402486215,0.03983910290692944,0.9989145992006547,3.393580198287964,-29.19859345216437,-10.08701584564081,-25.20784829158727,0.03457101807833446,0.04141255257789523,0.9985438624306949,3.432427883148193
gaze,223.562468,0.4868173702727026,0.485003912973901,157.0124227533726,205.5786991973153,5287.349954818081,30.28692435765932,-11.81303302541062,-26.78559344501046,0.02405485891446042,0.0396607489825432,0.9989236150741202,3.394411325454712,-29.19929473798967,-10.08437074482578,-25.20719036626711,0.03476630594697395,0.04173841080696393,0.9985235145123577,3.431779384613037
gaze,223.582559,0.4865757047534397,0.4846051075982835,149.6960025928431,194.9819130713922,4954.94422616496,30.29195705461158,-11.80987195884607,-26.78275619278929,0.02438481990151828,0.03981173433004366,0.998909608707417,3.396364450454712,-29.19612483287717,-10.07757784020444,-25.2038286990301,0.03542373659361025,0.04276484734061756,0.9984569728925129,3.432521104812622
gaze,223.60254,0.4864124051599708,0.4843946426295436,142.9112891488563,185.1831493401033,4676.553642694747,30.2963675392755,-11.80737595962293,-26.77815235330322,0.02455664931723515,0.03983698391047846,0.9989043926658981,3.397337198257446,-29.1955534461053,-10.07180624103208,-25.20141564277799,0.03590818602969041,0.04346228045436917,0.9984095514135285,3.43083667755127
gaze,223.622631,0.4863360248558736,0.4841464066766596,136.3290422388555,177.0118934023729,4437.274151564549,30.29910878585247,-11.80385338400487,-26.77387322415729,0.02449353410394299,0.04002387950157944,0.9988984712455726,3.399596929550171,-29.19556674365406,-10.06590873748355,-25.20009605208428,0.03626532234812761,0.04408048667639087,0.9983695393437038,3.429838418960571
gaze,223.642614,0.4863430732038235,0.4838422553744065,134.9773243797469,176.9106787078557,4394.862036606112,30.30129408622252,-11.79944934052033,-26.77040966548726,0.02447289079392306,0.04032394169699178,0.9988869091855226,3.401706695556641,-29.19698162672792,-10.06055118075648,-25.19921550489205,0.03625707519477264,0.04453805762316779,0.9983495309366737,3.429017543792725
gaze,223.662703,0.4864645014455194,0.4834148793129196,131.5996169090147,176.1125349679775,4320.220369293831,30.30263257585234,-11.7948589975043,-26.76801915152466,0.02437213001512071,0.04056786931579837,0.9988794958640919,3.402376413345337,-29.19982203223442,-10.05332045767389,-25.19851133825037,0.03584810321275456,0.04538076781820074,0.9983263491505563,3.429977416992188
gaze,223.682685,0.4865280516755478,0.4829626120959095,127.2442592356467,173.2681974406316,4194.951808694266,30.30357106931074,-11.78932078630071,-26.76628642551934,0.02425206914338461,0.04093478963609451,0.9988674487336713,3.404028177261353,-29.20090666052754,-10.04617547787238,-25.1979336718734,0.03569328531352439,0.04621384697438419,0.9982936791001713,3.431979179382324
gaze,223.702776,0.4864321650385584,0.4826381908250957,119.7030319655775,163.4018926708052,3919.626939975511,30.30511041463339,-11.78446581784619,-26.76518599437806,0.02426446757326974,0.04112124355322298,0.9988594890884416,3.405616283416748,-29.19910086734597,-10.03884855324365,-25.19740658023197,0.03604397173708884,0.04710873110745984,0.9982392496565446,3.435240745544434
gaze,223.722758,0.4862887285618047,0.4821790165283411,117.3463797016761,160.6488736508479,3803.987091433803,30.3063795630681,-11.77880134392443,-26.76485647583851,0.02433641905396051,0.04167355302936705,0.9988348480532397,3.406850814819336,-29.19592817697637,-10.03254099199395,-25.19684328739081,0.03656060512238361,0.04777835504298071,0.9981886349495631,3.439812183380127
