,p_num,intersection_type,global_collision_flag,time_of_collision
190,47,ltmajor,False,inf
191,47,ltsignal,False,inf
192,48,ltminor,False,inf
193,48,lthalf,False,inf
194,48,ltmajor,False,inf
195,48,ltsignal,False,inf
196,49,lthalf,False,inf
197,49,ltminor,False,inf
198,49,ltsignal,False,inf
199,49,ltmajor,False,inf
200,50,ltsignal,False,inf
201,50,ltmajor,True,189.791496
202,50,lthalf,False,inf
203,50,ltminor,False,inf
204,51,ltmajor,False,inf
205,51,ltsignal,False,inf
206,51,ltminor,False,inf
207,51,lthalf,False,inf
208,52,ltmajor,False,inf
209,52,ltsignal,False,inf
210,52,ltminor,False,inf
211,52,lthalf,False,inf
212,53,ltmajor,False,inf
213,53,ltsignal,False,inf
214,53,ltminor,False,inf
215,53,lthalf,False,inf
216,54,ltminor,False,inf
217,54,lthalf,False,inf
218,54,ltmajor,False,inf
219,54,ltsignal,False,inf
220,55,ltsignal,False,inf
221,55,ltmajor,True,144.961099
222,55,lthalf,False,inf
223,55,ltminor,False,inf
224,56,ltsignal,False,inf
225,56,ltmajor,True,181.247133
226,56,lthalf,False,inf
227,56,ltminor,False,inf
228,57,lthalf,False,inf
229,57,ltminor,False,inf
230,57,ltsignal,False,inf
231,57,ltmajor,False,inf
232,58,ltmajor,False,inf
233,58,ltsignal,False,inf
234,58,ltminor,False,inf
235,58,lthalf,False,inf
236,59,ltsignal,False,inf
237,59,ltmajor,True,181.733889
238,59,lthalf,False,inf
239,59,ltminor,False,inf
240,60,ltminor,False,inf
241,60,lthalf,False,inf
242,60,ltmajor,False,inf
243,60,ltsignal,False,inf
244,61,ltmajor,False,inf
245,61,ltsignal,False,inf
246,61,ltminor,False,inf
247,61,lthalf,False,inf
248,62,lthalf,False,inf
249,62,ltminor,False,inf
250,62,ltsignal,False,inf
251,62,ltmajor,False,inf
252,63,ltminor,False,inf
253,63,lthalf,False,inf
254,63,ltmajor,False,inf
255,63,ltsignal,False,inf
256,64,ltsignal,False,inf
257,64,ltmajor,True,176.8
258,64,lthalf,False,inf
259,64,ltminor,False,inf
260,65,lthalf,True,68.745519
261,65,ltminor,False,inf
262,65,ltsignal,False,inf
263,65,ltmajor,False,inf
264,66,ltminor,False,inf
265,66,lthalf,False,inf
266,66,ltmajor,False,inf
267,66,ltsignal,False,inf
268,67,ltsignal,False,inf
269,67,ltmajor,True,148.077154
270,67,lthalf,False,inf
271,67,ltminor,False,inf
272,68,lthalf,False,inf
273,68,ltminor,False,inf
274,68,ltsignal,False,inf
275,68,ltmajor,False,inf
276,69,lthalf,False,inf
277,69,ltminor,False,inf
278,69,ltsignal,False,inf
279,69,ltmajor,False,inf
280,70,ltminor,False,inf
281,70,lthalf,False,inf
282,70,ltmajor,False,inf
283,70,ltsignal,False,inf
284,71,ltsignal,False,inf
285,71,ltmajor,True,192.576
286,71,lthalf,False,inf
287,71,ltminor,False,inf
288,72,ltmajor,False,inf
289,72,ltsignal,False,inf
290,72,ltminor,False,inf
291,72,lthalf,False,inf
